concept_id,text,text_alt,ipa,literal,confidence,provenance
introductions.my-name-is,My name is {},,maɪ nˈeɪm ɪz {},,2,latex-reference-v2;ipa=espeak
introductions.nice-to-meet-you,Nice to meet you,,nˈaɪs tə mˈiːt juː,,2,latex-reference-v2;ipa=espeak
introductions.what-is-your-name,What is your name?,,wˌʌt ɪz jʊɹ nˈeɪm,,2,latex-reference-v2;ipa=espeak
introductions.we-are-traveling-together,We are traveling together,,wiː ɑːɹ tɹˈævəlɪŋ təɡˈɛðɚ,,2,latex-reference-v2;ipa=espeak
introductions.this-is-my-friend,This is my friend,,ðɪs ɪz maɪ fɹˈɛnd,,2,latex-reference-v2;ipa=espeak
introductions.i-am-from,I am from {},,aɪɐm fɹʌm {},,2,expansion-v1;ipa=espeak
introductions.where-are-you-from,Where are you from?,,wˈɛɹ ɑːɹ juː fɹʌm,,2,expansion-v1;ipa=espeak
introductions.how-are-you,How are you?,,hˈaʊ ɑːɹ juː,,2,expansion-v1;ipa=espeak
introductions.i-am-a-tourist,I am a tourist,,aɪɐm ɐ tˈʊɹɹɪst,,2,expansion-v1;ipa=espeak
introductions.this-is-my-husband-wife,This is my husband / wife,,ðɪs ɪz maɪ hˈʌsbənd / wˈaɪf,,2,expansion-v1;ipa=espeak
introductions.this-is-my-daughter-son,This is my daughter / son,,ðɪs ɪz maɪ dˈɔːɾɚ / sˈʌn,,2,expansion-v1;ipa=espeak
introductions.i-am-traveling-alone,I am traveling alone,,aɪɐm tɹˈævəlɪŋ ɐlˈoʊn,,2,expansion-v1;ipa=espeak
