concept_id,text,text_alt,ipa,literal,confidence,provenance
dietary-needs.no-meat,Láì sí ẹran,,la˥i˩ si˥ ɛrã,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.no-eggs,Láì sí ẹyin,,la˥i˩ si˥ ɛjĩ,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.not-spicy,Láì fi ata,,la˥i˩ fi ata,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.less-spicy,Ata kékeré,,ata ke˥kere˥,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.no-peanuts,Láì sí ẹ̀pà,,la˥i˩ si˥ ɛ˩kpa˩,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.no-nuts,Láì sí èso,,la˥i˩ si˥ e˩so,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.no-seafood,Láì sí ẹja òkun,,la˥i˩ si˥ ɛdʒa o˩kũ,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.i-am-vegetarian,Ajewéwe ni mi,,adʒewe˥we ni mi,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.i-am-vegan,Ajewéwe pátápátá ni mi,,adʒewe˥we kpa˥ta˥kpa˥ta˥ ni mi,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.i-do-not-eat,Mi ò jẹ {},,mi o˩ dʒɛ {},,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.i-am-allergic-to,Aleji ń ṣe mí sí {},,aledʒi n̩˥ ʃe mi˥ si˥ {},,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.does-it-contain-fish-stock,Ṣé omi ẹja wà nínú rẹ̀?,,ʃe˥ omi ɛdʒa wa˩ ni˥nu˥ rɛ˩,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.does-it-contain-pork-stock,Ṣé omi ẹran ẹlẹ́dẹ̀ wà nínú rẹ̀?,,ʃe˥ omi ɛrã ɛlɛ˥dɛ˩ wa˩ ni˥nu˥ rɛ˩,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.i-have-a-severe-allergy-to,Mo ní aleji ríra sí {},,mo ni˥ aledʒi ri˥ra si˥ {},,2,yo-agent-v1;ipa=yo-g2p
food-ordering.table-for-two,Tábìlì fún méjì,,ta˥bi˩li˩ fũ˥ me˥dʒi˩,,2,yo-agent-v1;ipa=yo-g2p
food-ordering.is-a-table-available,Ṣé tábìlì wà?,,ʃe˥ ta˥bi˩li˩ wa˩,,2,yo-agent-v1;ipa=yo-g2p
food-ordering.menu-please,"Ẹ jọ̀wọ́, mẹ́nu",,"ɛ dʒɔ˩wɔ˥, mɛ˥nu",,2,yo-agent-v1;ipa=yo-g2p
food-ordering.i-want-this,Mo fẹ́ èyí,,mo fɛ˥ e˩ji˥,,2,yo-agent-v1;ipa=yo-g2p
food-ordering.do-you-have-drinking-water,Ṣé ẹ ní omi mímu?,,ʃe˥ ɛ ni˥ omi mi˥mu,,2,yo-agent-v1;ipa=yo-g2p
food-ordering.to-go-please,"Ẹ jọ̀wọ́, fún mi kí n gbé lọ",,"ɛ dʒɔ˩wɔ˥, fũ˥ mi ki˥ n ɡbe˥ lɔ",,2,yo-agent-v1;ipa=yo-g2p
food-ordering.check-please,"Ẹ jọ̀wọ́, ìwé owó",,"ɛ dʒɔ˩wɔ˥, i˩we˥ owo˥",,2,yo-agent-v1;ipa=yo-g2p
food-ordering.does-it-contain,Ṣé {} wà nínú rẹ̀?,,ʃe˥ {} wa˩ ni˥nu˥ rɛ˩,,2,yo-agent-v1;ipa=yo-g2p
food-ordering.is-this-vegetarian,Ṣé oúnjẹ ajewéwe ni èyí?,,ʃe˥ oũ˥dʒɛ adʒewe˥we ni e˩ji˥,,2,yo-agent-v1;ipa=yo-g2p
food-ordering.what-do-you-recommend,Kí ni ẹ gbà mí ní ìmọ̀ràn?,,ki˥ ni ɛ ɡba˩ mi˥ ni˥ i˩mɔ˩rã˩,,2,yo-agent-v1;ipa=yo-g2p
food-ordering.water-please,"Ẹ jọ̀wọ́, omi",,"ɛ dʒɔ˩wɔ˥, omi",,2,yo-agent-v1;ipa=yo-g2p
food-ordering.can-a-vegetarian-eat-this,Ṣé ajewéwe lè jẹ èyí?,,ʃe˥ adʒewe˥we le˩ dʒɛ e˩ji˥,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.no-pork,Láì sí ẹran ẹlẹ́dẹ̀,,la˥i˩ si˥ ɛrã ɛlɛ˥dɛ˩,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.is-this-halal,Ṣé halal ni èyí?,,ʃe˥ halal ni e˩ji˥,,2,yo-agent-v1;ipa=yo-g2p
dietary-needs.does-it-contain-pork-fat,Ṣé ọ̀rá ẹlẹ́dẹ̀ wà nínú rẹ̀?,,ʃe˥ ɔ˩ra˥ ɛlɛ˥dɛ˩ wa˩ ni˥nu˥ rɛ˩,,2,yo-agent-v1;ipa=yo-g2p
