concept_id,text,text_alt,ipa,literal,confidence,provenance
social-basics.politeness-particles,"Ang kagandahang-asal sa Thai ay nasa isang salitang idinaragdag sa dulo ng pangungusap: khrap kung lalaki ang nagsasalita, kha kung babae. Kapag nagtatanong ang babae, sinasabi niya ang kha nang pataas ang tono. Wala ito sa mga hanay dito dahil nakadepende ito sa nagsasalita, kaya idagdag na lamang ninyo ang angkop.",,,,2,fil-agent-v1
social-basics.hello,Kumusta,,kumusta,,2,fil-agent-v1;ipa=fil-g2p
social-basics.hello-polite,Kumusta po,,kumusta po,,2,fil-agent-v1;ipa=fil-g2p
social-basics.good-morning,Magandang umaga,,maɡandaŋ umaɡa,,2,fil-agent-v1;ipa=fil-g2p
social-basics.good-evening,Magandang gabi,,maɡandaŋ ɡabi,,2,fil-agent-v1;ipa=fil-g2p
social-basics.goodbye,Paalam,,paalam,,2,fil-agent-v1;ipa=fil-g2p
social-basics.thank-you,Salamat po,,salamat po,,2,fil-agent-v1;ipa=fil-g2p
social-basics.you-are-welcome,Walang anuman,,walaŋ anuman,,2,fil-agent-v1;ipa=fil-g2p
social-basics.excuse-me-sorry,Paumanhin po,,paumanhin po,,2,fil-agent-v1;ipa=fil-g2p
social-basics.sorry,Pasensya na po,,pasɛnsja na po,,2,fil-agent-v1;ipa=fil-g2p
social-basics.no-problem,Walang problema,,walaŋ pɾoblɛma,,2,fil-agent-v1;ipa=fil-g2p
social-basics.i-do-not-know,Hindi ko po alam,,hindi ko po alam,,2,fil-agent-v1;ipa=fil-g2p
social-basics.good-night,Magandang gabi,,maɡandaŋ ɡabi,the same phrase as good-evening; Filipino does not distinguish them,2,fil-agent-v1;ipa=fil-g2p
social-basics.okay-fine-i-am-okay,Ayos lang,,ajos laŋ,,2,fil-agent-v1;ipa=fil-g2p
communication.i-do-not-speak-this-language,Hindi po ako marunong ng {target},,hindi po ako maɾunoŋ naŋ {target},,2,fil-agent-v1;ipa=fil-g2p
communication.i-speak-only-a-little-of-this,Kaunti lang po ang alam kong {target},,kaunti laŋ po aŋ alam koŋ {target},,2,fil-agent-v1;ipa=fil-g2p
communication.do-you-speak-english,Marunong po ba kayong mag-{source}?,,maɾunoŋ po ba kajoŋ maɡ {source},,2,fil-agent-v1;ipa=fil-g2p
communication.please-speak-more-slowly,Pakibagalan po ang inyong pagsasalita,,pakibaɡalan po aŋ iɲoŋ paɡsasalita,,2,fil-agent-v1;ipa=fil-g2p
communication.i-do-not-understand-spoken,Hindi ko po naiintindihan ang sinasabi,,hindi ko po naiintindihan aŋ sinasabi,,2,fil-agent-v1;ipa=fil-g2p
communication.i-cannot-read-understand,Hindi ko po mabasa / maintindihan,,hindi ko po mabasa / maintindihan,,2,fil-agent-v1;ipa=fil-g2p
communication.please-say-it-again,Pakiulit po,,pakiulit po,,2,fil-agent-v1;ipa=fil-g2p
communication.please-write-it-down,Pakisulat po,,pakisulat po,,2,fil-agent-v1;ipa=fil-g2p
communication.please-wait-a-moment,Sandali po lang,,sandali po laŋ,,2,fil-agent-v1;ipa=fil-g2p
communication.can-you-help-me,Puwede po ba ninyo akong tulungan?,,puwɛdɛ po ba niɲo akoŋ tuluŋan,,2,fil-agent-v1;ipa=fil-g2p
communication.please-show-me-the-text,Pakipakita po ang teksto sa {target},,pakipakita po aŋ tɛksto sa {target},,2,fil-agent-v1;ipa=fil-g2p
communication.i-cannot-make-out-what-you-are-saying,Hindi ko po masyadong maintindihan ang sinasabi niyo,,hindi ko po masjadoŋ maintindihan aŋ sinasabi nijo,,2,fil-agent-v1;ipa=fil-g2p
communication.i-do-not-understand,Hindi ko po maintindihan,,hindi ko po maintindihan,,2,fil-agent-v1;ipa=fil-g2p
communication.i-cannot-read-it,Hindi ko po mabasa ito,,hindi ko po mabasa ito,,2,fil-agent-v1;ipa=fil-g2p
etiquette.is-this-allowed,Puwede po ba ito?,,puwɛdɛ po ba ito,,2,fil-agent-v1;ipa=fil-g2p
etiquette.is-tipping-expected,Inaasahan po ba ang tip dito?,,inaasahan po ba aŋ tip dito,,2,fil-agent-v1;ipa=fil-g2p
etiquette.is-service-included,Kasama na po ba ang service charge?,,kasama na po ba aŋ sɛɾvisɛ khaɾɡɛ,,2,fil-agent-v1;ipa=fil-g2p
etiquette.may-i-enter,Puwede po ba akong pumasok?,,puwɛdɛ po ba akoŋ pumasok,,2,fil-agent-v1;ipa=fil-g2p
etiquette.remove-shoes,Kailangan ko po bang magtanggal ng sapatos?,,kailaŋan ko po baŋ maɡtaŋɡal naŋ sapatos,,2,fil-agent-v1;ipa=fil-g2p
etiquette.photo-of-you,Puwede ko po ba kayong kuhanan ng litrato?,,puwɛdɛ ko po ba kajoŋ kuhanan naŋ litɾato,,2,fil-agent-v1;ipa=fil-g2p
etiquette.may-i-sit-here,Puwede po ba akong umupo dito?,,puwɛdɛ po ba akoŋ umupo dito,,2,fil-agent-v1;ipa=fil-g2p
etiquette.queue-for,Ito po ba ang pila para sa {}?,,ito po ba aŋ pila paɾa sa {},,2,fil-agent-v1;ipa=fil-g2p
etiquette.dressed-appropriately,Angkop po ba ang suot ko?,,aŋkop po ba aŋ suot ko,,2,fil-agent-v1;ipa=fil-g2p
etiquette.did-not-mean-to-offend,Hindi ko po sinadyang makasakit,,hindi ko po sinadjaŋ makasakit,,2,fil-agent-v1;ipa=fil-g2p
etiquette.what-is-customary,Ano po ang kaugalian dito?,,ano po aŋ kauɡalian dito,,2,fil-agent-v1;ipa=fil-g2p
etiquette.keep-the-change,Sa inyo na po ang sukli,,sa iɲo na po aŋ sukli,,2,fil-agent-v1;ipa=fil-g2p
phone-text-power.please-type-it-for-me,Paki-type po para sa akin,,pakitjpɛ po paɾa sa akin,,2,fil-agent-v1;ipa=fil-g2p
phone-text-power.please-use-simple-words,Pakigamit po ng simpleng salita,,pakiɡamit po naŋ simplɛŋ salita,,2,fil-agent-v1;ipa=fil-g2p
phone-text-power.my-phone-battery-is-low,Mababa na po ang baterya ng phone ko,,mababa na po aŋ batɛɾja naŋ phonɛ ko,,2,fil-agent-v1;ipa=fil-g2p
phone-text-power.do-you-have-a-power-bank,Meron po ba kayong power bank?,,mɛɾon po ba kajoŋ powɛɾ bank,,2,fil-agent-v1;ipa=fil-g2p
phone-text-power.the-translation-may-be-inaccurate,Maaaring hindi tumpak ang salin,,maaaɾiŋ hindi tumpak aŋ salin,,2,fil-agent-v1;ipa=fil-g2p
phone-text-power.please-confirm,Pakikumpirma po,,pakikumpiɾma po,,2,fil-agent-v1;ipa=fil-g2p
phone-text-power.may-i-charge-my-phone-here,Puwede ko po bang i-charge ang phone ko dito?,,puwɛdɛ ko po baŋ ikhaɾɡɛ aŋ phonɛ ko dito,,2,fil-agent-v1;ipa=fil-g2p
phone-translation.i-am-using-phone-translation,Gumagamit po ako ng pagsasalin sa phone,,ɡumaɡamit po ako naŋ paɡsasalin sa phonɛ,,2,fil-agent-v1;ipa=fil-g2p
phone-translation.please-speak-toward-the-phone,Pakisalita po papunta sa phone,,pakisalita po papunta sa phonɛ,,2,fil-agent-v1;ipa=fil-g2p
phone-translation.please-write-the-place-name,Pakisulat po ang pangalan ng lugar sa {target},,pakisulat po aŋ paŋalan naŋ luɡaɾ sa {target},,2,fil-agent-v1;ipa=fil-g2p
phone-translation.one-sentence-at-a-time-please,Isang pangungusap muna po,,isaŋ paŋuŋusap muna po,,2,fil-agent-v1;ipa=fil-g2p
phone-translation.please-type-it-and-show-me,Paki-type po at ipakita sa akin,,pakitjpɛ po at ipakita sa akin,,2,fil-agent-v1;ipa=fil-g2p
phone-translation.please-look-at-the-screen,Pakitingnan po ang screen,,pakitiŋnan po aŋ skɾɛɛn,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.please-go-ahead,sige / puwede na,,siɡɛ / puwɛdɛ na,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.yes-right,oo / tama,,oo / tama,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.no-not,hindi,,hindi,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.okay-can,okay / puwede,,okaj / puwɛdɛ,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.cannot-not-allowed,hindi puwede / bawal,,hindi puwɛdɛ / bawal,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.works-okay,gumagana / ayos,,ɡumaɡana / ajos,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.does-not-work-no,hindi gumagana / hindi,,hindi ɡumaɡana / hindi,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.can-possible,puwede / maaari,,puwɛdɛ / maaaɾi,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.cannot-not-possible,hindi puwede / hindi maaari,,hindi puwɛdɛ / hindi maaaɾi,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.okay-fine,okay / ayos,,okaj / ajos,,2,fil-agent-v1;ipa=fil-g2p
quick-responses.no-good-not-allowed-will-not-work,hindi maganda / bawal / hindi gagana,,hindi maɡanda / bawal / hindi ɡaɡana,,2,fil-agent-v1;ipa=fil-g2p
sim-data.i-would-like-a-tourist-sim,Gusto ko po ng SIM card para sa turista,,ɡusto ko po naŋ sim kaɾd paɾa sa tuɾista,,2,fil-agent-v1;ipa=fil-g2p+loan
sim-data.may-i-use-your-wifi,Puwede ko po bang gamitin ang Wi-Fi niyo?,,puwɛdɛ ko po baŋ ɡamitin aŋ wajfaj nijo,,2,fil-agent-v1;ipa=fil-g2p+loan
sim-data.how-much-data-is-included,Ilang data po ang kasama?,,ilaŋ data po aŋ kasama,,2,fil-agent-v1;ipa=fil-g2p
sim-data.do-you-need-my-passport,Kailangan niyo po ba ng pasaporte ko?,,kailaŋan nijo po ba naŋ pasapoɾtɛ ko,,2,fil-agent-v1;ipa=fil-g2p
sim-data.how-long-is-it-valid,Gaano po katagal itong magagamit?,,ɡaano po kataɡal itoŋ maɡaɡamit,,2,fil-agent-v1;ipa=fil-g2p
sim-data.please-activate-it,Paki-activate po ito,,pakiaktivatɛ po ito,,2,fil-agent-v1;ipa=fil-g2p
sim-data.do-you-have-an-esim,Meron po ba kayong eSIM?,,mɛɾon po ba kajoŋ isim,,2,fil-agent-v1;ipa=fil-g2p+loan
sim-data.my-data-is-not-working,Hindi po gumagana ang data ko,,hindi po ɡumaɡana aŋ data ko,,2,fil-agent-v1;ipa=fil-g2p
sim-data.does-it-need-registration,Kailangan po ba ito ng rehistro?,,kailaŋan po ba ito naŋ ɾɛhistɾo,,2,fil-agent-v1;ipa=fil-g2p
sim-data.i-have-no-signal,Walang signal po ako,,walaŋ siɡnal po ako,,2,fil-agent-v1;ipa=fil-g2p
sim-data.please-write-the-wifi-password,Pakisulat po ang password ng Wi-Fi,,pakisulat po aŋ passwoɾd naŋ wajfaj,,2,fil-agent-v1;ipa=fil-g2p+loan
sim-data.sim-card,SIM card,,sim kaɾd,,2,fil-agent-v1;ipa=fil-g2p+loan
sim-data.where-can-i-buy-a-plug-adapter,Saan po ako makakabili ng plug adapter?,,saan po ako makakabili naŋ pluɡ adaptɛɾ,,2,fil-agent-v1;ipa=fil-g2p
sim-data.mobile-data,mobile data,,mobilɛ data,,2,fil-agent-v1;ipa=fil-g2p
sim-data.can-i-top-up-this-sim,Puwede ko po bang i-top up ang SIM na ito?,,puwɛdɛ ko po baŋ itop up aŋ sim na ito,,2,fil-agent-v1;ipa=fil-g2p+loan
sim-data.top-up,top-up,reload,topup,,2,fil-agent-v1;ipa=fil-g2p
sim-data.is-there-coverage-in,May signal po ba sa {}?,,maj siɡnal po ba sa {},,2,fil-agent-v1;ipa=fil-g2p
sim-data.signal,signal,,siɡnal,,2,fil-agent-v1;ipa=fil-g2p
