concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
pronouns-verbs.i-me,నేను / నన్ను,నాకు,nēnu / nannu,neːnu / nannu,nominative / accusative; nāku is the dative 'to me',2,te-agent-v1;ipa=espeak
pronouns-verbs.we-us,మేము / మమ్మల్ని,మనం / మనల్ని,mēmu / mammalni,meːmu / mammalni,excludes the listener; manaṁ includes them,2,te-agent-v1;ipa=espeak
pronouns-verbs.you,నువ్వు,,nuvvu,nuʋʋu,familiar; only to a child or a close friend,2,te-agent-v1;ipa=espeak
pronouns-verbs.you-polite,మీరు,,mīru,miːru,use this always,2,te-agent-v1;ipa=espeak
pronouns-verbs.he-him,అతను / అతన్ని,ఆయన,atanu / atanni,atanu / atanni,atanu is ordinary; āyana is the honorific grade,2,te-agent-v1;ipa=espeak
pronouns-verbs.she-her,ఆమె / ఆమెను,ఆవిడ,āme / āmenu,aːme / aːmenu,āme is ordinary; āviḍa is the honorific grade,2,te-agent-v1;ipa=espeak
pronouns-verbs.they-them,వారు / వారిని,వాళ్ళు,vāru / vārini,ʋaːru / ʋaːrini,vāḷḷu is the spoken form,2,te-agent-v1;ipa=espeak
pronouns-verbs.my-mine,నా / నాది,,nā / nādi,naː / naːdi,,2,te-agent-v1;ipa=espeak
pronouns-verbs.your-yours,మీ / మీది,,mī / mīdi,miː / miːdi,,2,te-agent-v1;ipa=espeak
pronouns-verbs.be-called-call,పేరు / పిలవడం,,pēru / pilavaḍaṁ,peːru / pilaʋaɖam,name / to call,2,te-agent-v1;ipa=espeak
pronouns-verbs.have,… దగ్గర ఉంది,… కి ఉంది,… daggara uṁdi,daɡɡara undi,at [someone] it is,2,te-agent-v1;ipa=espeak
pronouns-verbs.do-not-have,… దగ్గర లేదు,… కి లేదు,… daggara lēdu,daɡɡara leːdu,at [someone] it is not,2,te-agent-v1;ipa=espeak
pronouns-verbs.go,వెళ్ళడం,,veḷḷaḍaṁ,ʋeɭɭaɖam,verbal noun; the stem is veḷḷ-,2,te-agent-v1;ipa=espeak
pronouns-verbs.come,రావడం,,rāvaḍaṁ,raːʋaɖam,verbal noun; the stem is rā-,2,te-agent-v1;ipa=espeak
pronouns-verbs.would-like,కావాలి,,kāvāli,kaːʋaːli,is wanted; takes the dative nāku,2,te-agent-v1;ipa=espeak
pronouns-verbs.want,కోరుకోవడం,,kōrukōvaḍaṁ,koːrukoːʋaɖam,to wish for,2,te-agent-v1;ipa=espeak
pronouns-verbs.look-for,వెతకడం,,vetakaḍaṁ,ʋetakaɖam,,2,te-agent-v1;ipa=espeak
pronouns-verbs.buy,కొనడం,,konaḍaṁ,konaɖam,,2,te-agent-v1;ipa=espeak
pronouns-verbs.like,ఇష్టపడడం,ఇష్టం,iṣṭapaḍaḍaṁ,iʂʈapaɖaɖam,to be pleasing; takes the dative nāku,2,te-agent-v1;ipa=espeak
pronouns-verbs.need,అవసరం,,avasaraṁ,aʋasaram,need is,2,te-agent-v1;ipa=espeak
pronouns-verbs.there-is-have,ఉంది,ఉన్నాయి,uṁdi,undi,unnāyi is the plural,2,te-agent-v1;ipa=espeak
pronouns-verbs.there-is-not-do-not-have,లేదు,లేవు,lēdu,leːdu,lēvu is the plural,2,te-agent-v1;ipa=espeak
pronouns-verbs.want-to-verb,నేను … ఆలి,,nēnu … āli,neːnu aːli,… is the verb stem: veḷḷ-āli = I want to go,2,te-agent-v1;ipa=espeak
pronouns-verbs.want-thing,నాకు … కావాలి,,nāku … kāvāli,naːku kaːʋaːli,,2,te-agent-v1;ipa=espeak
pronouns-verbs.need-thing,నాకు … అవసరం,,nāku … avasaraṁ,naːku aʋasaram,,2,te-agent-v1;ipa=espeak
pronouns-verbs.looking-for-thing,నేను … వెతుకుతున్నాను,,nēnu … vetukutunnānu,neːnu ʋetukutunnaːnu,,2,te-agent-v1;ipa=espeak
question-words.what,ఏమిటి,ఏంటి,ēmiṭi,eːmiʈi,ēṁṭi is the spoken form,2,te-agent-v1;ipa=espeak
question-words.where,ఎక్కడ,,ekkaḍa,ekkaɖa,,2,te-agent-v1;ipa=espeak
question-words.who,ఎవరు,,evaru,eʋaru,,2,te-agent-v1;ipa=espeak
question-words.which-one,ఏది,,ēdi,eːdi,,2,te-agent-v1;ipa=espeak
question-words.when,ఎప్పుడు,,eppuḍu,eppuɖu,,2,te-agent-v1;ipa=espeak
question-words.how,ఎలా,ఎట్లా,elā,elaː,eṭlā is the Telangana form,2,te-agent-v1;ipa=espeak
question-words.how-much-many,ఎంత,,eṁta,enta,,2,te-agent-v1;ipa=espeak
question-words.how-many,ఎన్ని,,enni,enni,for things you count,2,te-agent-v1;ipa=espeak
question-words.why,ఎందుకు,,eṁduku,enduku,,2,te-agent-v1;ipa=espeak
question-words.this,ఇది,,idi,idi,,2,te-agent-v1;ipa=espeak
question-words.that,అది,,adi,adi,,2,te-agent-v1;ipa=espeak
question-words.here,ఇక్కడ,,ikkaḍa,ikkaɖa,,2,te-agent-v1;ipa=espeak
question-words.there,అక్కడ,,akkaḍa,akkaɖa,,2,te-agent-v1;ipa=espeak
question-words.a-little,కొంచెం,,koṁceṁ,koɲtʃem,,2,te-agent-v1;ipa=espeak
question-words.some,కొన్ని,,konni,konni,,2,te-agent-v1;ipa=espeak
question-words.very,చాలా,,cālā,tʃaːlaː,,2,te-agent-v1;ipa=espeak
question-words.too,మరీ ఎక్కువ,,marī ekkuva,mariː ekkuʋa,too much,2,te-agent-v1;ipa=espeak
question-words.also,… కూడా,,… kūḍā,kuːɖaː,follows the word it attaches to,2,te-agent-v1;ipa=espeak
