concept_id,text,text_alt,ipa,literal,confidence,provenance
trail-words.trail,patika,yürüyüş yolu,patikˈa,,2,tr-agent-v1;ipa=espeak
trail-words.trailhead,yol başlangıcı,patika girişi,jˈɔɫ baʃɫanɡɯdʒˈɯ,,2,tr-agent-v1;ipa=espeak
trail-words.summit,zirve,,zɪrvˈɛ,,2,tr-agent-v1;ipa=espeak
trail-words.viewpoint,seyir terası,manzara noktası,sejˈɪr teɾasˈɯ,,2,tr-agent-v1;ipa=espeak
trail-words.cableway,teleferik,,telefeɾˈɪk,,2,tr-agent-v1;ipa=espeak
trail-words.shuttle-bus,servis otobüsü,ring,sɛrvˈɪs otobysˈø,,2,tr-agent-v1;ipa=espeak
trail-words.park-shuttle,park servisi,ring aracı,pˈark sɛrvisˈɪ,,1,tr-agent-v1;ipa=espeak
trail-words.steps,basamaklar,merdiven,basamakɫˈar,,2,tr-agent-v1;ipa=espeak
trail-words.up-uphill,yukarı / yokuş yukarı,,jukaɾˈɯ / jokˈʊʃ jukaɾˈɯ,,2,tr-agent-v1;ipa=espeak
trail-words.down-downhill,aşağı / yokuş aşağı,,aʃaːˈɯ / jokˈʊʃ aʃaːˈɯ,,2,tr-agent-v1;ipa=espeak
trail-words.one-way,tek yön,,tˈɛk jˈœn,,2,tr-agent-v1;ipa=espeak
trail-words.round-trip,gidiş-dönüş,,ɟidˈɪʃdœnøʃ,,2,tr-agent-v1;ipa=espeak
weather.forecast,Hava durumu nasıl?,,havˈa dˈuɾumʊ nasˈɯɫ,,2,tr-agent-v1;ipa=espeak
weather.will-it-rain,Bugün yağmur var mı?,,buɡˈøn jaːmˈʊr vˈar mɯ,,2,tr-agent-v1;ipa=espeak
weather.is-it-safe-today,Bugün güvenli mi?,,buɡˈøn ɟyvænlˈɪ mɪ,,2,tr-agent-v1;ipa=espeak
weather.how-cold-at-night,Geceleri kaç dereceye düşüyor?,,ɟedʒeleɾˈɪ kˈatʃ deɾˈedʒɛjɛ dyʃˈyjɔr,,2,tr-agent-v1;ipa=espeak
weather.rain,yağmur,,jaːmˈʊr,,2,tr-agent-v1;ipa=espeak
weather.snow,kar,,kˈar,,2,tr-agent-v1;ipa=espeak
weather.wind,rüzgâr,,røzɟˈar,,2,tr-agent-v1;ipa=espeak
weather.storm,fırtına,,fɯrtɯnˈa,,2,tr-agent-v1;ipa=espeak
weather.ice,buzlanma,buz,bʊzɫˈanma,,2,tr-agent-v1;ipa=espeak
weather.fog,sis,,sˈɪs,,2,tr-agent-v1;ipa=espeak
weather.heat,sıcak,aşırı sıcak,sɯdʒˈak,,2,tr-agent-v1;ipa=espeak
weather.cold,soğuk,,soːˈʊk,,2,tr-agent-v1;ipa=espeak
weather.humid,nemli,,næmlˈɪ,,2,tr-agent-v1;ipa=espeak
weather.sunrise,gün doğumu,,ɟˈøn dˈoːumʊ,,2,tr-agent-v1;ipa=espeak
weather.flood,sel,,sˈæl,,2,tr-agent-v1;ipa=espeak
weather.avalanche-risk,çığ riski,,tʃˈɯɯ rɪskˈɪ,,2,tr-agent-v1;ipa=espeak
hiking-parks.is-this-the-way-to,{} yolu bu mu?,,{} joɫˈʊ bʊ mʊ,,2,tr-agent-v1;ipa=espeak
