concept_id,text,text_alt,romanization_rtgs,ipa,literal,confidence,provenance
hotel-words.passport,พาสปอร์ต,หนังสือเดินทาง,phatpot,pʰaː˧sa˨˩pɔːt˨˩,,2,th-agent-v1;ipa=thaig2p
hotel-words.room-key-card,คีย์การ์ดห้อง,บัตรห้อง,khi kat hong,kʰiː˧ kaːt˦˥ hɔŋ˥˩,,2,th-agent-v1;ipa=thaig2p
hotel-words.check-in,เช็คอิน,,chek in,tɕʰek˦˥ ʔin˧,,2,th-agent-v1;ipa=thaig2p
hotel-words.check-out,เช็คเอาท์,,chek out,tɕʰek˦˥ ʔaw˦˥,,2,th-agent-v1;ipa=thaig2p
hotel-words.luggage-storage,ที่ฝากกระเป๋า,,thi fak krapao,tʰiː˥˩ faːk˨˩ kra˨˩raʔ˨˩paw˩˩˦,,2,th-agent-v1;ipa=thaig2p
hotel-basics.are-any-rooms-available,มีห้องว่างไหม,,mi hong wang mai,miː˧ hɔŋ˥˩ waːŋ˥˩ maj˩˩˦,,2,th-agent-v1;ipa=thaig2p
hotel-basics.there-are-two-of-us,มาสองคน,,ma song khon,maː˧ sɔːŋ˩˩˦ kʰon˧,,2,th-agent-v1;ipa=thaig2p
hotel-basics.i-have-a-reservation,จองไว้แล้ว,,chong wai laeo,tɕɔːŋ˧ waj˦˥ lɛːw˦˥,,2,th-agent-v1;ipa=thaig2p
hotel-basics.can-i-charge-my-phone,ชาร์จมือถือได้ไหม,,chat muethue dai mai,tɕʰaːt˦˥ mɯː˧tʰɯː˩˩˦ daːj˥˩ maj˩˩˦,,2,th-agent-v1;ipa=thaig2p
hotel-basics.i-would-like-a-non-smoking-room,ขอห้องปลอดบุหรี่,,kho hong plot buri,kʰɔː˩˩˦ hɔŋ˥˩ plɔːt˨˩ buʔ˨˩riː˨˩,,2,th-agent-v1;ipa=thaig2p
hotel-basics.i-would-like-a-quiet-room,ขอห้องเงียบๆ,,kho hong ngiap ngiap,kʰɔː˩˩˦ hɔŋ˥˩ ŋia̯p˥˩ŋɔː˧,,2,th-agent-v1;ipa=thaig2p
hotel-basics.is-there-a-washing-machine,มีเครื่องซักผ้าไหม,,mi khrueang sakpha mai,miː˧ kʰrɯa̯ŋ˥˩sak˦˥pʰaː˥˩ maj˩˩˦,,2,th-agent-v1;ipa=thaig2p
hotel-basics.is-wi-fi-free,ไวไฟฟรีไหม,,waifai fri mai,waj˧faj˧ friː˧ maj˩˩˦,,2,th-agent-v1;ipa=thaig2p
hotel-basics.how-much-per-night,คืนละเท่าไร,,khuen la thaorai,kʰɯːn˧ laʔ˦˥ tʰaw˥˩raj˧,,2,th-agent-v1;ipa=thaig2p
hotel-basics.is-breakfast-included,รวมอาหารเช้าไหม,,ruam ahan chao mai,rua̯m˧ ʔaː˧haːn˩˩˦tɕʰaw˦˥ maj˩˩˦,,2,th-agent-v1;ipa=thaig2p
hotel-basics.may-i-see-the-room,ขอดูห้องก่อน,,kho du hong kon,kʰɔː˩˩˦ duː˧ hɔŋ˥˩ kɔːn˨˩,,2,th-agent-v1;ipa=thaig2p
