concept_id,text,text_alt,ipa,literal,confidence,provenance
pronouns-verbs.i-me,men / meni,menga,men / meni,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.we-us,biz / bizni,bizga,biz / bizni,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.you,sen / seni,senga,sen / seni,"informal singular, to a friend or a child",2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.you-polite,siz / sizni,sizga,siz / sizni,"polite, and the form to use with a stranger",2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.he-him,u / uni,unga,u / uni,Uzbek has one third-person pronoun for both sexes,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.she-her,u / uni,unga,u / uni,Uzbek has one third-person pronoun for both sexes,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.they-them,ular / ularni,ularga,ular / ularni,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.my-mine,mening / meniki,,meniŋ / meniki,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.your-yours,sizning / sizniki,sening / seniki,sizniŋ / sizniki,polite; the informal pair is beside it,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.be-called-call,ismi … boʻlmoq / chaqirmoq,,ismi bolmɔq / tʃaqirmɔq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.have,menda bor,ega boʻlmoq,menda bɔr,at me there is,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.do-not-have,menda yoʻq,,menda joq,at me there is not,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.go,bormoq,ketmoq,bɔrmɔq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.come,kelmoq,,kelmɔq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.would-like,istayman,xohlayman,istajman,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.want,istamoq,xohlamoq,istamɔq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.look-for,qidirmoq,,qidirmɔq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.buy,sotib olmoq,olmoq,sɔtib ɔlmɔq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.like,yoqtirmoq,yoqmoq,jɔqtirmɔq,"yoqmoq is used impersonally: menga yoqadi, it pleases me",2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.need,kerak boʻlmoq,lozim boʻlmoq,kerak bolmɔq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.there-is-have,bor,,bɔr,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.there-is-not-do-not-have,yoʻq,,joq,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.want-to-verb,[feʼl]moqchiman,,feːlmɔqtʃiman,the ending -moqchiman goes straight on the verb stem,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
pronouns-verbs.want-thing,[narsa] istayman,,narsa istajman,,2,"Bodrogligeti, A. J. E., Modern Literary Uzbek: A Manual for Intensive Elementary, Intermediate, and Advanced Courses (LINCOM Europa, 2003); Waterson, N. (comp.), Uzbek-English Dictionary (Oxford University Press, 1980); Oʻzbek tilining izohli lugʻati (5 vols., Toshkent: Oʻzbekiston milliy ensiklopediyasi, 2006-2008);ipa=uz-g2p"
