concept_id,text,text_alt,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,Mikä huoneen numero tämä on?,,mˈikæ hˈuoneːn nˈumero tˈæmæ ˈon,,2,fi-agent-v1;ipa=espeak
building-help.i-am-lost,Olen eksynyt.,,ˈolen ˈeksynyt,,2,fi-agent-v1;ipa=espeak
building-help.where-is-reception,Missä on vastaanotto?,,mˈissæ ˈon vˈastaːnˌotto,,2,fi-agent-v1;ipa=espeak
building-help.where-is-a-power-outlet,Missä on pistorasia?,,mˈissæ ˈom pˈistorˌasia,,2,fi-agent-v1;ipa=espeak
accessibility.step-free,Pääseekö sisään ilman portaita?,,pˈæːseːkø sˈisæːn ˈilmam pˈortaita,"the everyday form of the esteetön question, which is what gets a useful answer",2,fi-agent-v1;ipa=espeak
accessibility.wheelchair-access,Pääseekö tänne pyörätuolilla?,,pˈæːseːkø tˈænne pˈyørætˌuolilla,esteetön is the signage term; this is the question a Finn would ask,2,fi-agent-v1;ipa=espeak
accessibility.elevator,Onko täällä hissi?,,ˈoŋko tˈæːllæ hˈissi,,2,fi-agent-v1;ipa=espeak
accessibility.ramp,Onko täällä luiska?,,ˈoŋko tˈæːllæ lˈuiska,,2,fi-agent-v1;ipa=espeak
accessibility.how-many-steps,Kuinka monta askelmaa siinä on?,,kˈuiŋka mˈonta ˈaskelmaː sˈiːnæ ˈon,askelma is a stair tread; askel would be a pace,2,fi-agent-v1;ipa=espeak
accessibility.cannot-climb-stairs,En pysty kulkemaan portaita.,,ˈem pˈysty kˈulkemaːm pˈortaita,,2,fi-agent-v1;ipa=espeak
accessibility.need-to-sit-down,Minun täytyy istua hetki.,,mˈinun tˈæytyː ˈistua hˈetki,,2,fi-agent-v1;ipa=espeak
accessibility.accessible-restroom,Onko täällä esteetön wc?,,ˈoŋko tˈæːllæ ˈesteːtøn vˈeːseː,,2,fi-agent-v1;ipa=espeak+loan
accessibility.station-assistance,Saako asemalla avustusta?,,sˈaːko ˈasemalla ˈavustˌusta,,2,fi-agent-v1;ipa=espeak
accessibility.help-me-carry,Voisitteko auttaa kantamaan tätä?,,vˈoisittˌeko ˈauttaː kˈantamaːn tˈætæ,"conditional plus the polite plural, which is how Finnish marks a request to a stranger",2,fi-agent-v1;ipa=espeak
