section_id,title
social-basics,Приветствия + основы
communication,Общение
quick-responses,Короткие ответы
phone-translation,Перевод в телефоне
phone-text-power,"Телефон, текст + заряд"
sim-data,"SIM, интернет + Wi-Fi"
introductions,Знакомство
etiquette,Чаевые + этикет
slang,Сленг (неформально)
time-scheduling,Время + встречи
time-words,Слова о времени
days-of-week,Дни недели
months,Месяцы
pronouns-verbs,Основные слова + схемы
question-words,Вопросы + мелкие слова
payment-receipt,Оплата + чек
numbers-money,Числа + деньги
atm-cash,Банкомат + наличные
dietary-needs,Питание + аллергии
utility-templates,Шаблоны фраз
shopping,Покупки
color-size-returns,"Цвет, размер + возврат"
tax-refund,Возврат налога
food-ordering,Еда + заказ
attractions-tickets,Экскурсии + билеты
children,С детьми
directions,Направления
quick-directions,Куда идти
taxi,Такси
building-help,Помощь в здании
accessibility,Доступ + мобильность
transit-rides,Транспорт + поездки
in-a-building,В здании
toilets,Туалеты
building-words,Слова в здании
hotel-words,Слова в отеле
hotel-basics,Отель: основное
hotel-requests,Просьбы в отеле
room-problems,Проблемы в номере
laundry,Стирка
place-words,Названия мест
border-customs,Граница + таможня
trail-words,Слова на тропе
pickup-meeting,Встреча + посадка
rail-station-words,Поезд + вокзал
common-signs,Частые таблички
weather,Погода + условия
hiking-parks,Походы + парки
trail-conditions,Условия + маршрут
trail-transport,Транспорт + услуги
trail-warnings,Предупреждения
trail-landmarks,Ориентиры + услуги
emergency-medical,Экстренная помощь
medical-conditions,Болезни + лекарства
pharmacy-symptoms,Аптека + симптомы
body-parts,Части тела
lost-rescue,Пропажи + спасение
police-consulate,Полиция + консульство
