section_id,title
social-basics,Udvariasság + alapok
communication,Megértés
quick-responses,Rövid válaszok
phone-translation,Fordítás telefonon
phone-text-power,"Telefon, üzenet + töltés"
sim-data,"SIM, adat + Wi-Fi"
introductions,Bemutatkozás
etiquette,Borravaló + szokások
time-scheduling,Idő + időpontok
time-words,Időszavak
days-of-week,A hét napjai
months,Hónapok
pronouns-verbs,Alapszavak + szerkezetek
question-words,Kérdések + rövid szavak
payment-receipt,Fizetés + nyugta
numbers-money,Számok + pénz
atm-cash,Bankautomata + készpénz
dietary-needs,Étkezési igények
utility-templates,Hasznos mondatok
shopping,Vásárlás
color-size-returns,"Szín, méret + csere"
tax-refund,Áfa-visszatérítés
food-ordering,Étkezés + rendelés
attractions-tickets,Látnivalók + jegyek
children,Gyerekkel
directions,Útbaigazítás
quick-directions,Rövid útbaigazítás
taxi,Taxi
building-help,Segítség egy épületben
accessibility,Akadálymentesség
transit-rides,Közlekedés + utazás
in-a-building,Épületben
toilets,Mosdók
building-words,Épületszavak
hotel-words,Szállodai szavak
hotel-basics,Szálloda alapok
hotel-requests,Szállodai kérések
room-problems,Gond a szobával
laundry,Mosás
place-words,Helyek szavai
border-customs,Határ + vám
trail-words,Túraszavak
pickup-meeting,Találkozó + felvétel
rail-station-words,Vonat + állomás
common-signs,Gyakori táblák
weather,Időjárás + viszonyok
hiking-parks,Túrázás + parkok
trail-conditions,Viszonyok + útvonal
trail-transport,Közlekedés + szolgáltatás
trail-warnings,Figyelmeztetések
trail-landmarks,Tájékozódás + szolgáltatás
emergency-medical,Vészhelyzet + orvos
medical-conditions,Betegségek + gyógyszerek
pharmacy-symptoms,Gyógyszertár + tünetek
body-parts,Testrészek
lost-rescue,Elveszett tárgyak + mentés
police-consulate,"Rendőrség, lopás + konzulátus"
