concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
directions.where-is,სად არის {}?,,sad aris {}?,sad aris {},,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.how-do-i-get-to,როგორ მივიდე: {}?,,rogor mivide: {}?,roɡor mivide {},how do I get: {}?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.is-it-far,შორს არის?,,shors aris?,ʃors aris,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.how-long-on-foot,ფეხით რამდენი ხანია?,,pekhit ramdeni khania?,pʰexitʰ ramdeni xania,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.please-show-me-on-the-map,"რუკაზე მაჩვენეთ, თუ შეიძლება",,"rukaze machvenet, tu sheidzleba","rukʼaze matʃʰvenetʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.where-is-the-nearest,სად არის უახლოესი {}?,,sad aris uakhloesi {}?,sad aris uaxloesi {},,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.where-am-i,სად ვარ?,,sad var?,sad var,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.which-way,რომელი მხარეს?,,romeli mkhares?,romeli mxares,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.can-i-walk-there,ფეხით მივალ?,,pekhit mival?,pʰexitʰ mival,can I get there on foot?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.how-far-is-it,რამდენად შორს არის?,,ramdenad shors aris?,ramdenad ʃors aris,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.which-exit,რომელი გასასვლელი?,,romeli gasasvleli?,romeli ɡasasvleli,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.can-you-show-me-the-way,გზას მიმასწავლებთ?,,gzas mimastsavlebt?,ɡzas mimastsʼavlebtʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.north,ჩრდილოეთი,,chrdiloeti,tʃʰrdiloetʰi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.south,სამხრეთი,,samkhreti,samxretʰi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.east,აღმოსავლეთი,,aghmosavleti,aɣmosavletʰi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
directions.west,დასავლეთი,,dasavleti,dasavletʰi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.go-straight,პირდაპირ,,pirdapir,pʼirdapʼir,straight ahead,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.turn-left,მარცხნივ მოუხვიეთ,,martskhniv moukhviet,martsʰxniv mouxvietʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.turn-right,მარჯვნივ მოუხვიეთ,,marjvniv moukhviet,mardʒvniv mouxvietʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.this-way,აქეთ,,aket,akʰetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.that-way,იქეთ,,iket,ikʰetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.on-the-left,მარცხნივ,,martskhniv,martsʰxniv,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.on-the-right,მარჯვნივ,,marjvniv,mardʒvniv,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.across-from-here,"პირდაპირ, მოპირდაპირე მხარეს",,"pirdapir, mopirdapire mkhares","pʼirdapʼir, mopʼirdapʼire mxares",opposite,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-directions.in-front,წინ,,tsin,tsʼin,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
