concept_id,text,text_alt,ipa,literal,confidence,provenance
atm-cash.where-is-an-atm,Où y a-t-il un distributeur ?,,u i atil œ̃ distʁibytˈœʁ,,2,fr-agent-v1;ipa=espeak
atm-cash.does-this-atm-take-foreign-cards,Ce distributeur prend-il les cartes étrangères ?,,sə distʁibytœʁ pʁɑ̃til le kaʁtz etʁɑ̃ʒˈɛʁ,,2,fr-agent-v1;ipa=espeak
atm-cash.the-atm-kept-my-card,Le distributeur a avalé ma carte,,lə distʁibytœʁ a avale ma kˈaʁt,,2,fr-agent-v1;ipa=espeak
atm-cash.is-there-a-fee,Y a-t-il des frais ?,,i atil de fʁˈɛ,,2,fr-agent-v1;ipa=espeak
atm-cash.the-card-was-declined,La carte a été refusée,,la kaʁt a ete ʁəfyzˈe,,2,fr-agent-v1;ipa=espeak
atm-cash.what-is-the-exchange-rate,Quel est le taux de change ?,,kɛl ɛ lə to də ʃˈɑ̃ʒ,,2,fr-agent-v1;ipa=espeak
atm-cash.no-money-came-out,Aucun billet n'est sorti,,okœ̃ bijɛ nɛ sɔʁtˈi,,2,fr-agent-v1;ipa=espeak
atm-cash.where-can-i-change-money,Où puis-je changer de l'argent ?,,u pyiʒ ʃɑ̃ʒe də laʁʒˈɑ̃,,2,fr-agent-v1;ipa=espeak
atm-cash.the-machine-is-out-of-service,L'appareil est hors service,,lapaʁɛj ɛ ɔʁ sɛʁvˈis,,2,fr-agent-v1;ipa=espeak
atm-cash.please-give-me-smaller-notes,"Des petites coupures, s'il vous plaît",,"de pətit kupˈyʁ, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
atm-cash.do-you-have-change,Avez-vous de la monnaie ?,,avevu də la mɔnˈɛ,,2,fr-agent-v1;ipa=espeak
atm-cash.may-i-pay-in,Puis-je payer en {} ?,,pyiʒ pɛje ˈɑ̃ {},,2,fr-agent-v1;ipa=espeak
atm-cash.please-charge-in-local-currency,Débitez en monnaie locale,,debitez ɑ̃ mɔnɛ lokˈal,,2,fr-agent-v1;ipa=espeak
atm-cash.where-can-i-get-coins,Où puis-je avoir des pièces ?,,u pyiʒ avwaʁ de pjˈɛs,,2,fr-agent-v1;ipa=espeak
atm-cash.is-there-a-minimum-for-cards,Y a-t-il un minimum par carte ?,,i atil œ̃ minimɔm paʁ kˈaʁt,,2,fr-agent-v1;ipa=espeak
atm-cash.atm,distributeur de billets,DAB,distʁibytœʁ də bijˈɛ,,2,fr-agent-v1;ipa=espeak
atm-cash.banknote,billet,,bijˈɛ,,2,fr-agent-v1;ipa=espeak
atm-cash.coin,pièce,,pjˈɛs,,2,fr-agent-v1;ipa=espeak
atm-cash.cash-only,Espèces uniquement,,ɛspɛsz ynikmˈɑ̃,,2,fr-agent-v1;ipa=espeak
atm-cash.fee,frais,commission,fʁˈɛ,,2,fr-agent-v1;ipa=espeak
atm-cash.change,la monnaie,,la mɔnˈɛ,,2,fr-agent-v1;ipa=espeak
atm-cash.exchange-rate,taux de change,,to də ʃˈɑ̃ʒ,,2,fr-agent-v1;ipa=espeak
atm-cash.bank,banque,,bˈɑ̃k,,2,fr-agent-v1;ipa=espeak
atm-cash.money-exchange,bureau de change,,byʁo də ʃˈɑ̃ʒ,,2,fr-agent-v1;ipa=espeak
atm-cash.pin,code confidentiel,code PIN,kɔd kɔ̃fidɑ̃sjˈɛl,,2,fr-agent-v1;ipa=espeak
