concept_id,text,text_alt,romanization_rr,ipa,literal,confidence,provenance
medical-conditions.i-am-diabetic,당뇨병이 있어요,,dangnyobyeongi isseoyo,taŋnjobjʌŋi is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-need-insulin,인슐린이 필요해요,,insyullini piryohaeyo,insjullini pʰiɾjohɛjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-have-asthma,천식이 있어요,,cheonsigi isseoyo,tɕʰʌnsiɡi is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-have-a-heart-condition,심장병이 있어요,,simjangbyeongi isseoyo,simdʑaŋbjʌŋi is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-am-allergic-to-penicillin,페니실린 알레르기가 있어요,,penisillin allereugiga isseoyo,pʰenisillin alleɾɯɡiɡa is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-have-epilepsy,뇌전증이 있어요,간질,noejeonjeungi isseoyo,nwedʑʌndʑɯŋi is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.my-blood-sugar-is-low,저혈당이에요,,jeohyeoldangieyo,tɕʌhjʌldaŋiejo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-need-my-inhaler,흡입기가 필요해요,,heubipgiga piryohaeyo,hɯbipkiɡa pʰiɾjohɛjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-am-pregnant,임신했어요,,imsinhaesseoyo,imsinhɛs͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-carry-an-adrenaline-injector,에피네프린 자가주사기가 있어요,에피펜이 있어요,epinepeurin jagajusagiga isseoyo,epʰinepʰɯɾin tɕaɡadʑusaɡiɡa is͈ʌjo,adrenaline auto-injector,2,ko-agent-v1;ipa=rr
medical-conditions.i-take-medicine-for,{} 약을 먹고 있어요,,{} yageul meokgo isseoyo,{} jaɡɯl mʌkko is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-take-blood-thinners,항응고제를 먹어요,,hangeunggojereul meogeoyo,haŋɯŋɡodʑeɾɯl mʌɡʌjo,anticoagulant,2,ko-agent-v1;ipa=rr
medical-conditions.medicine-allergy,약물 알레르기: {},,yangmul allereugi: {},jaŋmul alleɾɯɡi {},,2,ko-agent-v1;ipa=rr
medical-conditions.this-card-lists-my-conditions,이 카드에 제 병력이 있어요,,i kadeue je byeongnyeogi isseoyo,i kʰadɯe tɕe pjʌŋnjʌɡi is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.this-is-my-medicine,이게 제 약이에요,,ige je yagieyo,iɡe tɕe jaɡiejo,,2,ko-agent-v1;ipa=rr
medical-conditions.please-give-me-sugar-or-juice,설탕이나 주스를 주세요,,seoltangina juseureul juseyo,sʌltʰaŋina tɕusɯɾɯl tɕusejo,,2,ko-agent-v1;ipa=rr
medical-conditions.inject-it-into-my-outer-thigh,허벅지 바깥쪽에 놓아 주세요,,heobeokji bakkatjjoge noa juseyo,hʌbʌktɕi pak͈attɕ͈oɡe noa tɕusejo,,2,ko-agent-v1;ipa=rr
medical-conditions.my-blood-type-is,제 혈액형은 {}예요,,je hyeolaekhyeongeun {}yeyo,tɕe hjʌlɛkhjʌŋɯn {} jejo,,2,ko-agent-v1;ipa=rr
medical-conditions.do-not-give-me,{} 주지 마세요,,{} juji maseyo,{} tɕudʑi masejo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-am-allergic-to-aspirin-and-ibuprofen,"아스피린, 이부프로펜 알레르기예요",,"aseupirin, ibupeuropen allereugiyeyo","asɯpʰiɾin, ibupʰɯɾopʰen alleɾɯɡijejo",,2,ko-agent-v1;ipa=rr
medical-conditions.my-injector-is-in-my-bag,주사기는 가방에 있어요,,jusagineun gabange isseoyo,tɕusaɡinɯn kabaŋe is͈ʌjo,,2,ko-agent-v1;ipa=rr
medical-conditions.i-am-allergic-to-sulfa-drugs,설파제 알레르기가 있어요,,seolpaje allereugiga isseoyo,sʌlpʰadʑe alleɾɯɡiɡa is͈ʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.which-pharmacy-is-open-now,지금 문 연 약국 어디예요?,,jigeum mun yeon yakguk eodiyeyo?,tɕiɡɯm mun jʌn jakkuk ʌdijejo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-need-medicine-for,{} 약이 필요해요,,{} yagi piryohaeyo,{} jaɡi pʰiɾjohɛjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-fever,열이 나요,,yeori nayo,jʌɾi najo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-diarrhea,설사를 해요,,seolsareul haeyo,sʌlsaɾɯl hɛjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.where-is-an-all-night-pharmacy,심야약국이 어디예요?,,simyayakgugi eodiyeyo?,simjajakkuɡi ʌdijejo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.painkiller,진통제,,jintongje,tɕintʰoŋdʑe,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.do-i-need-a-prescription,처방전이 필요해요?,,cheobangjeoni piryohaeyo?,tɕʰʌbaŋdʑʌni pʰiɾjohɛjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-headache,머리가 아파요,,meoriga apayo,mʌɾiɡa apʰajo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.paracetamol-acetaminophen,아세트아미노펜,타이레놀,aseteuaminopen,asetʰɯaminopʰen,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.how-much-should-i-take,얼마나 먹어야 해요?,,eolmana meogeoya haeyo?,ʌlmana mʌɡʌja hɛjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-am-vomiting,토해요,,tohaeyo,tʰohɛjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.rehydration-salts,경구수액,경구수분보충용액,gyeonggusuaek,kjʌŋɡusuɛk,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.how-many-times-a-day,하루에 몇 번이에요?,,harue myeot beonieyo?,haɾue mjʌt pʌniejo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-stomach-ache,배가 아파요,,baega apayo,pɛɡa apʰajo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-cough,기침이 나요,,gichimi nayo,kitɕʰimi najo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.antihistamine,항히스타민제,,hanghiseutaminje,haŋhisɯtʰamindʑe,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.anti-diarrhea-medicine,지사제,설사약,jisaje,tɕisadʑe,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.is-this-safe-to-take-with,{}와 같이 먹어도 돼요?,,{}wa gachi meogeodo dwaeyo?,{} wa katɕʰi mʌɡʌdo twɛjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-feel-dizzy,어지러워요,,eojireowoyo,ʌdʑiɾʌwʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.ibuprofen,이부프로펜,,ibupeuropen,ibupʰɯɾopʰen,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-sore-throat,목이 아파요,,mogi apayo,moɡi apʰajo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.can-i-get-this-medicine-here,이 약 여기서 살 수 있어요?,,i yak yeogiseo sal su isseoyo?,i jak jʌɡisʌ sal su is͈ʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.bandage,붕대,밴드,bungdae,puŋdɛ,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.the-pain-is-severe,많이 아파요,,mani apayo,mani apʰajo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.antiseptic,소독약,소독제,sodongnyak,sodoŋnjak,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-feel-nauseous,메스꺼워요,,meseukkeowoyo,mesɯk͈ʌwʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-rash,발진이 났어요,,baljini nasseoyo,paldʑini nas͈ʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.before-or-after-food,"식전이에요, 식후예요?",,"sikjeonieyo, sikhuyeyo?","siktɕʌniejo, sikhujejo",,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-think-it-is-infected,감염된 것 같아요,,gamyeomdoen geot gatayo,kamjʌmdwen kʌt katʰajo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.motion-sickness-tablets,멀미약,,meolmiyak,mʌlmijak,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-cut,베였어요,,beyeosseoyo,pejʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.antacid,제산제,,jesanje,tɕesandʑe,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-have-a-burn,화상 입었어요,,hwasang ibeosseoyo,hwasaŋ ibʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.it-started-days-ago,{}일 전에 시작됐어요,,{}il jeone sijakdwaesseoyo,{} il tɕʌne sidʑaktwɛs͈ʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.cough-medicine,기침약,,gichimnyak,kitɕʰimnjak,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.is-this-safe-during-pregnancy,임신 중에 먹어도 돼요?,,imsin junge meogeodo dwaeyo?,imsin tɕuŋe mʌɡʌdo twɛjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-think-i-have-malaria,말라리아인 것 같아요,,malrariain geot gatayo,malɾaɾiain kʌt katʰajo,,2,malaria-reader-v1;roman=generated;ipa=rr
pharmacy-symptoms.i-need-a-malaria-test,말라리아 검사가 필요해요,,malraria geomsaga piryohaeyo,malɾaɾia kʌmsaɡa pʰiɾjohɛjo,,2,malaria-reader-v1;roman=generated;ipa=rr
police-consulate.where-is-the-police-station,경찰서가 어디예요?,,gyeongchalseoga eodiyeyo?,kjʌŋtɕʰalsʌɡa ʌdijejo,,2,ko-agent-v1;ipa=rr
police-consulate.i-want-to-report-a-theft,도난 신고하고 싶습니다,,donan singohago sipseumnida,tonan sinɡohaɡo sipsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.my-bag-was-stolen,가방을 도난당했습니다,,gabangeul donandanghaetseumnida,kabaŋɯl tonandaŋhɛtsɯmnida,,2,ko-agent-v1;ipa=rr
