concept_id,text,text_alt,ipa,literal,confidence,provenance
emergency-medical.help,Apua!,,ˈapua,,2,fi-agent-v1;ipa=espeak
emergency-medical.please-call-an-ambulance,Soittakaa ambulanssi!,,sˈoittakaː ˈambulˌanssi,,2,fi-agent-v1;ipa=espeak
emergency-medical.i-need-a-doctor,Tarvitsen lääkäriä.,,tˈarvitsen lˈæːkærˌiæ,,2,fi-agent-v1;ipa=espeak
emergency-medical.i-am-sick,Olen sairas.,,ˈolen sˈairas,,2,fi-agent-v1;ipa=espeak
emergency-medical.i-am-injured,Olen loukkaantunut.,,ˈolen lˈoukkaːntunut,,2,fi-agent-v1;ipa=espeak
emergency-medical.it-hurts-here,Tähän sattuu.,,tˈæhæn sˈattuː,,2,fi-agent-v1;ipa=espeak
emergency-medical.where-is-a-pharmacy,Missä on apteekki?,,mˈissæ ˈon ˈapteːkki,,2,fi-agent-v1;ipa=espeak
emergency-medical.please-take-me-to-a-hospital,Viekää minut sairaalaan.,,vˈiekæː mˈinut sˈairaːlaːn,,2,fi-agent-v1;ipa=espeak
emergency-medical.i-feel-unwell,Minulla on huono olo.,,mˈinulla ˈon hˈuono ˈolo,,2,fi-agent-v1;ipa=espeak
emergency-medical.this-is-an-emergency,Tämä on hätätilanne.,,tˈæmæ ˈon hˈætætilˌanne,,2,fi-agent-v1;ipa=espeak
emergency-medical.i-am-having-a-severe-allergic-reaction,Minulla on anafylaktinen reaktio.,,mˈinulla ˈon ˈanafylˌaktinen rˈeaktˌio,anafylaktinen reaktio is the term Finnish dispatchers and triage nurses act on,2,fi-agent-v1;ipa=espeak
emergency-medical.i-cannot-breathe,En saa henkeä.,,ˈen sˈaː hˈeŋkeæ,"the Finnish idiom, literally 'I do not get breath'",2,fi-agent-v1;ipa=espeak
emergency-medical.i-am-bleeding-badly,Vuodan runsaasti verta.,,vˈuodan rˈunsaːsti vˈerta,,2,fi-agent-v1;ipa=espeak
emergency-medical.i-have-chest-pain,Minulla on rintakipua.,,mˈinulla ˈon rˈintakˌipua,,2,fi-agent-v1;ipa=espeak
emergency-medical.this-person-is-unconscious,Tämä ihminen on tajuton.,,tˈæmæ ˈihminen ˈon tˈajuton,,2,fi-agent-v1;ipa=espeak
emergency-medical.where-is-the-nearest-hospital,Missä on lähin sairaala?,,mˈissæ ˈon lˈæhin sˈairaːla,,2,fi-agent-v1;ipa=espeak
emergency-medical.what-is-the-emergency-number,Mikä on hätänumero?,,mˈikæ ˈon hˈætænˌumero,in Finland the answer is 112 and there is no other,2,fi-agent-v1;ipa=espeak
emergency-medical.is-there-a-doctor-who-speaks-english,"Onko täällä lääkäriä, joka puhuu {source} kieltä?",,"ˈoŋko tˈæːllæ lˈæːkærˌiæ, jˈoka pˈuhuː {source} kˈieltæ",the slot is the genitive of the language name; kieli carries the partitive puhua wants,2,fi-agent-v1;ipa=espeak
emergency-medical.i-think-a-bone-is-broken,"Luulen, että luu on murtunut.",,"lˈuːlen, ˈettæ lˈuː ˈon mˈurtunut",,2,fi-agent-v1;ipa=espeak
emergency-medical.please-call-my-emergency-contact,Soittakaa hätätilanteen yhteyshenkilölleni.,,sˈoittakaː hˈætætilˌanteːn ˈyhteyshˌeŋkilˌølleni,,2,fi-agent-v1;ipa=espeak
emergency-medical.i-have-travel-insurance,Minulla on matkavakuutus.,,mˈinulla ˈon mˈatkavakˌuːtus,,2,fi-agent-v1;ipa=espeak
medical-conditions.i-am-diabetic,Minulla on diabetes.,,mˈinulla ˈon dˈiabetes,,2,fi-agent-v1;ipa=espeak
