concept_id,text,text_alt,ipa,literal,confidence,provenance
trail-words.trail,staza,,stˈaza,,2,hr-agent-v1;ipa=espeak
trail-words.trailhead,početak staze,,potʃetak stˈaze,,2,hr-agent-v1;ipa=espeak
trail-words.summit,vrh,,vrx,,2,hr-agent-v1;ipa=espeak
trail-words.viewpoint,vidikovac,,vidikovats,,2,hr-agent-v1;ipa=espeak
trail-words.cableway,uspinjača,žičara,uspiɲatʃa,"uspinjača runs on rails, žičara hangs from a cable",2,hr-agent-v1;ipa=espeak
trail-words.shuttle-bus,shuttle autobus,,ʃˈatl autobus,,2,hr-agent-v1;ipa=espeak+loan
trail-words.park-shuttle,park autobus,,pˈark autobus,,2,hr-agent-v1;ipa=espeak
trail-words.steps,stepenice,,stepenitse,,2,hr-agent-v1;ipa=espeak
trail-words.up-uphill,gore,uzbrdo,ɡˈore,,2,hr-agent-v1;ipa=espeak
trail-words.down-downhill,dolje,nizbrdo,dˈoʎe,,2,hr-agent-v1;ipa=espeak
trail-words.one-way,u jednom smjeru,,u jˈednom smjˈeru,,2,hr-agent-v1;ipa=espeak
trail-words.round-trip,u obje strane,,u ˈobje strˈane,'in both directions',2,hr-agent-v1;ipa=espeak
weather.forecast,Kakva je prognoza?,,kˈakva je proɡnoza,,2,hr-agent-v1;ipa=espeak
weather.will-it-rain,Hoće li danas padati kiša?,,xˈotɕe li dˈanas padati kˈiʃa,,2,hr-agent-v1;ipa=espeak
weather.is-it-safe-today,Je li danas sigurno?,,je li dˈanas siɡurno,,2,hr-agent-v1;ipa=espeak
weather.how-cold-at-night,Koliko je hladno noću?,,koliko je xlˈadno nˈotɕu,,2,hr-agent-v1;ipa=espeak
weather.rain,kiša,,kˈiʃa,,2,hr-agent-v1;ipa=espeak
weather.snow,snijeg,,snˈijeɡ,,2,hr-agent-v1;ipa=espeak
weather.wind,vjetar,,vjˈetar,,2,hr-agent-v1;ipa=espeak
weather.storm,nevrijeme,bura,nevrijeme,"bura is the strong northeasterly wind on the Adriatic, which is what a coastal warning names",2,hr-agent-v1;ipa=espeak
weather.ice,led,,lˈed,ice on the ground or the road,2,hr-agent-v1;ipa=espeak
weather.fog,magla,,mˈaɡla,,2,hr-agent-v1;ipa=espeak
weather.heat,vrućina,,vrutɕina,,2,hr-agent-v1;ipa=espeak
weather.cold,hladno,,xlˈadno,,2,hr-agent-v1;ipa=espeak
weather.humid,vlažno,,vlˈaʒno,,2,hr-agent-v1;ipa=espeak
weather.sunrise,izlazak sunca,,izlazak sˈuntsa,,2,hr-agent-v1;ipa=espeak
weather.flood,poplava,,poplava,,2,hr-agent-v1;ipa=espeak
weather.avalanche-risk,opasnost od lavina,,opasnost ˈod lavina,,2,hr-agent-v1;ipa=espeak
hiking-parks.is-this-the-way-to,Vodi li ovaj put ovamo: {}?,,vˈodi li ˈovaj pˈut ovamo {},'does this path lead here:' -- na and do take a case a bare name in the slot cannot carry,2,hr-agent-v1;ipa=espeak
hiking-parks.where-is-the-trailhead,Gdje je početak staze?,,ɡdjˈe je potʃetak stˈaze,,2,hr-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-summit,Koliko treba do vrha?,,koliko trˈeba dˈo vrxa,,2,hr-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-viewpoint,Koliko treba do vidikovca?,,koliko trˈeba dˈo vidikoftsa,,2,hr-agent-v1;ipa=espeak
hiking-parks.which-route-is-easier,Koja je staza lakša?,,kˈoja je stˈaza lˈakʃa,,2,hr-agent-v1;ipa=espeak
hiking-parks.is-this-trail-suitable-for-beginners,Je li ova staza za početnike?,,je li ˈova stˈaza zˈa potʃetnike,,2,hr-agent-v1;ipa=espeak
trail-conditions.how-long-is-the-full-route,Kolika je cijela staza?,,kolika je tsijela stˈaza,,2,hr-agent-v1;ipa=espeak
trail-conditions.can-we-return-the-same-way,Možemo li se vratiti istim putem?,,moʒemo li sˈe vratiti ˈistim pˈutem,,2,hr-agent-v1;ipa=espeak
trail-conditions.can-we-return-before-dark,Možemo li se vratiti prije mraka?,,moʒemo li sˈe vratiti prˈije mrˈaka,,2,hr-agent-v1;ipa=espeak
trail-conditions.is-the-trail-open,Je li staza otvorena?,,je li stˈaza otvorena,,2,hr-agent-v1;ipa=espeak
trail-conditions.is-the-route-steep,Je li staza strma?,,je li stˈaza strma,,2,hr-agent-v1;ipa=espeak
trail-conditions.is-the-path-slippery,Je li staza skliska?,,je li stˈaza sklˈiska,,2,hr-agent-v1;ipa=espeak
trail-transport.how-long-is-the-queue,Koliko je dugačak red?,,koliko je duɡatʃak rˈed,,2,hr-agent-v1;ipa=espeak
trail-transport.what-time-is-the-last-shuttle,U koliko sati ide zadnji autobus?,,u koliko sˈati ˈide zˈadɲi autobus,,2,hr-agent-v1;ipa=espeak
trail-transport.when-does-the-cableway-stop,Do koliko sati radi uspinjača?,,dˈo koliko sˈati rˈadi uspiɲatʃa,,2,hr-agent-v1;ipa=espeak
trail-transport.where-can-we-buy-water,Gdje možemo kupiti vodu?,,ɡdjˈe moʒemo kupiti vˈodu,,2,hr-agent-v1;ipa=espeak
trail-transport.where-can-we-refill-water,Gdje možemo natočiti vodu?,,ɡdjˈe moʒemo natotʃiti vˈodu,,2,hr-agent-v1;ipa=espeak
trail-transport.is-there-cell-signal-here,Ima li ovdje signala?,,ima li ˈovdje siɡnala,,2,hr-agent-v1;ipa=espeak
trail-transport.do-you-have-a-map,Imate li kartu?,,imate li kˈartu,,2,hr-agent-v1;ipa=espeak
trail-transport.how-long-is-the-wait,Koliko se čeka?,,koliko sˈe tʃˈeka,,2,hr-agent-v1;ipa=espeak
trail-warnings.open,otvoreno,,otvoreno,,2,hr-agent-v1;ipa=espeak
trail-warnings.closed,zatvoreno,,zatvoreno,,2,hr-agent-v1;ipa=espeak
