concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
pronouns-verbs.i-me,ຂ້ອຍ,ຂ້າພະເຈົ້າ,khoy,kʰɔːj˧˩,the neutral first person; ຂ້າພະເຈົ້າ is the formal one,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.we-us,ພວກເຮົາ,ເຮົາ,phouakhao,pʰua̯k˥˨haw˧˥,literally 'group-we',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.you,ເຈົ້າ,,chao,caw˥˨,neutral to someone you have just met,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.you-polite,ທ່ານ,,than,tʰaːn˧,"honorific, and what a sign or an announcement uses",2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.he-him,ລາວ,,lao,laːw˧˥,Lao marks no gender in the third person; the same word is a homograph of ລາວ 'Lao',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.she-her,ລາວ,,lao,laːw˧˥,Lao marks no gender in the third person,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.they-them,ພວກເຂົາ,ເຂົາເຈົ້າ,phouakkhao,pʰua̯k˥˨kʰaw˩,literally 'group-they',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.my-mine,ຂອງຂ້ອຍ,,khongkhoy,kʰɔːŋ˩kʰɔːj˧˩,literally 'of me'; Lao has no possessive pronoun,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.your-yours,ຂອງເຈົ້າ,,khongchao,kʰɔːŋ˩caw˥˨,literally 'of you',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.be-called-call,ຊື່,,xu,sɯː˧,the noun 'name' used as a verb,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.have,ມີ,,mi,miː˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.do-not-have,ບໍ່ມີ,,bomi,bɔː˧miː˧˥,ບໍ່ is the ordinary negator and precedes the verb,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.go,ໄປ,,pai,paj˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.come,ມາ,,ma,maː˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.would-like,ຢາກໄດ້,,yakdai,jaːk˧˩daj˥˨,literally 'want to get',2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.want,ຢາກ,,yak,jaːk˧˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.look-for,ຫາ,,ha,haː˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.buy,ຊື້,,xu,sɯː˥˨,ຊື້ 'buy' and ຊື່ 'name' differ only by the tone mark,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.like,ມັກ,,mak,mak˧,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.need,ຕ້ອງການ,,tongkan,tɔːŋ˥˨kaːn˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.there-is-have,ມີ,,mi,miː˧˥,Lao uses one word for 'have' and 'there is',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.there-is-not-do-not-have,ບໍ່ມີ,,bomi,bɔː˧miː˧˥,one word for 'do not have' and 'there is not',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.want-to-verb,ຢາກ,,yak,jaːk˧˩,goes straight in front of the verb,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.want-thing,ຢາກໄດ້,,yakdai,jaːk˧˩daj˥˨,for a thing rather than an action,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
pronouns-verbs.need-thing,ຕ້ອງການ,,tongkan,tɔːŋ˥˨kaːn˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
pronouns-verbs.looking-for-thing,ຫາ,,ha,haː˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.what,ຫຍັງ,,gnang,ɲaŋ˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.where,ໃສ,,sai,saj˩,"goes at the end of the question, after ຢູ່",2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
question-words.who,ໃຜ,,phai,pʰaj˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.which-one,ອັນໃດ,,andai,ʔan˩daj˩,literally 'which thing',2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.when,ເມື່ອໃດ,,muadai,mɯa̯˧daj˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.how,ແນວໃດ,ຢ່າງໃດ,noèdai,nwɛː˧˥daj˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.how-much-many,ເທົ່າໃດ,,thaodai,tʰaw˧daj˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.how-many,ຈັກ,,chak,cak˧˥,"goes in front of the classifier, not after it",2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
question-words.why,ເປັນຫຍັງ,,péngnang,pen˩ɲaŋ˩,literally 'being what',2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.this,ນີ້,,ni,niː˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.that,ນັ້ນ,,nan,nan˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.here,ທີ່ນີ້,,thini,tʰiː˧niː˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.there,ທີ່ນັ້ນ,,thinan,tʰiː˧nan˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.a-little,ໜ້ອຍໜຶ່ງ,,noynung,nɔːj˧˩nɯŋ˧,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.some,ບາງ,,bang,baːŋ˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.very,ຫຼາຍ,,lay,laːj˩,follows the word it modifies; also means 'many',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
question-words.too,ເກີນໄປ,,keunpai,kɤːn˩paj˩,"literally 'exceeding-go', and it follows the adjective",2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
question-words.also,ຄືກັນ,ນຳ,khukan,kʰɯː˧˥kan˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.all-both,ທັງໝົດ,,thangmôt,tʰaŋ˧˥mot˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
question-words.how-much-what-price,ລາຄາເທົ່າໃດ,,lakhathaodai,laː˧˥kʰaː˧˥tʰaw˧daj˩,literally 'price how much',2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
