concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
trail-words.trail,ਪਹਾੜੀ ਰਾਹ,,pahāṛī rāh,pəhaɽi ɾa˥,hill path,2,pa-agent-v1;ipa=espeak
trail-words.trailhead,ਰਾਹ ਦਾ ਮੁੱਢ,,rāh dā muḍḍh,ɾa˥ da mʊ˥ɖ,the start of the path,2,pa-agent-v1;ipa=espeak
trail-words.summit,ਚੋਟੀ,,cōṭī,coʈi,peak,2,pa-agent-v1;ipa=espeak
trail-words.viewpoint,ਨਜ਼ਾਰੇ ਵਾਲੀ ਥਾਂ,,nazārē vālī thāṁ,nəzaɾe ʋali tʰã,place with a view,2,pa-agent-v1;ipa=espeak
trail-words.cableway,ਰੱਸੀ ਵਾਲੀ ਗੱਡੀ,,rassī vālī gaḍḍī,ɾʌssi ʋali ɡʌɖɖi,rope car,2,pa-agent-v1;ipa=espeak
trail-words.shuttle-bus,ਆਉਣ-ਜਾਣ ਵਾਲੀ ਬੱਸ,,āuṇ-jāṇ vālī bass,aʊɳɟaɳ ʋali bʌs,the coming-and-going bus,2,pa-agent-v1;ipa=espeak
trail-words.park-shuttle,ਪਾਰਕ ਦੀ ਬੱਸ,,pārak dī bass,paɾək di bʌs,the park's bus,2,pa-agent-v1;ipa=espeak
trail-words.steps,ਪੌੜੀਆਂ,,pauṛīāṁ,pɔɽiã,,2,pa-agent-v1;ipa=espeak
trail-words.up-uphill,ਚੜ੍ਹਾਈ,,caṛhāī,cə˥ɽai,the climb,2,pa-agent-v1;ipa=espeak
trail-words.down-downhill,ਉਤਰਾਈ,,utarāī,ʊtəɾai,the descent,2,pa-agent-v1;ipa=espeak
trail-words.one-way,ਇੱਕ ਪਾਸੇ ਦਾ,,ikk pāsē dā,ɪk pase da,of one side,2,pa-agent-v1;ipa=espeak
trail-words.round-trip,ਆਉਣ-ਜਾਣ ਦਾ,,āuṇ-jāṇ dā,aʊɳɟaɳ da,of going and coming,2,pa-agent-v1;ipa=espeak
weather.forecast,ਮੌਸਮ ਦਾ ਹਾਲ ਕੀ ਹੈ?,,mausam dā hāl kī hai?,mɔsəm da hal ki hɛ,what is the weather's condition?,2,pa-agent-v1;ipa=espeak
