concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
pronouns-verbs.i-me,ഞാൻ / എനിക്ക്,,ñān / enikkŭ,ɲaːn / enikkɨ,I / to me,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.we-us,ഞങ്ങൾ / നമ്മൾ,ഞങ്ങൾക്ക്,ñaṅṅaḷ / nammaḷ,ɲaŋŋaɭ / nammaɭ,we (not you) / we (including you) — Malayalam marks the difference,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.you,നീ,,nī,niː,familiar — use നിങ്ങൾ instead,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.you-polite,നിങ്ങൾ,താങ്കൾ,niṅṅaḷ,niŋŋaɭ,use this always — താങ്കൾ is the formal written form,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.he-him,അവൻ / അവനെ,അദ്ദേഹം,avan / avane,avan / avane,that man / that man (object) — അദ്ദേഹം is the polite form,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.she-her,അവൾ / അവളെ,അവർ,avaḷ / avaḷe,avaɭ / avaɭe,that woman / that woman (object) — അവർ is the polite form,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.they-them,അവർ / അവരെ,,avar / avare,avaɾ / avaɾe,those ones — also the polite singular for either sex,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.my-mine,എന്റെ / എന്റേത്,,enṟe / enṟētŭ,ende / endeːd,my / mine — no agreement with the thing owned,2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.your-yours,നിങ്ങളുടെ / നിങ്ങളുടേത്,,niṅṅaḷuṭe / niṅṅaḷuṭētŭ,niŋŋaɭuɖe / niŋŋaɭuɖeːd,your / yours (polite),2,"Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997); Rajaraja Varma, Keralapanineeyam;ipa=espeak"
pronouns-verbs.be-called-call,പേര് / വിളിക്കുക,,pērŭ / viḷikkuka,peːɾɨ / viɭikkuɡa,name / to call,2,"Gundert, A Malayalam and English Dictionary (Basel Mission 1872, DSAL); Asher & Kumari, Malayalam (Routledge Descriptive Grammars 1997);ipa=espeak"
