concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
social-basics.hello,سلام,,salām,salɑm,,2,fa-agent-v1;ipa=espeak
social-basics.hello-polite,وقت بخیر,سلام علیکم,vaqt bekheyr,vaqt bexejr,'good time' -- the polite greeting at any hour; salām ‘aleykom is the traditional one,2,fa-agent-v1;ipa=espeak
social-basics.good-morning,صبح بخیر,,sobh bekheyr,sobh bexejr,,2,fa-agent-v1;ipa=espeak
social-basics.good-evening,عصر بخیر,,‘asr bekheyr,asr bexejr,,2,fa-agent-v1;ipa=espeak
social-basics.goodbye,خداحافظ,,khodāhāfez,xodɑhɑfez,,2,fa-agent-v1;ipa=espeak
social-basics.thank-you,متشکرم,ممنون / مرسی,motashakkeram,moteʃakkeram,mamnun and mersi are just as ordinary and shorter,2,fa-agent-v1;ipa=espeak
social-basics.you-are-welcome,خواهش می‌کنم,,khāhesh mikonam,xɑheʃ mikonam,,2,fa-agent-v1;ipa=espeak
social-basics.excuse-me-sorry,ببخشید,,bebakhshid,bebaxʃid,,2,fa-agent-v1;ipa=espeak
social-basics.sorry,متأسفم,ببخشید,mota’assefam,moteaʔssefam,,2,fa-agent-v1;ipa=espeak
social-basics.no-problem,مشکلی نیست,,moshkeli nist,moʃkeli nist,,2,fa-agent-v1;ipa=espeak
social-basics.i-do-not-know,نمی‌دانم,نمی‌دونم,nemidānam,nemidɑnam,spoken nemidunam,2,fa-agent-v1;ipa=espeak
social-basics.good-night,شب بخیر,,shab bekheyr,ʃab bexejr,,2,fa-agent-v1;ipa=espeak
social-basics.okay-fine-i-am-okay,باشه / خوبم,,bāshe / khubam,bɑʃe / xubam,okay / I am fine,2,fa-agent-v1;ipa=espeak
communication.i-do-not-speak-this-language,من {target} صحبت نمی‌کنم,,man {target} sohbat nemikonam,man {target} sohbat nemikonam,"the language name is a bare adverbial in Persian -- no preposition and no ezāfe, so one frame fits every fill",2,fa-agent-v1;ipa=espeak
communication.i-speak-only-a-little-of-this,من فقط کمی {target} صحبت می‌کنم,,man faqat kami {target} sohbat mikonam,man faqat kami {target} sohbat mikonam,,2,fa-agent-v1;ipa=espeak
communication.do-you-speak-english,شما {source} صحبت می‌کنید؟,,shomā {source} sohbat mikonid?,ʃomɑ {source} sohbat mikonid,,2,fa-agent-v1;ipa=espeak
communication.please-speak-more-slowly,لطفاً آهسته‌تر صحبت کنید,,lotfan āheste-tar sohbat konid,lotfan ɑhestetar sohbat konid,,2,fa-agent-v1;ipa=espeak
communication.i-do-not-understand-spoken,نمی‌فهمم چه می‌گویید,,nemifahmam che miguyid,nemifahmam tʃe miɡuid,,2,fa-agent-v1;ipa=espeak
communication.i-cannot-read-understand,این را نمی‌توانم بخوانم,,in rā nemitavānam bekhānam,in rɑ nemitavɑnam bexɑnam,"said while pointing at a sign, so it names no language",2,fa-agent-v1;ipa=espeak
communication.please-say-it-again,لطفاً دوباره بگویید,,lotfan dobāre beguyid,lotfan dobɑre beɡuid,,2,fa-agent-v1;ipa=espeak
communication.please-write-it-down,لطفاً بنویسید,,lotfan benevisid,lotfan benevisid,,2,fa-agent-v1;ipa=espeak
communication.please-wait-a-moment,لطفاً یک لحظه صبر کنید,,lotfan yek lahze sabr konid,lotfan jek lahze sabr konid,,2,fa-agent-v1;ipa=espeak
communication.can-you-help-me,می‌توانید کمکم کنید؟,,mitavānid komakam konid?,mitavɑnid komakam konid,,2,fa-agent-v1;ipa=espeak
communication.please-show-me-the-text,لطفاً متنِ {target} را نشان بدهید,,lotfan matn-e {target} rā neshān bedahid,lotfan matne {target} rɑ neʃɑn bedahid,,2,fa-agent-v1;ipa=espeak
communication.i-cannot-make-out-what-you-are-saying,حرفتان را متوجه نمی‌شوم,,harfetān rā motavajjeh nemishavam,harfetɑn rɑ motevadʒdʒe nemiʃavam,,2,fa-agent-v1;ipa=espeak
communication.i-do-not-understand,نمی‌فهمم,,nemifahmam,nemifahmam,,2,fa-agent-v1;ipa=espeak
communication.i-cannot-read-it,نمی‌توانم بخوانم,,nemitavānam bekhānam,nemitavɑnam bexɑnam,,2,fa-agent-v1;ipa=espeak
quick-responses.please-go-ahead,بفرمایید,,befarmāyid,befarmɑid,'go ahead' and 'here you are' and 'please sit' -- one word for all of them,2,fa-agent-v1;ipa=espeak
quick-responses.yes-right,بله / درست,,bale / dorost,bale / dorost,,2,fa-agent-v1;ipa=espeak
