concept_id,text,text_alt,ipa,literal,confidence,provenance
pronouns-verbs.i-me,I / me,,ˈaɪ / mˈiː,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.we-us,we / us,,wiː / ˌʌs,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.you,you,,juː,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.you-polite,you (polite),,juː pəlˈaɪt,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.he-him,he / him,,hiː / hˌɪm,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.she-her,she / her,,ʃiː / hɜː,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.they-them,they / them,,ðeɪ / ðˌɛm,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.my-mine,my / mine,,mˈaɪ / mˈaɪn,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.your-yours,your / yours,,jʊɹ / jˈoːɹz,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.be-called-call,be called / call,,biː kˈɔːld / kˈɔːl,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.have,have,,hˈæv,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.do-not-have,do not have,,duːnˌɑːt hˈæv,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.go,go,,ɡˈoʊ,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.come,come,,kˈʌm,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.would-like,would like,,wʊd lˈaɪk,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.want,want,,wˈɔnt,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.look-for,look for,,lˈʊk fɔːɹ,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.buy,buy,,bˈaɪ,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.like,like,,lˈaɪk,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.need,need,,nˈiːd,,2,latex-reference-v2;ipa=espeak
question-words.what,what,,wˌʌt,,2,latex-reference-v2;ipa=espeak
question-words.where,where,,wˈɛɹ,,2,latex-reference-v2;ipa=espeak
question-words.who,who,,hˈuː,,2,latex-reference-v2;ipa=espeak
question-words.which-one,which one,,wˌɪtʃ wˈʌn,,2,latex-reference-v2;ipa=espeak
question-words.when,when,,wˌɛn,,2,latex-reference-v2;ipa=espeak
question-words.how,how,,hˈaʊ,,2,latex-reference-v2;ipa=espeak
question-words.how-much-many,how much / many,,hˌaʊ mˈʌtʃ / mˈɛni,,2,latex-reference-v2;ipa=espeak
question-words.how-many,how many,,hˌaʊ mˈɛni,,2,latex-reference-v2;ipa=espeak
question-words.why,why,,wˈaɪ,,2,latex-reference-v2;ipa=espeak
question-words.this,this,,ðˈɪs,,2,latex-reference-v2;ipa=espeak
question-words.that,that,,ðˈæt,,2,latex-reference-v2;ipa=espeak
question-words.here,here,,hˈɪɹ,,2,latex-reference-v2;ipa=espeak
question-words.there,there,,ðˈɛɹ,,2,latex-reference-v2;ipa=espeak
question-words.a-little,a little,,ɐ lˈɪɾəl,,2,latex-reference-v2;ipa=espeak
question-words.some,some,,sˌʌm,,2,latex-reference-v2;ipa=espeak
question-words.very,very,,vˈɛɹi,,2,latex-reference-v2;ipa=espeak
question-words.too,too,,tˈuː,,2,latex-reference-v2;ipa=espeak
question-words.also,also,,ˈɔːlsoʊ,,2,latex-reference-v2;ipa=espeak
question-words.all-both,all / both,,ˈɔːl / bˈoʊθ,,2,latex-reference-v2;ipa=espeak
pronouns-verbs.there-is-have,there is / have,,ðɛɹˈɪz / hˈæv,,2,japanese-reviewed-v6;ipa=espeak
pronouns-verbs.there-is-not-do-not-have,there is not / do not have,,ðɛɹ ɪz nˈɑːt / duːnˌɑːt hˈæv,,2,japanese-reviewed-v6;ipa=espeak
pronouns-verbs.want-to-verb,want to [verb],,wˈɔnt tə vˈɜːb,,2,japanese-reviewed-v6;ipa=espeak
pronouns-verbs.want-thing,want [thing],,wˈɔnt θˈɪŋ,,2,japanese-reviewed-v6;ipa=espeak
pronouns-verbs.need-thing,need [thing],,nˈiːd θˈɪŋ,,2,japanese-reviewed-v6;ipa=espeak
pronouns-verbs.looking-for-thing,looking for [thing],,lˈʊkɪŋ fɔːɹ θˈɪŋ,,2,japanese-reviewed-v6;ipa=espeak
question-words.how-much-what-price,how much / what price,,hˌaʊ mˈʌtʃ / wˌʌt pɹˈaɪs,,2,japanese-reviewed-v6;ipa=espeak
