concept_id,text,text_alt,ipa,literal,confidence,provenance
directions.where-is,Ina {} yake?,,ina {} jake,where {} it-is(m) -- masculine agreement used as the template default,2,ha-agent-v1;ipa=ha-g2p
directions.how-do-i-get-to,Ta yaya zan je {}?,,ta jaja zan dʒe {},,2,ha-agent-v1;ipa=ha-g2p
directions.is-it-far,Yana da nisa?,,jana da nisa,it-is with distance,2,ha-agent-v1;ipa=ha-g2p
directions.how-long-on-foot,Tsawon lokaci nawa a kafa?,,tsʼawon lokatʃi nawa a kafa,,2,ha-agent-v1;ipa=ha-g2p
directions.please-show-me-on-the-map,Don Allah ka nuna mini a taswira,,don allah ka nuna mini a taswira,,2,ha-agent-v1;ipa=ha-g2p
directions.where-is-the-nearest,Ina {} mafi kusa yake?,,ina {} mafi kusa jake,,2,ha-agent-v1;ipa=ha-g2p
directions.where-am-i,Ina nake?,,ina nake,where I-am,2,ha-agent-v1;ipa=ha-g2p
directions.which-way,Wace hanya?,,watʃe hanja,,2,ha-agent-v1;ipa=ha-g2p
directions.can-i-walk-there,Zan iya tafiya can da kafa?,,zan ija tafija tʃan da kafa,,2,ha-agent-v1;ipa=ha-g2p
directions.how-far-is-it,Wane nisa ne?,,wane nisa ne,,2,ha-agent-v1;ipa=ha-g2p
directions.which-exit,Wace kofa?,,watʃe kofa,,2,ha-agent-v1;ipa=ha-g2p
directions.can-you-show-me-the-way,Za ka iya nuna mini hanya?,Za ki iya nuna mini hanya?,za ka ija nuna mini hanja,ki to a woman,2,ha-agent-v1;ipa=ha-g2p
directions.north,arewa,,arewa,,2,ha-agent-v1;ipa=ha-g2p
directions.south,kudu,,kudu,,2,ha-agent-v1;ipa=ha-g2p
directions.east,gabas,,ɡabas,,2,ha-agent-v1;ipa=ha-g2p
directions.west,yamma,,jamma,the same word as 'evening' -- west is the direction of sunset,2,ha-agent-v1;ipa=ha-g2p
quick-directions.go-straight,Miƙe gaba,,mikʼe ɡaba,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.turn-left,Juya hagu,,dʒuja haɡu,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.turn-right,Juya dama,,dʒuja dama,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.this-way,Wannan hanyar,,wannan hanjar,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.that-way,Wancan hanyar,,wantʃan hanjar,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.on-the-left,A hagu,,a haɡu,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.on-the-right,A dama,,a dama,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.across-from-here,Daura da nan,,daura da nan,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.in-front,A gaba,,a ɡaba,,2,ha-agent-v1;ipa=ha-g2p
quick-directions.behind,A baya,,a baja,,2,ha-agent-v1;ipa=ha-g2p
taxi.please-take-me-here,Don Allah ka kai ni nan,Don Allah ki kai ni nan,don allah ka kai ni nan,ki to a woman driver,2,ha-agent-v1;ipa=ha-g2p
taxi.please-send-me-the-address,Don Allah ka aiko mini da adireshin,,don allah ka aiko mini da adireʃin,,2,ha-agent-v1;ipa=ha-g2p
taxi.we-need-the-east-gate-not-the-south-gate,"Muna bukatar kofar gabas, ba kofar kudu ba",,"muna bukatar kofar ɡabas, ba kofar kudu ba",,2,ha-agent-v1;ipa=ha-g2p
taxi.please-stop-here,Don Allah ka tsaya nan,,don allah ka tsʼaja nan,,2,ha-agent-v1;ipa=ha-g2p
taxi.can-you-wait-for-me-here,Za ka iya jira ni a nan?,,za ka ija dʒira ni a nan,,2,ha-agent-v1;ipa=ha-g2p
taxi.we-need-to-catch-the-high-speed-train,Muna bukatar kama jirgin kasa mai saurin gudu,,muna bukatar kama dʒirɡin kasa mai saurin ɡudu,train that-has speed-of-running,2,ha-agent-v1;ipa=ha-g2p
taxi.please-use-the-meter,Don Allah ka yi amfani da mita,,don allah ka ji amfani da mita,,2,ha-agent-v1;ipa=ha-g2p
taxi.i-will-get-off-here,Zan sauka a nan,,zan sauka a nan,,2,ha-agent-v1;ipa=ha-g2p
transit-rides.two-tickets,Tikiti biyu,,tikiti biju,,2,ha-agent-v1;ipa=ha-g2p
transit-rides.where-is-the-subway-station,Ina tashar jirgin karkashin kasa take?,,ina taʃar dʒirɡin karkaʃin kasa take,station-of train under-ground,2,ha-agent-v1;ipa=ha-g2p
transit-rides.does-this-bus-train-go-to,Wannan bas ko jirgin yana zuwa {}?,,wannan bas ko dʒirɡin jana zuwa {},,2,ha-agent-v1;ipa=ha-g2p
transit-rides.what-is-the-next-stop,Mene ne tasha ta gaba?,,mene ne taʃa ta ɡaba,,2,ha-agent-v1;ipa=ha-g2p
transit-rides.please-tell-me-where-to-get-off,Don Allah ka gaya mini inda zan sauka,,don allah ka ɡaja mini inda zan sauka,,2,ha-agent-v1;ipa=ha-g2p
transit-rides.is-this-direct,Wannan kai tsaye ne?,,wannan kai tsʼaje ne,,2,ha-agent-v1;ipa=ha-g2p
