concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
trail-words.trail,पदमार्ग,,padamārga,pˌədəmˈaːrrɡə,,2,ne-agent-v1;ipa=espeak
trail-words.trailhead,पदमार्ग सुरु हुने ठाउँ,,padamārga suru hunē ṭhāum̐,pˌədəmˈaːrrɡə sˈuɾu hˈuneː ʈʰˈaːũ,,2,ne-agent-v1;ipa=espeak
trail-words.summit,शिखर,,śikhara,ʃˈɪkʰəɾˌə,,2,ne-agent-v1;ipa=espeak
trail-words.viewpoint,भ्यू पोइन्ट,,bhyū pōinṭa,bʰjˈuː poːˈɪnʈə,"as on real trailhead signage, e.g. Poon Hill",2,ne-agent-v1;ipa=espeak
trail-words.cableway,रोपवे,,rōpavē,ɾˌoːpəwˈeː,,2,ne-agent-v1;ipa=espeak
trail-words.shuttle-bus,शटल बस,,śaṭala basa,ʃˈʌʈəl bˈʌs,,2,ne-agent-v1;ipa=espeak
trail-words.park-shuttle,पार्कको बस,,pārkakō basa,pˈaːrrkəkˌoː bˈʌs,,2,ne-agent-v1;ipa=espeak
trail-words.steps,सिँढी,,sim̐ḍhī,sĩɖʰˈiː,,2,ne-agent-v1;ipa=espeak
trail-words.up-uphill,माथि / उकालो,,māthi / ukālō,mˈaːtʰɪ / ʊkˈaːloː,the word every trekking guide uses,2,ne-agent-v1;ipa=espeak
trail-words.down-downhill,तल / ओरालो,,tala / ōrālō,tˈʌl / oːɾˈaːloː,,2,ne-agent-v1;ipa=espeak
trail-words.one-way,एकतर्फी,,ēkatarphī,ˌeːkətˈʌrrpʰi,,2,ne-agent-v1;ipa=espeak
trail-words.round-trip,आउने-जाने,,āunē-jānē,ˈaːʊnˌeːɟaːneː,,2,ne-agent-v1;ipa=espeak
weather.forecast,मौसमको पूर्वानुमान के छ?,,mausamakō pūrvānumāna kē cha?,mˈɔːsəmˌəkoː puːrrwˈaːnumˌaːn kˈeː cʰˈə,,2,ne-agent-v1;ipa=espeak
weather.will-it-rain,आज पानी पर्छ?,,āja pānī parcha?,aːɟˈəː pˈaːni pˈʌrrcʰə,,2,ne-agent-v1;ipa=espeak
weather.is-it-safe-today,आज जानु सुरक्षित छ?,,āja jānu surakṣita cha?,aːɟˈəː ɟˈaːnuʲˌu suɾˈʌkʂɪt cʰˈə,,2,ne-agent-v1;ipa=espeak
weather.how-cold-at-night,राति कति जाडो हुन्छ?,,rāti kati jāḍō huncha?,ɾˈaːtɪ kˈʌtɪ ɟˈaːɖoː hˈuncʰə,,2,ne-agent-v1;ipa=espeak
weather.rain,पानी,,pānī,pˈaːni,"everyday Nepali for rain is its word for ""water""",2,ne-agent-v1;ipa=espeak
weather.snow,हिउँ,,hium̐,hˈɪũ,"distinct from बरफ ""ice"", both of which this card needs",2,ne-agent-v1;ipa=espeak
weather.wind,हावा,,hāvā,haːwˈaː,,2,ne-agent-v1;ipa=espeak
weather.storm,आँधी,,ām̐dhī,ãdʰˈiː,,2,ne-agent-v1;ipa=espeak
weather.ice,बरफ,,barapha,bˈʌɾəpʰ,"distinct from हिउँ ""snow""",2,ne-agent-v1;ipa=espeak
weather.fog,कुहिरो,,kuhirō,kˈuhɪɾˌoː,,2,ne-agent-v1;ipa=espeak
weather.heat,गर्मी,,garmī,ɡˈʌrrmi,,2,ne-agent-v1;ipa=espeak
weather.cold,जाडो,,jāḍō,ɟˈaːɖoː,,2,ne-agent-v1;ipa=espeak
weather.humid,आर्द्र,,ārdra,ˈaːrrdɾə,,2,ne-agent-v1;ipa=espeak
weather.sunrise,सूर्योदय,,sūryōdaya,sˈuːrrjoːdˌəjə,,2,ne-agent-v1;ipa=espeak
weather.flood,बाढी,,bāḍhī,bˈaːɖʰi,,2,ne-agent-v1;ipa=espeak
weather.avalanche-risk,हिमपहिरोको जोखिम,,himapahirōkō jōkhima,hˌɪməpˌəhɪɾˈoːkoː ɟˈoːkʰɪmˌə,"snow + landslide, the compound Nepali media uses",2,ne-agent-v1;ipa=espeak
hiking-parks.is-this-the-way-to,के यो बाटो {} तिर जान्छ?,,kē yō bāṭō {} tira jāncha?,kˈeː jˈoː bˈaːʈoː {} tˈɪɾə ɟˈaːncʰə,,2,ne-agent-v1;ipa=espeak
hiking-parks.where-is-the-trailhead,पदमार्ग कहाँबाट सुरु हुन्छ?,,padamārga kahām̐bāṭa suru huncha?,pˌədəmˈaːrrɡə kˌəhãbˈaːʈ sˈuɾu hˈuncʰə,,2,ne-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-summit,शिखरसम्म कति समय लाग्छ?,,śikharasamma kati samaya lāgcha?,ʃˌɪkʰəɾəsˈʌmmˌə kˈʌtɪ sˈʌməjˌə lˈaːɡcʰə,,2,ne-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-viewpoint,भ्यू पोइन्टसम्म कति समय लाग्छ?,,bhyū pōinṭasamma kati samaya lāgcha?,bʰjˈuː pˌoːɪnʈəsˈʌmmˌə kˈʌtɪ sˈʌməjˌə lˈaːɡcʰə,,2,ne-agent-v1;ipa=espeak
hiking-parks.which-route-is-easier,कुन बाटो सजिलो छ?,,kuna bāṭō sajilō cha?,kˈun bˈaːʈoː sˈʌɟɪlˌoː cʰˈə,,2,ne-agent-v1;ipa=espeak
hiking-parks.is-this-trail-suitable-for-beginners,के यो पदमार्ग सुरु गर्नेहरूका लागि उपयुक्त छ?,,kē yō padamārga suru garnēharūkā lāgi upayukta cha?,kˈeː jˈoː pˌədəmˈaːrrɡə sˈuɾu ɡˌərrneːhəɾˈuːkaː lˈaːɡɪ ˌʊpəjˈuktə cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-conditions.how-long-is-the-full-route,पूरा बाटो कति लामो छ?,,pūrā bāṭō kati lāmō cha?,pˈuːɾaː bˈaːʈoː kˈʌtɪ lˈaːmoː cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-conditions.can-we-return-the-same-way,के हामी उही बाटोबाट फर्कन सक्छौं?,,kē hāmī uhī bāṭōbāṭa pharkana sakchauṁ?,kˈeː hˈaːmi ˈʊhi bˌaːʈoːbˈaːʈ pʰˈʌrrkən səkcʰˈɔːn,,2,ne-agent-v1;ipa=espeak
trail-conditions.can-we-return-before-dark,के अँध्यारो हुनुअघि फर्कन सकिन्छ?,,kē am̐dhyārō hunuaghi pharkana sakincha?,kˈeː ãdʰjˈaːɾoː hˈunuˌəɡʰɪ pʰˈʌrrkən səkˈɪncʰə,,2,ne-agent-v1;ipa=espeak
trail-conditions.is-the-trail-open,पदमार्ग खुला छ?,,padamārga khulā cha?,pˌədəmˈaːrrɡə kʰˈulaː cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-conditions.is-the-route-steep,के बाटो ठाडो छ?,,kē bāṭō ṭhāḍō cha?,kˈeː bˈaːʈoː ʈʰˈaːɖoː cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-conditions.is-the-path-slippery,के बाटो चिप्लो छ?,,kē bāṭō ciplō cha?,kˈeː bˈaːʈoː cˈɪploː cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-transport.how-long-is-the-queue,लाइन कति लामो छ?,,lāina kati lāmō cha?,lˈaːɪn kˈʌtɪ lˈaːmoː cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-transport.what-time-is-the-last-shuttle,अन्तिम शटल कति बजे छ?,,antima śaṭala kati bajē cha?,ˈʌntɪmˌə ʃˈʌʈəl kˈʌtɪ bˈʌɟeː cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-transport.when-does-the-cableway-stop,रोपवे कति बजे बन्द हुन्छ?,,rōpavē kati bajē banda huncha?,ɾˌoːpəwˈeː kˈʌtɪ bˈʌɟeː bˈʌndə hˈuncʰə,,2,ne-agent-v1;ipa=espeak
trail-transport.where-can-we-buy-water,पानी कहाँ किन्न पाइन्छ?,,pānī kahām̐ kinna pāincha?,pˈaːni kˈʌhã kˈɪnnˌə paːˈɪncʰə,,2,ne-agent-v1;ipa=espeak
trail-transport.where-can-we-refill-water,पानी कहाँ भर्न पाइन्छ?,,pānī kahām̐ bharna pāincha?,pˈaːni kˈʌhã bʰˈʌrrnə paːˈɪncʰə,,2,ne-agent-v1;ipa=espeak
trail-transport.is-there-cell-signal-here,यहाँ मोबाइल नेटवर्क छ?,,yahām̐ mōbāila nēṭavarka cha?,jˈʌhã moːbˈaːɪl nˌeːʈəwˈʌrrkə cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-transport.do-you-have-a-map,नक्सा छ?,,naksā cha?,nˈʌksaː cʰˈə,,2,ne-agent-v1;ipa=espeak
trail-transport.how-long-is-the-wait,कति समय पर्खनुपर्छ?,,kati samaya parkhanuparcha?,kˈʌtɪ sˈʌməjˌə pˌərrkʰənupˈʌrrcʰə,,2,ne-agent-v1;ipa=espeak
trail-warnings.open,खुला,,khulā,kʰˈulaː,,2,ne-agent-v1;ipa=espeak
trail-warnings.closed,बन्द,,banda,bˈʌndə,,2,ne-agent-v1;ipa=espeak
trail-warnings.maintenance,मर्मत,,marmata,mˈʌrrmət,,2,ne-agent-v1;ipa=espeak
trail-warnings.steep-slope,ठाडो उकालो,,ṭhāḍō ukālō,ʈʰˈaːɖoː ʊkˈaːloː,,2,ne-agent-v1;ipa=espeak
trail-warnings.caution-slippery,सावधान: चिप्लो,,sāvadhāna: ciplō,sˌaːwədʰˈaːn cˈɪploː,,2,ne-agent-v1;ipa=espeak
trail-warnings.danger,खतरा,,khatarā,kʰˈʌtəɾˌaː,,2,ne-agent-v1;ipa=espeak
trail-warnings.beware-falling-rocks,ढुङ्गा खस्ने जोखिम,,ḍhuṅgā khasnē jōkhima,ɖʰˈuŋɡaː kʰˈʌsneː ɟˈoːkʰɪmˌə,,2,ne-agent-v1;ipa=espeak
trail-warnings.first-aid-station,प्राथमिक उपचार केन्द्र,,prāthamika upacāra kēndra,pɾˈaːtʰəmˌɪkə ˌʊpəcˈaːɾə kˈeːndɾə,,2,ne-agent-v1;ipa=espeak
trail-warnings.service-suspended,सेवा बन्द,,sēvā banda,seːwˈaː bˈʌndə,,2,ne-agent-v1;ipa=espeak
trail-landmarks.trail-marker,बाटोको चिन्ह,,bāṭōkō cinha,baːʈˈoːkoː cˈɪnhə,,2,ne-agent-v1;ipa=espeak
trail-landmarks.fork-junction,दोबाटो,,dōbāṭō,doːbˈaːʈoː,"native compound, ""two-path""",2,ne-agent-v1;ipa=espeak
trail-landmarks.boardwalk-cliff-path,काठे बाटो / भीरको बाटो,,kāṭhē bāṭō / bhīrakō bāṭō,kˈaːʈʰeː bˈaːʈoː / bʰˈɪːɾəkˌoː bˈaːʈoː,,2,ne-agent-v1;ipa=espeak
