concept_id,text,text_alt,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,Betala med kort?,,bətˈɑːla meːd kˈɔt,,2,sv-agent-v1;ipa=espeak
payment-receipt.pay-cash,Betala kontant?,,bətˈɑːla kˈɔntant,,2,sv-agent-v1;ipa=espeak
payment-receipt.pay-by-qr-code,Betala med QR-kod?,,bətˈɑːla meːd kˌʉˈɛrkoːd,,2,sv-agent-v1;ipa=espeak
payment-receipt.a-receipt-please,"Ett kvitto, tack.",,"ˈɛt kvˈɪtːuː, tˈak",,2,sv-agent-v1;ipa=espeak
payment-receipt.please-write-the-number,Kan du skriva numret?,,kan dʉ skrˈiːva nˈɵmrət,,2,sv-agent-v1;ipa=espeak
payment-receipt.how-much-in-total,Hur mycket blir det totalt?,,hˈʉr mˈykət blˈiːr deːt tuːtˈɑːlt,,2,sv-agent-v1;ipa=espeak
payment-receipt.can-we-pay-separately,Kan vi betala var för sig?,,kan viː bətˈɑːla vɑːr føːr sˈɛj,,2,sv-agent-v1;ipa=espeak
payment-receipt.is-tax-included,Ingår moms?,,ˈɪŋoːr mˈɔms,,2,sv-agent-v1;ipa=espeak
payment-receipt.my-card-was-declined,Mitt kort blev nekat.,,mɪt kˈɔt blˈeːv nˈeːkat,,2,sv-agent-v1;ipa=espeak
payment-receipt.the-bill-is-wrong,Jag tror att notan är fel.,,jɑːɡ trˈuːr at nˈuːtan ɛːr fˈeːl,,2,sv-agent-v1;ipa=espeak
payment-receipt.i-already-paid,Jag har redan betalat.,,jɑːɡ hɑːr rˈeːdan bətˈɑːlat,,2,sv-agent-v1;ipa=espeak
shopping.i-am-just-looking,Jag bara tittar.,,jɑːɡ bˈɑːra tˈɪtːar,,2,sv-agent-v1;ipa=espeak
shopping.how-much-is-this,Hur mycket kostar den här?,,hˈʉr mˈykət kˈɔstar dɛn hˈɛːr,,2,sv-agent-v1;ipa=espeak
shopping.that-is-too-expensive,Det är för dyrt.,,deːt ɛːr føːr dˈyt,,2,sv-agent-v1;ipa=espeak
shopping.can-it-be-a-little-cheaper,Kan det bli lite billigare?,,kan deːt blˈiː lˈiːtə bˈɪliːɡˌarə,,2,sv-agent-v1;ipa=espeak
shopping.is-there-a-discount,Finns det rabatt?,,fˈɪns deːt rˈabat,,2,sv-agent-v1;ipa=espeak
shopping.where-do-i-pay,Var betalar jag?,,vɑːr bətˈɑːlar jɑːɡ,,2,sv-agent-v1;ipa=espeak
shopping.i-will-take-this,Jag tar den här.,,jɑːɡ tˈɑːr dɛn hˈɛːr,,2,sv-agent-v1;ipa=espeak
shopping.what-is-this,Vad är det här?,,vɑːd ɛːr deːt hˈɛːr,,2,sv-agent-v1;ipa=espeak
shopping.where-can-i-buy,Var kan jag köpa {}?,,vɑːr kan jɑːɡ ɕˈøːpa {},,2,sv-agent-v1;ipa=espeak
shopping.do-you-have-this-in-stock,Har ni den här i lager?,,hɑːr niː dɛn hˈɛːr iː lˈɑːɡər,,2,sv-agent-v1;ipa=espeak
shopping.two-of-these,"Två sådana, tack.",,"tvˈoː sˈoːdanˌa, tˈak",,2,sv-agent-v1;ipa=espeak
shopping.what-is-it-made-of,Vad är den gjord av?,,vɑːd ɛːr dɛn jˈuːrd ɑːv,,2,sv-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-color,Har ni en annan färg?,,hɑːr niː ɛn ˈanan fˈɛrj,,2,sv-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-size,Har ni en annan storlek?,,hɑːr niː ɛn ˈanan stˈuːrlək,,2,sv-agent-v1;ipa=espeak
color-size-returns.may-i-try-it-on,Får jag prova den?,,fˈoːr jɑːɡ prˈuːva dɛn,,2,sv-agent-v1;ipa=espeak
color-size-returns.can-i-return-it,Kan jag lämna tillbaka den?,,kan jɑːɡ lˈɛmna tˈɪlbɑːkˌa dɛn,,2,sv-agent-v1;ipa=espeak
color-size-returns.can-i-exchange-it,Kan jag byta den?,,kan jɑːɡ bˈyːta dɛn,,2,sv-agent-v1;ipa=espeak
color-size-returns.do-you-have-a-bag,Har ni en påse?,,hɑːr niː ɛn pˈoːsə,,2,sv-agent-v1;ipa=espeak
tax-refund.can-i-get-a-tax-refund,Kan jag få momsåterbäring?,,kan jɑːɡ fˈoː mˈɔmsoːtˌɛrbɛːrˌɪŋ,,2,sv-agent-v1;ipa=espeak
tax-refund.is-tax-free-shopping-available,Finns det tax free-handel här?,,fˈɪns deːt tˈaks frˈeːəhandəl hˈɛːr,,2,sv-agent-v1;ipa=espeak
