concept_id,respell
building-help.what-room-number-is-this,kwal EH oo NOO-muh-roo DESH-tah SAH-lah
accessibility.step-free,ah ah-SEH-soo seng duh-GROWSH
in-a-building.is-this-the-correct-entrance,ESH-tah EH ah eng-TRAH-dah SEHR-tah
toilets.where-toilet,ONG-dee EH ah KAH-zah duh BAH-nyoo
building-words.elevator,oo ee-luh-vah-DOR
pronouns-verbs.i-me,EH-oo / muh
question-words.what,oo KAY
emergency-medical.help,soo-KOH-hoo
medical-conditions.i-am-diabetic,TEH-nyoo dyah-BEH-tish
pharmacy-symptoms.which-pharmacy-is-open-now,kuh far-MAH-syah shtah ah-BEHR-tah ah-GOH-rah
body-parts.head,ah kah-BEH-sah
lost-rescue.i-lost-my-passport,per-DEE oo MEH-oo pah-sah-POR-tuh
police-consulate.where-is-the-police-station,ONG-duh FEE-kah ah shKWAH-drah dah poo-LEE-syah
dietary-needs.no-meat,seng KAR-nuh
food-ordering.table-for-two,MEH-zah PAH-rah DOYSH
trail-words.trail,oo TREE-lyoo
weather.forecast,kwal EH ah pruh-vee-ZOWNG doo TENG-poo
hiking-parks.is-this-the-way-to,EH ESH-tuh oo kah-MEE-nyoo PAH-rah {}
trail-conditions.how-long-is-the-full-route,kuh deesh-TANG-syah teng oo per-KOOR-soo TOH-doo
trail-transport.how-long-is-the-queue,KWANG-too TENG-poo duh FEE-lah
trail-warnings.open,ah-BEHR-too
trail-landmarks.trail-marker,ah MAR-kah doo TREE-lyoo
hotel-words.passport,oo pah-sah-POR-tuh
hotel-basics.are-any-rooms-available,TAY-eng KWAR-toosh deesh-poo-NEE-vaysh
hotel-requests.can-i-check-out-later,POH-soo fah-ZER shehk-OWT MYSH TAR-duh
room-problems.there-is-a-problem-with-the-room,ah oong proo-BLEH-mah noo KWAR-too
laundry.please-wash-these-clothes,"LAH-vuh ESH-tah HOH-pah, poor fah-VOR"
introductions.my-name-is,SHAH-moo-muh {}
numbers-money.l-ng,ZEH-roo
atm-cash.where-is-an-atm,ONG-duh AH oong mool-tee-BANG-koo
attractions-tickets.where-can-i-buy-tickets,ONG-duh POH-soo kong-PRAR bee-LYEH-tish
payment-receipt.pay-by-card,pah-GAR kong kar-TOWNG
shopping.i-am-just-looking,shtoh SAW ah VER
color-size-returns.do-you-have-another-color,teng OH-trah KOR
