section_id,title
social-basics,ದಿನದ ಮಾತು
communication,ಸಂವಹನ
quick-responses,ಸಣ್ಣ ಉತ್ತರ
phone-translation,ಫೋನ್ ಅನುವಾದ
phone-text-power,"ಫೋನ್, ಸಂದೇಶ + ಚಾರ್ಜ್"
sim-data,"ಸಿಮ್, ಡೇಟಾ + ವೈ-ಫೈ"
introductions,ಪರಿಚಯ
etiquette,ಟಿಪ್ + ಸೌಜನ್ಯ
slang,ಆಡುಮಾತು
profanity,ಕೆಟ್ಟ ಮಾತು
time-scheduling,ಸಮಯ + ಭೇಟಿ
time-words,ಸಮಯದ ಪದ
days-of-week,ವಾರದ ದಿನಗಳು
months,ತಿಂಗಳುಗಳು
pronouns-verbs,ಮುಖ್ಯ ಪದ + ಚೌಕಟ್ಟು
question-words,ಪ್ರಶ್ನೆ + ಸಣ್ಣ ಪದ
payment-receipt,ಹಣ + ರಸೀದಿ
numbers-money,ಸಂಖ್ಯೆ + ಹಣ
atm-cash,ಎಟಿಎಂ + ನಗದು
dietary-needs,ಆಹಾರದ ನಿಯಮ
utility-templates,ಸಿದ್ಧ ವಾಕ್ಯ
shopping,ಖರೀದಿ
color-size-returns,"ಬಣ್ಣ, ಅಳತೆ + ವಾಪಸ್"
tax-refund,ತೆರಿಗೆ ವಾಪಸಾತಿ
food-ordering,ಊಟ + ಆರ್ಡರ್
attractions-tickets,ನೋಡುವ ಸ್ಥಳ + ಟಿಕೆಟ್
children,ಮಕ್ಕಳ ಜೊತೆ
directions,ದಾರಿ
quick-directions,ಸಣ್ಣ ದಾರಿ ಸೂಚನೆ
taxi,ಟ್ಯಾಕ್ಸಿ
building-help,ಕಟ್ಟಡದಲ್ಲಿ ಸಹಾಯ
accessibility,ಪ್ರವೇಶ + ಓಡಾಟ
transit-rides,ಸಾರಿಗೆ + ಪ್ರಯಾಣ
in-a-building,ಕಟ್ಟಡದ ಒಳಗೆ
toilets,ಶೌಚಾಲಯ
building-words,ಕಟ್ಟಡದ ಪದ
hotel-words,ಹೋಟೆಲ್ ಪದ
hotel-basics,ಹೋಟೆಲ್ ಮೂಲ
hotel-requests,ಹೋಟೆಲ್ ಕೋರಿಕೆ
room-problems,ಕೊಠಡಿಯ ತೊಂದರೆ
laundry,ಬಟ್ಟೆ ಒಗೆಯುವುದು
place-words,ಸ್ಥಳದ ಪದ
border-customs,ಗಡಿ + ಸುಂಕ
trail-words,ಚಾರಣದ ಪದ
pickup-meeting,ಕರೆದುಕೊಳ್ಳುವುದು + ಭೇಟಿ
rail-station-words,ರೈಲು + ನಿಲ್ದಾಣದ ಪದ
common-signs,ಸಾಮಾನ್ಯ ಫಲಕ
weather,ಹವಾಮಾನ + ಸ್ಥಿತಿ
hiking-parks,ಚಾರಣ + ಉದ್ಯಾನ
trail-conditions,ಸ್ಥಿತಿ + ಮಾರ್ಗ
trail-transport,ಸಾರಿಗೆ + ಸೇವೆ
trail-warnings,ಚಾರಣದ ಎಚ್ಚರಿಕೆ
trail-landmarks,ಗುರುತು + ಸೇವೆ
emergency-medical,ತುರ್ತು + ವೈದ್ಯಕೀಯ
medical-conditions,ಕಾಯಿಲೆ + ಔಷಧ
pharmacy-symptoms,ಔಷಧ ಅಂಗಡಿ + ಲಕ್ಷಣ
body-parts,ದೇಹದ ಭಾಗ
lost-rescue,ಕಳೆದ ವಸ್ತು + ರಕ್ಷಣೆ
police-consulate,"ಪೊಲೀಸ್, ಕಳ್ಳತನ + ದೂತಾವಾಸ"
