section_id,title
social-basics,Politețe + bază
communication,Comunicare
quick-responses,Răspunsuri rapide
phone-translation,Traducere pe telefon
phone-text-power,"Telefon, mesaje + baterie"
sim-data,"SIM, date + Wi-Fi"
introductions,Prezentări
etiquette,Bacșiș + etichetă
slang,Argou (informal)
profanity,Înjurături (puternice)
time-scheduling,Timp + programare
time-words,Cuvinte despre timp
days-of-week,Zilele săptămânii
months,Lunile anului
pronouns-verbs,Cuvinte + tipare de bază
question-words,Întrebări + cuvinte scurte
payment-receipt,Plată + bon
numbers-money,Numere + bani
atm-cash,Bancomat + numerar
dietary-needs,Nevoi alimentare
utility-templates,Fraze utile
shopping,Cumpărături
color-size-returns,"Culoare, mărime + retur"
tax-refund,Restituire TVA
food-ordering,Mâncare + comandă
attractions-tickets,Obiective + bilete
children,Cu copiii
directions,Direcții
quick-directions,Direcții rapide
taxi,Taxi
building-help,Ajutor în clădire
accessibility,Acces + mobilitate
transit-rides,Transport + călătorii
in-a-building,Într-o clădire
toilets,Toalete
building-words,Cuvinte despre clădiri
hotel-words,Cuvinte de hotel
hotel-basics,Bazele hotelului
hotel-requests,Cereri la hotel
room-problems,Probleme cu camera
laundry,Spălătorie
place-words,Cuvinte despre locuri
border-customs,Frontieră + vamă
trail-words,Cuvinte de traseu
pickup-meeting,Întâlnire + preluare
rail-station-words,Tren + gară
common-signs,Semne comune
weather,Vreme + condiții
hiking-parks,Drumeții + parcuri
trail-conditions,Condiții + traseu
trail-transport,Transport + servicii
trail-warnings,Avertismente pe traseu
trail-landmarks,Repere + servicii pe traseu
emergency-medical,Urgență + medical
medical-conditions,Afecțiuni + medicamente
pharmacy-symptoms,Farmacie + simptome
body-parts,Părți ale corpului
lost-rescue,Obiecte pierdute + salvare
police-consulate,"Poliție, furt + consulat"
