concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
numbers-money.l-ng,ዜሮ,ባዶ,zēro,zero,ባዶ is the colloquial one,2,am-agent-v1;ipa=bgn-am
numbers-money.y,አንድ,,ānd,ʔand,,2,am-agent-v1;ipa=bgn-am
numbers-money.r,ሁለት,,hulett,hulətː,,2,am-agent-v1;ipa=bgn-am
numbers-money.li-ng,ሁለት + መቁጠሪያ,,hulett + mekʼutʼerīya,hulətː məkʼutʼərija,two plus a classifier,2,am-agent-v1;ipa=bgn-am
numbers-money.s-n,ሶስት,,sost,sost,,2,am-agent-v1;ipa=bgn-am
numbers-money.s,አራት,,ārat,ʔarat,,2,am-agent-v1;ipa=bgn-am
numbers-money.w,አምስት,,āmmist,ʔamːɨst,,2,am-agent-v1;ipa=bgn-am
numbers-money.li,ስድስት,,sidist,sɨdɨst,,2,am-agent-v1;ipa=bgn-am
numbers-money.q,ሰባት,,sebat,səbat,,2,am-agent-v1;ipa=bgn-am
numbers-money.b,ስምንት,,siminit,sɨmɨnɨt,,2,am-agent-v1;ipa=bgn-am
numbers-money.ji,ዘጠኝ,,zetʼenny,zətʼəɲː,,2,am-agent-v1;ipa=bgn-am
numbers-money.sh,አስር,,āsir,ʔasɨr,,2,am-agent-v1;ipa=bgn-am
numbers-money.y-b-i,መቶ,,meto,məto,,2,am-agent-v1;ipa=bgn-am
numbers-money.y-qi-n,ሺ,,shī,ʃi,,2,am-agent-v1;ipa=bgn-am
numbers-money.y-w-n,አስር ሺ,,āsir shī,ʔasɨr ʃi,ten thousand,2,am-agent-v1;ipa=bgn-am
numbers-money.b-n,ግማሽ,,gimash,ɡɨmaʃ,half,2,am-agent-v1;ipa=bgn-am
numbers-money.yu-n,ዩዋን,,yuwan,juwan,,2,am-agent-v1;ipa=bgn-am
numbers-money.ku-i,ዩዋን,ኳዪ,yuwan,juwan,the spoken form,2,am-agent-v1;ipa=bgn-am
numbers-money.number-and-classifier-notes,ቁጥር አሰራር፦ 11 = 10 + 1፤ 20 = 2 ጊዜ 10፤ 21 = 2 ጊዜ 10 + 1። በስልክ ቁጥር 1 ብዙ ጊዜ ያኦ ይባላል። ማንኛውም ስም ከቁጥር ጋር መቁጠሪያ ይፈልጋል፦ ገ ለጠቅላላ፤ ወይ ለሰዎች፤ ጃንግ ለቲኬትና ለጠፍጣፋ ነገር፤ በይ ለስኒ፤ ፒንግ ለጠርሙስ። ጅያኦ ወይም ማኦ 0.1 ዩዋን ሲሆን ፈን 0.01 ዩዋን ነው።,,kʼutʼir āserar፦ 11 = 10 + 1፤ 20 = 2 gīzē 10፤ 21 = 2 gīzē 10 + 1። beslik kʼutʼir 1 bizu gīzē yaʼo yibbalal። maninyawim sim kekʼutʼir gar mekʼutʼerīya yifelligal፦ ge letʼekʼilala፤ wey lesewoch፤ jang letīkētinna letʼefitʼafa neger፤ bey lesinī፤ pīng letʼermus። jiyaʼo weyim maʼo 0.1 yuwan sīhon fen 0.01 yuwan new።,,,2,am-agent-v1
numbers-money.2-items,ሁለት ዕቃ,,hulett ʽikʼa,hulətː ʔɨkʼa,,2,am-agent-v1;ipa=bgn-am
