concept_id,text,text_alt,ipa,literal,confidence,provenance
social-basics.hello,Halo,,hˈalo,,2,id-agent-v1;ipa=espeak
social-basics.hello-polite,Selamat siang,Selamat pagi · Selamat sore,səlˈamat sˈiaŋ,"pagi to 11, siang to 3, sore to dusk",2,id-agent-v1;ipa=espeak
social-basics.good-morning,Selamat pagi,,səlˈamat pˈaɡi,,2,id-agent-v1;ipa=espeak
social-basics.good-evening,Selamat malam,,səlˈamat mˈalam,,2,id-agent-v1;ipa=espeak
social-basics.goodbye,Sampai jumpa,Selamat tinggal,sˈampaɪ dʒˈumpa,,2,id-agent-v1;ipa=espeak
social-basics.thank-you,Terima kasih,,tərˈima kˈasih,,2,id-agent-v1;ipa=espeak
social-basics.you-are-welcome,Sama-sama,,sˈamasama,,2,id-agent-v1;ipa=espeak
social-basics.excuse-me-sorry,Permisi,Maaf,pərmˈisi,permisi to pass or get attention,2,id-agent-v1;ipa=espeak
social-basics.sorry,Maaf,,mˈaaf,,2,id-agent-v1;ipa=espeak
social-basics.no-problem,Tidak apa-apa,Nggak apa-apa,tˈidak ˈapaapa,,2,id-agent-v1;ipa=espeak
social-basics.i-do-not-know,Saya tidak tahu,,sˈaja tˈidak tˈahu,,2,id-agent-v1;ipa=espeak
social-basics.good-night,Selamat tidur,Selamat malam,səlˈamat tˈidur,,2,id-agent-v1;ipa=espeak
social-basics.okay-fine-i-am-okay,Saya baik-baik saja,Oke,sˈaja bˈaɪkbaɪk sˈadʒa,,2,id-agent-v1;ipa=espeak
communication.i-do-not-speak-this-language,Saya tidak bisa bahasa {target},,sˈaja tˈidak bˈisa bahˈasa {target},,2,language-slots-v1;ipa=espeak
communication.i-speak-only-a-little-of-this,Saya bisa sedikit bahasa {target},,sˈaja bˈisa sədˈikit bahˈasa {target},,2,language-slots-v1;ipa=espeak
communication.do-you-speak-english,Bisa bahasa {source}?,,,,2,language-slots-v1
communication.please-speak-more-slowly,Tolong bicara lebih lambat,,tˈoloŋ bitʃˈara lˈɛbih lˈambat,,2,id-agent-v1;ipa=espeak
communication.i-do-not-understand-spoken,Saya tidak paham,Saya nggak paham,sˈaja tˈidak pˈaham,,2,id-agent-v1;ipa=espeak
communication.i-cannot-read-understand,Saya tidak bisa baca ini,,sˈaja tˈidak bˈisa bˈatʃa ˈini,,2,id-agent-v1;ipa=espeak
communication.please-say-it-again,Tolong ulangi,,tˈoloŋ ulˈaŋi,,2,id-agent-v1;ipa=espeak
communication.please-write-it-down,Tolong tuliskan,,tˈoloŋ tulˈiskan,,2,id-agent-v1;ipa=espeak
communication.please-wait-a-moment,"Tunggu sebentar, ya",Mohon tunggu sebentar,"tˈuŋɡu səbəntar, jˈa",,2,id-agent-v1;ipa=espeak
communication.can-you-help-me,Bisa bantu saya?,,bˈisa bˈantu sˈaja,,2,id-agent-v1;ipa=espeak
communication.please-show-me-the-text,Tolong tunjukkan tulisannya dalam bahasa {target},,tˈoloŋ tundʒˈukkan tˌulisˈanɲa dˈalam bahˈasa {target},,2,language-slots-v1;ipa=espeak
communication.i-cannot-make-out-what-you-are-saying,Saya tidak menangkap ucapannya,,sˈaja tˈidak mənˈaŋkap ˌutʃapˈanɲa,,2,id-agent-v1;ipa=espeak
communication.i-do-not-understand,Saya tidak mengerti,,sˈaja tˈidak məŋˈɛrti,,2,id-agent-v1;ipa=espeak
communication.i-cannot-read-it,Saya tidak bisa membacanya,,sˈaja tˈidak bˈisa məmbatʃˈaɲa,,2,id-agent-v1;ipa=espeak
quick-responses.please-go-ahead,Silakan,,silˈakan,"an offer, not a request",2,id-agent-v1;ipa=espeak
quick-responses.yes-right,Ya,Benar,jˈa,,2,id-agent-v1;ipa=espeak
quick-responses.no-not,Tidak,Bukan,tˈidak,bukan negates a noun,2,id-agent-v1;ipa=espeak
quick-responses.okay-can,Boleh,Oke,bˈoləh,,2,id-agent-v1;ipa=espeak
quick-responses.cannot-not-allowed,Tidak boleh,,tˈidak bˈoləh,,2,id-agent-v1;ipa=espeak
quick-responses.works-okay,Berfungsi,Jalan,bərfˈuŋsi,,2,id-agent-v1;ipa=espeak
