concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
social-basics.hello,გამარჯობა,,gamarjoba,ɡamardʒoba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.hello-polite,გამარჯობათ,,gamarjobat,ɡamardʒobatʰ,the plural-polite form of the same greeting,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.good-morning,დილა მშვიდობისა,,dila mshvidobisa,dila mʃvidobisa,morning of peace,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.good-evening,საღამო მშვიდობისა,,saghamo mshvidobisa,saɣamo mʃvidobisa,evening of peace,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.goodbye,ნახვამდის,კარგად,nakhvamdis,naxvamdis,until we meet; კარგად is the informal one,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.thank-you,გმადლობთ,მადლობა,gmadlobt,ɡmadlobtʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.you-are-welcome,არაფრის,,arapris,arapʰris,for nothing,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.excuse-me-sorry,უკაცრავად,,ukatsravad,ukʼatsʰravad,to get attention or to pass,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.sorry,ბოდიში,,bodishi,bodiʃi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.no-problem,პრობლემა არ არის,,problema ar aris,pʼroblema ar aris,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
