concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
dietary-needs.no-meat,मासु चाहिँदैन,,māsu cāhim̐daina,mˈaːsu cˌaːhĩdˈɛːnə,,2,ne-agent-v1;ipa=espeak
dietary-needs.no-eggs,अन्डा चाहिँदैन,,anḍā cāhim̐daina,ˈʌnɖaː cˌaːhĩdˈɛːnə,,2,ne-agent-v1;ipa=espeak
dietary-needs.not-spicy,पिरो नभएको,,pirō nabhaēkō,pˈɪɾoː nˌəbʰəˈeːkoː,,2,ne-agent-v1;ipa=espeak
dietary-needs.less-spicy,अलि कम पिरो,,ali kama pirō,ˈʌlɪ kˈʌmə pˈɪɾoː,,2,ne-agent-v1;ipa=espeak
dietary-needs.no-peanuts,बदाम चाहिँदैन,,badāma cāhim̐daina,bədˈaːmə cˌaːhĩdˈɛːnə,"peanut, not almond",2,ne-agent-v1;ipa=espeak
dietary-needs.no-nuts,नट्स चाहिँदैन,,naṭsa cāhim̐daina,nˈʌʈsə cˌaːhĩdˈɛːnə,tree nuts generically,2,ne-agent-v1;ipa=espeak
dietary-needs.no-seafood,माछा-झिंगा चाहिँदैन,,māchā-jhiṁgā cāhim̐daina,mˈaːcʰaːɟʰɪŋɡaː cˌaːhĩdˈɛːnə,,2,ne-agent-v1;ipa=espeak
dietary-needs.i-am-vegetarian,म शाकाहारी हुँ,,ma śākāhārī hum̐,mə ʃˌaːkaːhˈaːɾi hˈũ,,2,ne-agent-v1;ipa=espeak
dietary-needs.i-am-vegan,म भेगान हुँ (दूध-घिउ पनि खाँदिन),,ma bhēgāna hum̐ (dūdha-ghiu pani khām̐dina),mə bʰeːɡˈaːn hˈũ dˈuːdʰɡʰɪʊ pˈʌnɪ kʰãdˈɪn,,2,ne-agent-v1;ipa=espeak
dietary-needs.i-do-not-eat,म {} खाँदिन,,ma {} khām̐dina,mə {} kʰãdˈɪn,,2,ne-agent-v1;ipa=espeak
dietary-needs.i-am-allergic-to,मलाई {} बाट एलर्जी छ,,malāī {} bāṭa ēlarjī cha,məlˈaːi {} bˈaːʈə eːlˈʌrrɟi cʰˈə,,2,ne-agent-v1;ipa=espeak
dietary-needs.does-it-contain-fish-stock,के यसमा माछाको झोल छ?,,kē yasamā māchākō jhōla cha?,kˈeː jˈʌsəmˌaː maːcʰˈaːkoː ɟʰˈoːl cʰˈə,,2,ne-agent-v1;ipa=espeak
dietary-needs.does-it-contain-pork-stock,के यसमा सुँगुरको मासुको झोल छ?,,kē yasamā sum̐gurakō māsukō jhōla cha?,kˈeː jˈʌsəmˌaː sũɡˈuɾəkˌoː mˈaːsukˌoː ɟʰˈoːl cʰˈə,,2,ne-agent-v1;ipa=espeak
