concept_id,text,text_alt,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,Che ore sono?,,ke ˈore sˈono,,2,it-agent-v1;ipa=espeak
time-scheduling.how-many-minutes,Quanti minuti?,,kwˈantɪ minˈutɪ,,2,it-agent-v1;ipa=espeak
time-scheduling.what-time-should-we-meet,A che ora ci vediamo?,,a ke ˈora tʃɪ vedjˈamo,,2,it-agent-v1;ipa=espeak
time-scheduling.can-we-change-the-time,Possiamo cambiare l'ora?,,possjˈamo kambjˈare lˈora,,2,it-agent-v1;ipa=espeak
time-scheduling.when-is-convenient,Quando Le va bene?,,kwˈando le vˈa bˈɛne,,2,it-agent-v1;ipa=espeak
time-scheduling.what-is-today-s-date,Che data è oggi?,Quanti ne abbiamo oggi?,ke dˈata e ˈɔdʒdʒɪ,,2,it-agent-v1;ipa=espeak
time-scheduling.what-day-is-it-today,Che giorno è oggi?,,ke dʒˈorno e ˈɔdʒdʒɪ,,2,it-agent-v1;ipa=espeak
time-scheduling.what-time-does-it-open,A che ora apre?,,a ke ˈora ˈapre,,2,it-agent-v1;ipa=espeak
time-scheduling.what-time-does-it-close,A che ora chiude?,,a ke ˈora kjˈude,,2,it-agent-v1;ipa=espeak
time-words.today,oggi,,ˈɔdʒdʒɪ,,2,it-agent-v1;ipa=espeak
time-words.tomorrow,domani,,domˈanɪ,,2,it-agent-v1;ipa=espeak
time-words.yesterday,ieri,,jˈɛrɪ,,2,it-agent-v1;ipa=espeak
time-words.this-week,questa settimana,,kwˌɛsta settimˈana,,2,it-agent-v1;ipa=espeak
time-words.next-week,la settimana prossima,,la settimˈana prˈɔssima,,2,it-agent-v1;ipa=espeak
time-words.morning,la mattina,,la mattˈina,,2,it-agent-v1;ipa=espeak
time-words.afternoon,il pomeriggio,,il pomerˈidʒdʒo,,2,it-agent-v1;ipa=espeak
time-words.evening,la sera,,la sˈera,,2,it-agent-v1;ipa=espeak
time-words.spring,la primavera,,la primavˈɛra,,2,it-agent-v1;ipa=espeak
time-words.summer,l'estate,,lestˈate,,2,it-agent-v1;ipa=espeak
time-words.fall,l'autunno,,laʊtˈunno,,2,it-agent-v1;ipa=espeak
time-words.winter,l'inverno,,linvˈɛrno,,2,it-agent-v1;ipa=espeak
days-of-week.monday,lunedì,,lʊnedˈi,,2,it-agent-v1;ipa=espeak
days-of-week.tuesday,martedì,,martedˈi,,2,it-agent-v1;ipa=espeak
days-of-week.wednesday,mercoledì,,merkoledˈi,,2,it-agent-v1;ipa=espeak
days-of-week.thursday,giovedì,,dʒovedˈi,,2,it-agent-v1;ipa=espeak
days-of-week.friday,venerdì,,venerdˈi,,2,it-agent-v1;ipa=espeak
days-of-week.saturday,sabato,,sˈabato,,2,it-agent-v1;ipa=espeak
days-of-week.sunday,domenica,,domˈenika,,2,it-agent-v1;ipa=espeak
months.january,gennaio,,dʒennˈaio,,2,it-agent-v1;ipa=espeak
months.february,febbraio,,febbrˈaio,,2,it-agent-v1;ipa=espeak
months.march,marzo,,mˈartso,,2,it-agent-v1;ipa=espeak
months.april,aprile,,aprˈile,,2,it-agent-v1;ipa=espeak
months.may,maggio,,mˈadʒdʒo,,2,it-agent-v1;ipa=espeak
months.june,giugno,,dʒˈuɲɲo,,2,it-agent-v1;ipa=espeak
months.july,luglio,,lˈuʎo,,2,it-agent-v1;ipa=espeak
months.august,agosto,,aɡˈosto,,2,it-agent-v1;ipa=espeak
months.september,settembre,,settˈɛmbre,,2,it-agent-v1;ipa=espeak
months.october,ottobre,,ˌɔttˈobre,,2,it-agent-v1;ipa=espeak
months.november,novembre,,novˈɛmbre,,2,it-agent-v1;ipa=espeak
months.december,dicembre,,ditʃˈɛmbre,,2,it-agent-v1;ipa=espeak
time-words.night,la notte,,la nˈɔtte,,2,it-agent-v1;ipa=espeak
time-scheduling.how-long-does-it-take,Quanto tempo ci vuole?,,kwˈanto tˈɛmpo tʃɪ vʊˈɔle,,2,it-agent-v1;ipa=espeak
time-words.clock-offset,"L'orologio swahili parte dall'alba e conta sei ore in meno del suo: saa moja sono le 7:00, saa sita è mezzogiorno, saa kumi sono le 16:00. Aggiunga sei al numero che sente per avere l'ora del suo orologio. Dica l'ora in cifre, oppure chieda saa ngapi za kizungu per l'ora occidentale.",,,,2,it-agent-v1
