section_id,title
social-basics,Àwùjọ + ìpìlẹ̀
communication,Ìbánisọ̀rọ̀
quick-responses,Ìdáhùn kánjú
phone-translation,Ìtúmọ̀ fóònù
phone-text-power,"Fóònù, ìránṣẹ́ + iná"
sim-data,"SIM, dátà + Wi-Fi"
introductions,Ìfarahàn
etiquette,Owó orí + ìwà híhù
slang,Ọ̀rọ̀ àsọyérí
profanity,Ọ̀rọ̀ èébú
time-scheduling,Àkókò + ìṣètò
time-words,Àwọn ọ̀rọ̀ àkókò
days-of-week,Àwọn ọjọ́ ọ̀sẹ̀
months,Àwọn osù
pronouns-verbs,Àwọn ọ̀rọ̀ pàtàkì + ìlànà
question-words,Ọ̀rọ̀ ìbéèrè + kékeré
payment-receipt,Ìsanwó + ìwé ẹ̀rí
numbers-money,Nọ́mbà + owó
atm-cash,ATM + owó lásán
dietary-needs,Àìlò oúnjẹ
utility-templates,Àwòṣe amóhùnmáwòrán
shopping,Rírajà
color-size-returns,"Àwọ̀, ìwọ̀n + ìdápadà"
tax-refund,Owó orí ìdápadà
food-ordering,Oúnjẹ + ìbéèrè
attractions-tickets,Àwọn ibi àbẹ̀wò + tikẹ́tì
children,Pẹ̀lú àwọn ọmọdé
directions,Ìtọ́ni ọ̀nà
quick-directions,Ìtọ́ni ọ̀nà kánjú
taxi,Takúsì
building-help,Ìrànlọ́wọ́ ilé
accessibility,Ààyè + ìrìnkiri
transit-rides,Ọkọ̀ ìrìnnà
in-a-building,Nínú ilé
toilets,Ìgbọ̀nsẹ̀
building-words,Àwọn ọ̀rọ̀ ilé
hotel-words,Àwọn ọ̀rọ̀ hotẹ́ẹ̀lì
hotel-basics,Ìpìlẹ̀ hotẹ́ẹ̀lì
hotel-requests,Ìbéèrè hotẹ́ẹ̀lì
room-problems,Ìṣòro yàrá
laundry,Ìfọṣọ
place-words,Àwọn ọ̀rọ̀ ibi
border-customs,Ààlà + ilé-owó ìlú
trail-words,Àwọn ọ̀rọ̀ ọ̀nà
pickup-meeting,Ìgbà + ìpàdé
rail-station-words,Àwọn ọ̀rọ̀ ọkọ̀ ojú irin
common-signs,Àwọn àmì wọ́pọ̀
weather,Ojú-ọjọ́ + ipò rẹ̀
hiking-parks,Ìrìn-àjò ẹsẹ̀ + ọgbà
trail-conditions,Ipò + ọ̀nà
trail-transport,Ìrìnnà + iṣẹ́
trail-warnings,Ìkìlọ̀ ọ̀nà
trail-landmarks,Àwọn àmì ọ̀nà + iṣẹ́
emergency-medical,Pàjáwìrì + ìtọ́jú
medical-conditions,Àìsàn + oògùn
pharmacy-symptoms,Ilé oògùn + àmì àìsàn
body-parts,Ẹ̀yà ara
lost-rescue,Ohun ìsọnù + ìgbàlà
police-consulate,"Ọlọ́pàá, olè + ilé ẹ́ńbásì"
