concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,ಕಾರ್ಡ್ ಆಗುತ್ತದೆಯೇ?,,kārḍ āguttadeyē?,kaːrɖ aːɡuttadejeː,will a card work?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.pay-cash,ನಗದು ಆಗುತ್ತದೆಯೇ?,,nagadu āguttadeyē?,naɡadu aːɡuttadejeː,will cash work?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.pay-by-qr-code,ಕ್ಯುಆರ್ ಕೋಡ್ ಆಗುತ್ತದೆಯೇ?,ಯುಪಿಐ,kyuār kōḍ āguttadeyē?,kjuaːr koːɖ aːɡuttadejeː,"will a QR code work? — in Karnataka this is UPI, which is what the sticker by the till says",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.a-receipt-please,ದಯವಿಟ್ಟು ರಸೀದಿ,ಬಿಲ್,dayaviṭṭu rasīdi,dajaviʈʈu rasiːdi,"please, a receipt",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.please-write-the-number,ದಯವಿಟ್ಟು ಸಂಖ್ಯೆ ಬರೆಯಿರಿ,,dayaviṭṭu saṁkhye bareyiri,dajaviʈʈu saŋkʰje barejiri,please write the number,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
payment-receipt.how-much-in-total,ಒಟ್ಟು ಎಷ್ಟು?,,oṭṭu eṣṭu?,oʈʈu eʂʈu,how much altogether?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.can-we-pay-separately,ಬೇರೆ ಬೇರೆಯಾಗಿ ಕೊಡಬಹುದೇ?,,bēre bēreyāgi koḍabahudē?,beːre beːrejaːɡi koɖabahudeː,may [we] give separately?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.is-tax-included,ತೆರಿಗೆ ಸೇರಿದೆಯೇ?,,terige sērideyē?,teriɡe seːridejeː,is the tax included?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.my-card-was-declined,ನನ್ನ ಕಾರ್ಡ್ ಆಗಲಿಲ್ಲ,,nanna kārḍ āgalilla,nanna kaːrɖ aːɡalilla,my card did not go through,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.the-bill-is-wrong,ಬಿಲ್ ತಪ್ಪಾಗಿದೆ ಅನಿಸುತ್ತದೆ,,bil tappāgide anisuttade,bil tappaːɡide anisuttade,"it seems the bill has gone wrong — a query, not an accusation",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
payment-receipt.i-already-paid,ನಾನು ಆಗಲೇ ಕೊಟ್ಟಿದ್ದೇನೆ,,nānu āgalē koṭṭiddēne,naːnu aːɡaleː koʈʈiddeːne,I have already given,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.i-am-just-looking,ಸುಮ್ಮನೆ ನೋಡುತ್ತಿದ್ದೇನೆ,,summane nōḍuttiddēne,summane noːɖuttiddeːne,I am just looking,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.how-much-is-this,ಇದು ಎಷ್ಟು?,,idu eṣṭu?,idu eʂʈu,this [is] how much?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.that-is-too-expensive,ತುಂಬಾ ದುಬಾರಿ,,tuṁbā dubāri,tumbaː dubaːri,very expensive,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.can-it-be-a-little-cheaper,ಸ್ವಲ್ಪ ಕಡಿಮೆ ಮಾಡುತ್ತೀರಾ?,,svalpa kaḍime māḍuttīrā?,svalpa kaɖime maːɖuttiːraː,will you make it a little less?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.is-there-a-discount,ರಿಯಾಯಿತಿ ಇದೆಯೇ?,,riyāyiti ideyē?,rijaːjiti idejeː,is there a discount?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.where-do-i-pay,ಎಲ್ಲಿ ಕೊಡಬೇಕು?,,elli koḍabēku?,elli koɖabeːku,where must [I] give?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.i-will-take-this,ಇದನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತೇನೆ,,idannu tegedukoḷḷuttēne,idannu teɡedukoɭɭutteːne,I shall take this,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.what-is-this,ಇದು ಏನು?,,idu ēnu?,idu eːnu,what is this?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
shopping.where-can-i-buy,{} ಎಲ್ಲಿ ಸಿಗುತ್ತದೆ?,,{} elli siguttade?,{} elli siɡuttade,where is {} available?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.do-you-have-this-in-stock,ಇದು ಸ್ಟಾಕ್ ಇದೆಯೇ?,,idu sṭāk ideyē?,idu sʈaːk idejeː,is this in stock? — the English word is what a Karnataka shop uses,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.two-of-these,ದಯವಿಟ್ಟು ಇದು ಎರಡು,,dayaviṭṭu idu eraḍu,dajaviʈʈu idu eraɖu,"please, two of this — said while pointing",2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
shopping.what-is-it-made-of,ಇದು ಯಾವುದರಿಂದ ಮಾಡಿದೆ?,,idu yāvudariṁda māḍide?,idu jaːvudarinda maːɖide,from what is this made?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
color-size-returns.do-you-have-another-color,ಬೇರೆ ಬಣ್ಣ ಇದೆಯೇ?,,bēre baṇṇa ideyē?,beːre baɳɳa idejeː,is there another colour?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
color-size-returns.do-you-have-another-size,ಬೇರೆ ಅಳತೆ ಇದೆಯೇ?,ಸೈಜ್,bēre aḷate ideyē?,beːre aɭate idejeː,is there another size?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
color-size-returns.may-i-try-it-on,ಹಾಕಿ ನೋಡಬಹುದೇ?,,hāki nōḍabahudē?,haːki noːɖabahudeː,may [I] put it on and see?,2,"Karnataka restaurant, darshini and shop wording; Kittel (DSAL) for the food vocabulary;ipa=espeak"
