concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
numbers-money.l-ng,ສູນ,0,soun,suːn˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.y,ໜຶ່ງ,1,nung,nɯŋ˧,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.r,ສອງ,2,song,sɔːŋ˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.s-n,ສາມ,3,sam,saːm˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.s,ສີ່,4,si,siː˧,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.w,ຫ້າ,5,ha,haː˧˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.li,ຫົກ,6,hôk,hok˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.q,ເຈັດ,7,chét,cet˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.b,ແປດ,8,pèt,pɛːt˧˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.ji,ເກົ້າ,9,kao,kaw˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.sh,ສິບ,10,sip,sip˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.y-b-i,ຮ້ອຍ,100,hoy,hɔːj˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.y-qi-n,ພັນ,"1,000",phan,pʰan˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.y-w-n,ໝື່ນ,"10,000",mun,mɯːn˧,Lao counts by ten thousands as Chinese and Japanese do,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.b-n,ເຄິ່ງ,1/2,kheung,kʰɤŋ˧,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.li-ng,ສອງ,2,song,sɔːŋ˩,Lao uses the same numeral with and without a classifier,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
numbers-money.2-items,ສອງອັນ,2,songan,sɔːŋ˩ʔan˩,ອັນ is the general classifier,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
numbers-money.lakh,ແສນ,"100,000",sèn,sɛːn˩,"Lao has a single word for a hundred thousand, as Thai does",2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
numbers-money.crore,ສິບລ້ານ,"10,000,000",siplan,sip˧˥laːn˥˨,literally 'ten million'; Lao has no single word for a crore,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
atm-cash.where-is-an-atm,ຕູ້ເອທີເອັມຢູ່ໃສ,,touéthiémyousai,tuː˥˨ʔeː˩tʰiː˧˥ʔem˩juː˧saj˩,ຕູ້ is the classifier-noun for a cabinet or machine,2,Lao PDR public signage and bank notice wording (Vientiane Capital);ipa=lo-g2p
atm-cash.does-this-atm-take-foreign-cards,ຕູ້ນີ້ໃຊ້ບັດຕ່າງປະເທດໄດ້ບໍ່,,tounixaibattangpathétdaibo,tuː˥˨niː˥˨saj˥˨bat˧˥taːŋ˧paʔ˧˥tʰeːt˥˨daj˥˨bɔː˧,,2,Lao PDR public signage and bank notice wording (Vientiane Capital);ipa=lo-g2p
atm-cash.the-atm-kept-my-card,ຕູ້ກິນບັດຂອງຂ້ອຍ,,toukinbatkhongkhoy,tuː˥˨kin˩bat˧˥kʰɔːŋ˩kʰɔːj˧˩,"literally 'the machine ate my card', which is what a Lao speaker says",2,Lao PDR public signage and bank notice wording (Vientiane Capital);ipa=lo-g2p
atm-cash.is-there-a-fee,ມີຄ່າທຳນຽມບໍ່,,mikhathamniambo,miː˧˥kʰaː˧tʰam˧˥nia̯m˧˥bɔː˧,,2,Lao PDR public signage and bank notice wording (Vientiane Capital);ipa=lo-g2p
atm-cash.the-card-was-declined,ບັດໃຊ້ບໍ່ໄດ້,,batxaibodai,bat˧˥saj˥˨bɔː˧daj˥˨,,2,Lao PDR public signage and bank notice wording (Vientiane Capital);ipa=lo-g2p
atm-cash.what-is-the-exchange-rate,ອັດຕາແລກປ່ຽນເທົ່າໃດ,,attalèkpianthaodai,ʔat˧˥taː˩lɛːk˥˨pia̯n˧tʰaw˧daj˩,,2,Bank of the Lao PDR published exchange-rate tables and Lao-language financial press usage;ipa=lo-g2p
atm-cash.no-money-came-out,ເງິນບໍ່ອອກ,,ngeunbook,ŋɤn˧˥bɔː˧ʔɔːk˧˩,,2,Lao PDR public signage and bank notice wording (Vientiane Capital);ipa=lo-g2p
atm-cash.where-can-i-change-money,ແລກເງິນຢູ່ໃສ,,lèkngeunyousai,lɛːk˥˨ŋɤn˧˥juː˧saj˩,,2,Bank of the Lao PDR published exchange-rate tables and Lao-language financial press usage;ipa=lo-g2p
atm-cash.the-machine-is-out-of-service,ຕູ້ໃຊ້ບໍ່ໄດ້,,touxaibodai,tuː˥˨saj˥˨bɔː˧daj˥˨,,2,Lao PDR public signage and bank notice wording (Vientiane Capital);ipa=lo-g2p
atm-cash.please-give-me-smaller-notes,ກະລຸນາໃຫ້ໃບຍ່ອຍ,,kalounahaibaignoy,kaʔ˧˥luʔ˧naː˧˥haj˧˩baj˩ɲɔːj˧,ໃບຍ່ອຍ is 'small notes',2,Bank of the Lao PDR published exchange-rate tables and Lao-language financial press usage;ipa=lo-g2p
