concept_id,text,text_alt,ipa,literal,confidence,provenance
medical-conditions.i-am-diabetic,Tengo diabetes,,tˈeŋɡo djabˈetes,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.which-pharmacy-is-open-now,¿Qué farmacia está abierta ahora?,,kˈe faɾmˈasja estˈa abjˈeɾta aˈoɾa,,2,es-agent-v1;ipa=espeak
police-consulate.where-is-the-police-station,¿Dónde está la comisaría?,la estación de policía,dˈonde estˈa la kˌomisaɾˈia,,2,es-agent-v1;ipa=espeak
body-parts.head,la cabeza,,la kabˈesa,,2,es-agent-v1;ipa=espeak
medical-conditions.i-need-insulin,Necesito insulina,,nˌesesˈito ˌinsulˈina,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.i-need-medicine-for,Necesito un medicamento para {},,nˌesesˈito ˈun mˌedikamˈento pˈaɾa {},,2,es-agent-v1;ipa=espeak
police-consulate.i-want-to-report-a-theft,Quiero denunciar un robo,,kjˈeɾo dˌenunsjˈaɾ ˈun rˈobo,,2,es-agent-v1;ipa=espeak
body-parts.stomach,el estómago,la barriga · el vientre,el estˈomaɡo,,2,es-agent-v1;ipa=espeak
medical-conditions.i-have-asthma,Tengo asma,,tˈeŋɡo ˈasma,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.i-have-a-fever,Tengo fiebre,,tˈeŋɡo fjˈebɾe,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.i-think-i-have-malaria,Creo que tengo malaria,paludismo,kɾˈeo ke tˈeŋɡo malˈaɾja,,2,malaria-v1;ipa=espeak
pharmacy-symptoms.i-need-a-malaria-test,Necesito una prueba de malaria,,nˌesesˈito ˈuna pɾuˈeba de malˈaɾja,,2,malaria-v1;ipa=espeak
police-consulate.my-bag-was-stolen,Me robaron el bolso,Me robaron la mochila,me robˈaɾon el bˈolso,,2,es-agent-v1;ipa=espeak
body-parts.back,la espalda,,la espˈalda,,2,es-agent-v1;ipa=espeak
medical-conditions.i-have-a-heart-condition,Tengo una enfermedad del corazón,Tengo una cardiopatía,tˈeŋɡo ˈuna ˌemfeɾmedˈad del kˌoɾasˈon,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.i-have-diarrhea,Tengo diarrea,,tˈeŋɡo djarˈea,,2,es-agent-v1;ipa=espeak
police-consulate.my-passport-was-stolen,Me robaron el pasaporte,,me robˈaɾon el pˌasapˈoɾte,,2,es-agent-v1;ipa=espeak
body-parts.throat,la garganta,,la ɡaɾɡˈanta,,2,es-agent-v1;ipa=espeak
medical-conditions.i-am-allergic-to-penicillin,Soy alérgico/a a la penicilina,,sˈoɪ alˈeɾxiko / a a la pˌenisilˈina,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.where-is-an-all-night-pharmacy,¿Dónde hay una farmacia de guardia?,farmacia de turno,dˈonde ˈaɪ ˈuna faɾmˈasja de ɡwˈaɾdja,,2,es-agent-v1;ipa=espeak
police-consulate.someone-is-following-me,Alguien me está siguiendo,,ˈalɡjen me estˈa siɡjˈendo,,2,es-agent-v1;ipa=espeak
body-parts.tooth,el diente,,el djˈente,,2,es-agent-v1;ipa=espeak
medical-conditions.i-have-epilepsy,Tengo epilepsia,,tˈeŋɡo ˌepilˈepsja,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.painkiller,un analgésico,un calmante,ˈun ˌanalxˈesiko,,2,es-agent-v1;ipa=espeak
police-consulate.i-need-a-written-police-report,Necesito la denuncia por escrito,,nˌesesˈito la denˈunsja poɾ eskɾˈito,,2,es-agent-v1;ipa=espeak
body-parts.chest,el pecho,,el pˈetʃo,,2,es-agent-v1;ipa=espeak
medical-conditions.my-blood-sugar-is-low,Tengo el azúcar bajo,Tengo hipoglucemia,tˈeŋɡo el asˈukaɾ bˈaxo,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.do-i-need-a-prescription,¿Necesito receta?,,nˌesesˈito resˈeta,,2,es-agent-v1;ipa=espeak
police-consulate.i-want-to-contact-my-embassy,Quiero contactar con mi embajada,,kjˈeɾo kˌontaktˈaɾ kon mi ˌembaxˈada,,2,es-agent-v1;ipa=espeak
body-parts.eye,el ojo,,el ˈoxo,,2,es-agent-v1;ipa=espeak
medical-conditions.i-need-my-inhaler,Necesito mi inhalador,,nˌesesˈito mi ˌinaladˈoɾ,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.i-have-a-headache,Me duele la cabeza,,me dwˈele la kabˈesa,,2,es-agent-v1;ipa=espeak
police-consulate.i-need-it-for-my-insurance,Lo necesito para el seguro,,lo nˌesesˈito pˌaɾa el seɡˈuɾo,,2,es-agent-v1;ipa=espeak
body-parts.ear,el oído,la oreja,el oˈido,,2,es-agent-v1;ipa=espeak
medical-conditions.i-am-pregnant,Estoy embarazada,,estˈoɪ ˌembaɾasˈada,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.paracetamol-acetaminophen,paracetamol,acetaminofén,pˌaɾasˌetamˈol,,2,es-agent-v1;ipa=espeak
police-consulate.i-need-an-interpreter,Necesito un intérprete,,nˌesesˈito ˈun intˈeɾpɾete,,2,es-agent-v1;ipa=espeak
body-parts.leg,la pierna,,la pjˈeɾna,,2,es-agent-v1;ipa=espeak
medical-conditions.i-carry-an-adrenaline-injector,Llevo un autoinyector de adrenalina,,ʝˈebo ˈun ˌaʊtoɪɲektˈoɾ de ˌadɾenalˈina,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.how-much-should-i-take,¿Cuánto debo tomar?,,kwˈanto dˈebo tomˈaɾ,,2,es-agent-v1;ipa=espeak
police-consulate.please-leave-me-alone,"Déjeme en paz, por favor",,"dˈexeme em pˈas, poɾ fabˈoɾ",,2,es-agent-v1;ipa=espeak
body-parts.arm,el brazo,,el bɾˈaso,,2,es-agent-v1;ipa=espeak
medical-conditions.i-take-medicine-for,Tomo medicamentos para {},,tˈomo mˌedikamˈentos pˈaɾa {},,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.i-am-vomiting,Estoy vomitando,,estˈoɪ bˌomitˈando,,2,es-agent-v1;ipa=espeak
police-consulate.i-was-robbed,Me robaron,,me robˈaɾon,,2,es-agent-v1;ipa=espeak
body-parts.foot,el pie,,el pjˈe,,2,es-agent-v1;ipa=espeak
medical-conditions.i-take-blood-thinners,Tomo anticoagulantes,,tˈomo ˌantikˌoaɡulˈantes,,2,es-agent-v1;ipa=espeak
pharmacy-symptoms.rehydration-salts,sales de rehidratación oral,suero oral,sˈales de rˌeidɾˌatasjˈon oɾˈal,,2,es-agent-v1;ipa=espeak
police-consulate.i-want-a-lawyer,Quiero un abogado,,kjˈeɾo ˈun ˌaboɡˈado,,2,es-agent-v1;ipa=espeak
