section_id,title
social-basics,ਆਮ ਗੱਲਾਂ
communication,ਗੱਲਬਾਤ
quick-responses,ਛੋਟੇ ਜਵਾਬ
phone-translation,ਫ਼ੋਨ ਤੋਂ ਅਨੁਵਾਦ
phone-text-power,"ਫ਼ੋਨ, ਸੁਨੇਹਾ, ਚਾਰਜ"
sim-data,"ਸਿਮ, ਡਾਟਾ, ਵਾਈ-ਫ਼ਾਈ"
introductions,ਜਾਣ-ਪਛਾਣ
etiquette,ਟਿੱਪ ਤੇ ਸਲੀਕਾ
slang,ਬੋਲਚਾਲ
profanity,ਗਾਲ਼ਾਂ
time-scheduling,ਵੇਲਾ ਤੇ ਪ੍ਰੋਗਰਾਮ
time-words,ਵੇਲੇ ਦੇ ਸ਼ਬਦ
days-of-week,ਹਫ਼ਤੇ ਦੇ ਦਿਨ
months,ਮਹੀਨੇ
pronouns-verbs,ਮੁੱਖ ਸ਼ਬਦ
question-words,ਸਵਾਲ ਤੇ ਛੋਟੇ ਸ਼ਬਦ
payment-receipt,ਭੁਗਤਾਨ ਤੇ ਬਿੱਲ
numbers-money,ਗਿਣਤੀ ਤੇ ਪੈਸੇ
atm-cash,ਏਟੀਐਮ ਤੇ ਨਗਦ
dietary-needs,ਖਾਣ-ਪੀਣ ਦੀ ਪਾਬੰਦੀ
utility-templates,ਕੰਮ ਦੇ ਸਾਂਚੇ
shopping,ਖ਼ਰੀਦਦਾਰੀ
color-size-returns,"ਰੰਗ, ਸਾਈਜ਼, ਵਾਪਸੀ"
tax-refund,ਟੈਕਸ ਵਾਪਸੀ
food-ordering,ਖਾਣਾ ਤੇ ਆਰਡਰ
attractions-tickets,ਦੇਖਣ ਵਾਲੀਆਂ ਥਾਵਾਂ ਤੇ ਟਿਕਟਾਂ
children,ਬੱਚਿਆਂ ਨਾਲ
directions,ਰਾਹ
quick-directions,ਛੋਟੇ ਰਾਹ-ਸ਼ਬਦ
taxi,ਟੈਕਸੀ
building-help,ਇਮਾਰਤ ਵਿੱਚ ਮਦਦ
accessibility,ਪਹੁੰਚ ਤੇ ਤੁਰਨਾ
transit-rides,"ਸਫ਼ਰ, ਬੱਸ, ਗੱਡੀ"
in-a-building,ਇਮਾਰਤ ਦੇ ਅੰਦਰ
toilets,ਟਾਇਲਟ
building-words,ਇਮਾਰਤ ਦੇ ਸ਼ਬਦ
hotel-words,ਹੋਟਲ ਦੇ ਸ਼ਬਦ
hotel-basics,ਹੋਟਲ ਦੀਆਂ ਆਮ ਗੱਲਾਂ
hotel-requests,ਹੋਟਲ ਤੋਂ ਮੰਗਾਂ
room-problems,ਕਮਰੇ ਦੇ ਮਸਲੇ
laundry,ਕੱਪੜੇ ਧੋਣੇ
place-words,ਥਾਵਾਂ ਦੇ ਸ਼ਬਦ
border-customs,ਸਰਹੱਦ ਤੇ ਕਸਟਮ
trail-words,ਪਹਾੜੀ ਰਾਹ ਦੇ ਸ਼ਬਦ
pickup-meeting,ਲੈਣਾ ਤੇ ਮਿਲਣਾ
rail-station-words,ਗੱਡੀ ਤੇ ਸਟੇਸ਼ਨ ਦੇ ਸ਼ਬਦ
common-signs,ਆਮ ਬੋਰਡ
weather,ਮੌਸਮ ਤੇ ਹਾਲਾਤ
hiking-parks,ਸੈਰ ਤੇ ਪਾਰਕ
trail-conditions,ਰਾਹ ਦਾ ਹਾਲ
trail-transport,ਆਵਾਜਾਈ ਤੇ ਸੇਵਾਵਾਂ
trail-warnings,ਰਾਹ ਦੀਆਂ ਚੇਤਾਵਨੀਆਂ
trail-landmarks,ਰਾਹ ਦੇ ਨਿਸ਼ਾਨ ਤੇ ਸੇਵਾਵਾਂ
emergency-medical,ਐਮਰਜੈਂਸੀ ਤੇ ਡਾਕਟਰੀ
medical-conditions,ਬਿਮਾਰੀਆਂ ਤੇ ਦਵਾਈਆਂ
pharmacy-symptoms,ਦਵਾਈਆਂ ਦੀ ਦੁਕਾਨ ਤੇ ਲੱਛਣ
body-parts,ਸਰੀਰ ਦੇ ਅੰਗ
lost-rescue,ਗੁਆਚੀਆਂ ਚੀਜ਼ਾਂ ਤੇ ਬਚਾਅ
police-consulate,"ਪੁਲਿਸ, ਚੋਰੀ, ਕੌਂਸਲਖ਼ਾਨਾ"
