concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
emergency-medical.help,הצילו!,הַצִּילוּ!,hatsílu!,hatsˈilu,save me -- the word shouted in an emergency,2,he-agent-v1;ipa=bgn
emergency-medical.please-call-an-ambulance,"תתקשרו לאמבולנס, בבקשה","תִּתְקַשְּׁרוּ לְאַמְבּוּלַנְס, בְּבַקָּשָׁה","titqashru le’ambulans, bevaqasha","titkaʃʁˈu leambulˈans, bevakaʃˈa","call an ambulance, please",2,he-agent-v1;ipa=bgn
emergency-medical.i-need-a-doctor,אני צריך רופא,אֲנִי צָרִיךְ רוֹפֵא,ani tsarikh rofe,anˈi tsaʁˈix ʁofˈe,a woman says tsrikha,2,he-agent-v1;ipa=bgn
emergency-medical.i-am-sick,אני חולה,אֲנִי חוֹלֶה,ani ẖole,anˈi xolˈe,a woman says ẖola,2,he-agent-v1;ipa=bgn
emergency-medical.i-am-injured,נפצעתי,נִפְצַעְתִּי,niftsá‘ti,niftsˈati,I have been injured,2,he-agent-v1;ipa=bgn
emergency-medical.it-hurts-here,כואב לי כאן,כּוֹאֵב לִי כָּאן,ko’ev li kan,koˈev lˈi kˈan,it hurts me here,2,he-agent-v1;ipa=bgn
emergency-medical.where-is-a-pharmacy,איפה יש בית מרקחת?,אֵיפֹה יֵשׁ בֵּית מִרְקַחַת?,éyfo yesh beyt mirqáẖat?,ˈejfo jˈeʃ bejt miʁkˈaxat,,2,he-agent-v1;ipa=bgn
emergency-medical.please-take-me-to-a-hospital,"קחו אותי לבית חולים, בבקשה","קְחוּ אוֹתִי לְבֵית חוֹלִים, בְּבַקָּשָׁה","qeẖu oti leveyt ẖolim, bevaqasha","kexˈu otˈi lˈevejt xolˈim, bevakaʃˈa","take me to a hospital, please",2,he-agent-v1;ipa=bgn
emergency-medical.i-feel-unwell,אני לא מרגיש טוב,אֲנִי לֹא מַרְגִּישׁ טוֹב,ani lo margish tov,anˈi lˈo maʁɡˈiʃ tˈov,I do not feel well,2,he-agent-v1;ipa=bgn
emergency-medical.this-is-an-emergency,זה מצב חרום,זֶה מַצַּב חֵרוּם,ze matsav ẖerum,zˈe matsˈav xeʁˈum,,2,he-agent-v1;ipa=bgn
emergency-medical.i-am-having-a-severe-allergic-reaction,יש לי תגובה אנפילקטית,יֵשׁ לִי תְּגוּבָה אַנְפִילַקְטִית,yesh li teguva anfilaqtit,jˈeʃ lˈi teɡuvˈa anfilaktˈit,anaphylaxis -- a severe allergic reaction,2,he-moh-v1;ipa=bgn
emergency-medical.i-cannot-breathe,אני לא יכול לנשם,אֲנִי לֹא יָכוֹל לִנְשֹׁם,ani lo yakhol linshom,anˈi lˈo jaxˈol linʃˈom,I cannot breathe,2,he-agent-v1;ipa=bgn
emergency-medical.i-am-bleeding-badly,יש לי דמום חזק,יֵשׁ לִי דִּמּוּם חָזָק,yesh li dimum ẖazaq,jˈeʃ lˈi dimˈum xazˈak,I have strong bleeding,2,he-agent-v1;ipa=bgn
emergency-medical.i-have-chest-pain,יש לי כאבים בחזה,יֵשׁ לִי כְּאֵבִים בֶּחָזֶה,yesh li ke’evim beẖaze,jˈeʃ lˈi keevˈim bexazˈe,I have pains in the chest,2,he-agent-v1;ipa=bgn
emergency-medical.this-person-is-unconscious,האדם הזה מחסר הכרה,הָאָדָם הַזֶּה מְחֻסָּר הַכָּרָה,ha’adam haze meẖusar hakara,haadˈam hazˈe mexusˈaʁ hakaʁˈa,this person is without consciousness,2,he-agent-v1;ipa=bgn
emergency-medical.where-is-the-nearest-hospital,איפה יש בית חולים בסביבה?,אֵיפֹה יֵשׁ בֵּית חוֹלִים בַּסְּבִיבָה?,éyfo yesh beyt ẖolim basviva?,ˈejfo jˈeʃ bejt xolˈim basvivˈa,where is there a hospital nearby?,2,he-agent-v1;ipa=bgn
emergency-medical.what-is-the-emergency-number,מה מספר החרום?,מָה מִסְפַּר הַחֵרוּם?,ma mispar haẖerum?,mˈa mispˈaʁ haxeʁˈum,,2,he-agent-v1;ipa=bgn
emergency-medical.is-there-a-doctor-who-speaks-english,יש רופא שמדבר {source}?,יֵשׁ רוֹפֵא שֶׁמְּדַבֵּר {source}?,yesh rofe shemdaber {source}?,jˈeʃ ʁofˈe ʃemdabˈeʁ {source},,2,he-agent-v1;ipa=bgn
emergency-medical.i-think-a-bone-is-broken,אני חושב שיש לי שבר,אֲנִי חוֹשֵׁב שֶׁיֵּשׁ לִי שֶׁבֶר,ani ẖoshev sheyesh li shéver,anˈi xoʃˈev ʃejˈeʃ lˈi ʃˈeveʁ,I think I have a fracture,2,he-agent-v1;ipa=bgn
