concept_id,text,text_alt,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,Karfe nawa ne?,,karfe nawa ne,hour how-much is,2,ha-agent-v1;ipa=ha-g2p
time-scheduling.how-many-minutes,Mintuna nawa?,,mintuna nawa,,2,ha-agent-v1;ipa=ha-g2p
time-scheduling.what-time-should-we-meet,Karfe nawa za mu hadu?,,karfe nawa za mu hadu,hour how-much will we meet,2,ha-agent-v1;ipa=ha-g2p
time-scheduling.can-we-change-the-time,Za mu iya canza lokacin?,,za mu ija tʃanza lokatʃin,,2,ha-agent-v1;ipa=ha-g2p
time-scheduling.when-is-convenient,Yaushe ya fi dacewa?,,jauʃe ja fi datʃewa,when it more fits,2,ha-agent-v1;ipa=ha-g2p
time-scheduling.what-is-today-s-date,Wane kwanan wata ne yau?,,wane kwanan wata ne jau,which day-of-month is today,2,ha-agent-v1;ipa=ha-g2p
time-scheduling.what-day-is-it-today,Wace rana ce yau?,,watʃe rana tʃe jau,which day(f) is today,2,ha-agent-v1;ipa=ha-g2p
time-scheduling.what-time-does-it-open,Da karfe nawa ake bude?,,da karfe nawa ake bude,at hour how-much one opens (impersonal),2,ha-agent-v1;ipa=ha-g2p
time-scheduling.what-time-does-it-close,Da karfe nawa ake rufewa?,,da karfe nawa ake rufewa,at hour how-much one closes (impersonal),2,ha-agent-v1;ipa=ha-g2p
time-scheduling.how-long-does-it-take,Tsawon lokaci nawa zai dauka?,,tsʼawon lokatʃi nawa zai dauka,length-of time how-much it-will take,2,ha-agent-v1;ipa=ha-g2p
time-words.today,yau,,jau,,2,ha-agent-v1;ipa=ha-g2p
time-words.tomorrow,gobe,,ɡobe,,2,ha-agent-v1;ipa=ha-g2p
time-words.yesterday,jiya,,dʒija,,2,ha-agent-v1;ipa=ha-g2p
time-words.this-week,mako nan,,mako nan,,2,ha-agent-v1;ipa=ha-g2p
time-words.next-week,mako mai zuwa,,mako mai zuwa,week that-is coming,2,ha-agent-v1;ipa=ha-g2p
time-words.morning,safiya,,safija,,2,ha-agent-v1;ipa=ha-g2p
time-words.afternoon,la'asar,,laʔasar,"mid-afternoon, from the Islamic prayer period, used generally for afternoon",2,ha-agent-v1;ipa=ha-g2p
time-words.evening,yamma,,jamma,,2,ha-agent-v1;ipa=ha-g2p
time-words.spring,bazara,,bazara,the hot dry season before the rains -- Hausa lands have no cold-to-warm spring; mapped by calendar position,2,ha-agent-v1;ipa=ha-g2p
time-words.summer,damina,,damina,"the rainy season -- mapped by calendar position, not temperature",2,ha-agent-v1;ipa=ha-g2p
time-words.fall,kaka,,kaka,the harvest season -- mapped by calendar position,2,ha-agent-v1;ipa=ha-g2p
time-words.winter,hunturu,,hunturu,the cold harmattan season -- the one traditional season that genuinely matches its English name,2,ha-agent-v1;ipa=ha-g2p
time-words.night,dare,,dare,,2,ha-agent-v1;ipa=ha-g2p
days-of-week.monday,Litinin,,litinin,,2,ha-agent-v1;ipa=ha-g2p
days-of-week.tuesday,Talata,,talata,,2,ha-agent-v1;ipa=ha-g2p
days-of-week.wednesday,Laraba,,laraba,,2,ha-agent-v1;ipa=ha-g2p
days-of-week.thursday,Alhamis,,alhamis,,2,ha-agent-v1;ipa=ha-g2p
days-of-week.friday,Jumma'a,,dʒummaʔa,,2,ha-agent-v1;ipa=ha-g2p
days-of-week.saturday,Asabar,,asabar,,2,ha-agent-v1;ipa=ha-g2p
days-of-week.sunday,Lahadi,,lahadi,,2,ha-agent-v1;ipa=ha-g2p
months.january,Janairu,,dʒanairu,,2,ha-agent-v1;ipa=ha-g2p
months.february,Fabrairu,,fabrairu,,2,ha-agent-v1;ipa=ha-g2p
months.march,Maris,,maris,,2,ha-agent-v1;ipa=ha-g2p
months.april,Afrilu,,afrilu,,2,ha-agent-v1;ipa=ha-g2p
months.may,Mayu,,maju,,2,ha-agent-v1;ipa=ha-g2p
months.june,Yuni,,juni,,2,ha-agent-v1;ipa=ha-g2p
months.july,Yuli,,juli,,2,ha-agent-v1;ipa=ha-g2p
months.august,Agusta,,aɡusta,,2,ha-agent-v1;ipa=ha-g2p
months.september,Satumba,,satumba,,2,ha-agent-v1;ipa=ha-g2p
months.october,Oktoba,,oktoba,,2,ha-agent-v1;ipa=ha-g2p
months.november,Nuwamba,,nuwamba,,2,ha-agent-v1;ipa=ha-g2p
months.december,Disamba,,disamba,,2,ha-agent-v1;ipa=ha-g2p
time-words.clock-offset,"Agogon Kiswahili yana farawa daga fitowar rana, sa'o'i shida daga agogon waya: saa moja = 7:00, saa sita = 12:00, saa kumi = 16:00. Ku fadi lambobin ko ku tambaya da saa ngapi za kizungu domin sanin lokacin turawa (na yamma).",,,,2,ha-notes-v1
