section_id,title
social-basics,ურთიერთობა + საფუძვლები
communication,კომუნიკაცია
quick-responses,სწრაფი პასუხები
phone-translation,თარგმანი ტელეფონით
phone-text-power,"ტელეფონი, შეტყობინება + დამუხტვა"
sim-data,"სიმი, ინტერნეტი + ვაი-ფაი"
introductions,გაცნობა
etiquette,ჩაის ფული + ეტიკეტი
slang,ჟარგონი (სასაუბრო)
profanity,უხეში სიტყვები
time-scheduling,დრო + დაგეგმვა
time-words,დროის სიტყვები
days-of-week,კვირის დღეები
months,თვეები
pronouns-verbs,ძირითადი სიტყვები + ნიმუშები
question-words,კითხვითი + მცირე სიტყვები
payment-receipt,გადახდა + ქვითარი
numbers-money,რიცხვები + ფული
atm-cash,ბანკომატი + ნაღდი ფული
dietary-needs,კვების საჭიროებები
utility-templates,სასარგებლო ნიმუშები
shopping,საყიდლები
color-size-returns,"ფერი, ზომა + დაბრუნება"
tax-refund,გადასახადის დაბრუნება
food-ordering,საჭმელი + შეკვეთა
attractions-tickets,ღირსშესანიშნაობები + ბილეთები
children,ბავშვებთან ერთად
directions,მიმართულებები
quick-directions,სწრაფი მიმართულებები
taxi,ტაქსი
building-help,დახმარება შენობაში
accessibility,ხელმისაწვდომობა + გადაადგილება
transit-rides,ტრანსპორტი + მგზავრობა
in-a-building,შენობაში
toilets,ტუალეტი
building-words,შენობის სიტყვები
hotel-words,სასტუმროს სიტყვები
hotel-basics,სასტუმრო: საფუძვლები
hotel-requests,თხოვნები სასტუმროში
room-problems,პრობლემები ნომერში
laundry,სამრეცხაო
place-words,ადგილების სიტყვები
border-customs,საზღვარი + საბაჟო
trail-words,ბილიკის სიტყვები
pickup-meeting,შეხვედრა + წაყვანა
rail-station-words,რკინიგზა + სადგურის სიტყვები
common-signs,ხშირი წარწერები
weather,ამინდი + პირობები
hiking-parks,ლაშქრობა + პარკები
trail-conditions,პირობები + მარშრუტი
trail-transport,ტრანსპორტი + სერვისები
trail-warnings,გაფრთხილებები ბილიკზე
trail-landmarks,ორიენტირები + სერვისები
emergency-medical,საგანგებო + სამედიცინო
medical-conditions,დაავადებები + წამლები
pharmacy-symptoms,აფთიაქი + სიმპტომები
body-parts,სხეულის ნაწილები
lost-rescue,დაკარგული ნივთები + სამაშველო
police-consulate,"პოლიცია, ქურდობა + საკონსულო"
