concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,ეს რომელი ოთახია?,,es romeli otakhia?,,which room is this?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
building-help.i-am-lost,გზა დამებნა,,gza damebna,,I have lost my way,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
building-help.where-is-reception,სად არის რეცეპცია?,,sad aris retsepʼtsia?,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
building-help.where-is-a-power-outlet,სად არის როზეტი?,,sad aris rozetʼi?,,"the socket, not the plug",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
accessibility.step-free,საფეხურების გარეშე შესვლა შეიძლება?,,sapekhurebis gareshe shesvla sheidzleba?,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Tbilisi City Hall and Georgian Railway (railway.ge) published accessibility and passenger-assistance information"
accessibility.wheelchair-access,ეტლით ხელმისაწვდომია?,,etʼlit khelmisatsʼvdomia?,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Tbilisi City Hall and Georgian Railway (railway.ge) published accessibility and passenger-assistance information"
accessibility.elevator,ლიფტი არის?,,liptʼi aris?,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
accessibility.ramp,დახრილი ბილიკი არის?,,dakhrili bilikʼi aris?,,is there a ramp?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Tbilisi City Hall and Georgian Railway (railway.ge) published accessibility and passenger-assistance information"
accessibility.how-many-steps,რამდენი საფეხურია?,,ramdeni sapekhuria?,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
accessibility.cannot-climb-stairs,კიბეზე ვერ ავდივარ,,kʼibeze ver avdivar,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
