concept_id,text,text_alt,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,បន្ទប់នេះលេខអ្វី,,bɑntup nih leːk ʔwəj,,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
building-help.i-am-lost,ខ្ញុំវង្វេងផ្លូវ,,kʰɲom wɔːŋweːŋ pʰləw,literally 'confused about the way',2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
building-help.where-is-reception,ទីទទួលភ្ញៀវនៅឯណា,,tiː tɔtuəl pʰɲiəw nɨw ʔaenaː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
building-help.where-is-a-power-outlet,កន្លែងសាកភ្លើងនៅឯណា,,kɑnlaeŋ saːk pʰləːŋ nɨw ʔaenaː,place to charge power -- what a Cambodian says when looking for a socket to charge a phone,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
accessibility.step-free,មានផ្លូវគ្មានជណ្តើរទេ,,miən pʰləw kmiən tɕoandaə teː,is there a path with no stairs,2,"Cambodian Ministry of Social Affairs, Veterans and Youth Rehabilitation disability and accessibility terminology; Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.wheelchair-access,រទេះរុញចូលបានទេ,,rɔteh ruɲ tɕoul baːn teː,can a wheelchair get in -- រទេះរុញ 'push-cart' is the Khmer word for wheelchair,2,"Cambodian Ministry of Social Affairs, Veterans and Youth Rehabilitation disability and accessibility terminology; Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.elevator,មានជណ្តើរយន្តទេ,,miən tɕoandaə joan teː,,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
accessibility.ramp,មានផ្លូវជម្រាលទេ,,miən pʰləw tɕumriəl teː,,2,"Cambodian Ministry of Public Works and Transport road- and works-sign wording; Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.how-many-steps,ជណ្តើរមានប៉ុន្មានថ្នាក់,,tɕoandaə miən ponmaːn tʰnak,,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
accessibility.cannot-climb-stairs,ខ្ញុំឡើងជណ្តើរមិនបានទេ,,kʰɲom laəŋ tɕoandaə min baːn teː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.need-to-sit-down,ខ្ញុំត្រូវការអង្គុយ,,kʰɲom trəwkaː ʔɑŋkuj,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.accessible-restroom,មានបន្ទប់ទឹកសម្រាប់ជនពិការទេ,,miən bɑntup tɨk sɑmroəp tɕɔn pikaː teː,,2,"Cambodian Ministry of Social Affairs, Veterans and Youth Rehabilitation disability and accessibility terminology; Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.station-assistance,នៅស្ថានីយ៍មានជំនួយទេ,,nɨw sɑtʰaːniː miən tɕumnuəj teː,,2,"Cambodian Ministry of Social Affairs, Veterans and Youth Rehabilitation disability and accessibility terminology; Phnom Penh City Bus and Cambodia Railways public wording;ipa=km-analysis"
accessibility.help-me-carry,សូមជួយលីកនេះឱ្យខ្ញុំ,,soːm tɕuəj liːk nih ʔaoj kʰɲom,please lift this for me -- សូម plus a verb asks with no second person,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.board-first,ខ្ញុំឡើងមុនបានទេ,,kʰɲom laəŋ mun baːn teː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.door-width,ទ្វារនេះទទឹងប៉ុន្មាន,,tʰwiə nih tɔtɨŋ ponmaːn,,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
accessibility.wheelchair-width,រទេះរុញរបស់ខ្ញុំមានទទឹង {} សង់ទីម៉ែត្រ,,rɔteh ruɲ rɔbɑh kʰɲom miən tɔtɨŋ {} sɑŋtiːmaet,my wheelchair has width {} centimeters -- Cambodia uses the metric system,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.hard-of-hearing,ខ្ញុំត្រចៀកខ្សោយ,,kʰɲom trɑtɕiək kʰsaoj,literally 'my ears are weak',2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.speak-louder,សូមនិយាយឱ្យខ្លាំង,,soːm nijiəj ʔaoj kʰlaŋ,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
accessibility.visually-impaired,ខ្ញុំភ្នែកខ្សោយ,,kʰɲom pʰnaek kʰsaoj,literally 'my eyes are weak',2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
accessibility.take-your-arm,ខ្ញុំចាប់ដៃអ្នកបានទេ,,kʰɲom tɕap daj neəʔ baːn teː,"may I hold your arm -- sighted-guide technique: the blind traveler holds the guide's arm, not the reverse",2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
accessibility.guide-dog,នេះជាឆ្កែនាំផ្លូវរបស់ខ្ញុំ,,nih tɕiə tɕʰkae noam pʰləw rɔbɑh kʰɲom,,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
in-a-building.is-this-the-correct-entrance,ច្រកចូលនេះត្រូវទេ,,tɕrɑk tɕoul nih trəw teː,,2,"Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977); Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
in-a-building.do-you-have-wi-fi,មាន Wi-Fi ទេ,,miən waj pʰaj teː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970);ipa=km-analysis"
