concept_id,text,text_alt,ipa,literal,confidence,provenance
slang.thats-good,Ó dára,,o˥ da˥ra,,2,yo-agent-v1;ipa=yo-g2p
slang.thats-great,Ó dára gan-an!,,o˥ da˥ra ɡãã,,2,yo-agent-v1;ipa=yo-g2p
slang.i-love-it,Mo nífẹ̀ẹ́ rẹ̀ gidigidi,,mo ni˥fɛ˩ɛ˥ rɛ˩ ɡidiɡidi,,2,yo-agent-v1;ipa=yo-g2p
slang.thats-bad,Kò dára púpọ̀,,ko˩ da˥ra kpu˥kpɔ˩,,2,yo-agent-v1;ipa=yo-g2p
slang.delicious,Ó dùn gan-an!,,o˥ dũ˩ ɡãã,,2,yo-agent-v1;ipa=yo-g2p
slang.thats-pricey,Ó wọ́n gan-an,,o˥ wɔ̃˥ ɡãã,,2,yo-agent-v1;ipa=yo-g2p
slang.exactly,Bẹ́ẹ̀ gẹ́gẹ́!,,bɛ˥ɛ˩ ɡɛ˥ɡɛ˥,,2,yo-agent-v1;ipa=yo-g2p
slang.no-worries,Kò sí wàhálà,,ko˩ si˥ wa˩ha˥la˩,,2,yo-agent-v1;ipa=yo-g2p
slang.youre-welcome,Nígbàkígbà!,,ni˥ɡba˩ki˥ɡba˩,,2,yo-agent-v1;ipa=yo-g2p
slang.seriously,Ṣe bẹ́ẹ̀ ni?!,,ʃe bɛ˥ɛ˩ ni,,2,yo-agent-v1;ipa=yo-g2p
slang.im-good-thanks,"Mo dára, ẹ ṣé",,"mo da˥ra, ɛ ʃe˥",,2,yo-agent-v1;ipa=yo-g2p
slang.lets-go,Ẹ jẹ́ ká lọ!,,ɛ dʒɛ˥ ka˥ lɔ,,2,yo-agent-v1;ipa=yo-g2p
slang.cheers,Kí a mu papọ̀!,,ki˥ a mu kpakpɔ˩,,2,yo-agent-v1;ipa=yo-g2p
slang.see-you,Ó dìgbà!,,o˥ di˩ɡba˩,,2,yo-agent-v1;ipa=yo-g2p
