section_id,title
social-basics,आधारभूत कुरा
communication,कुराकानी
quick-responses,छोटा जवाफ
phone-translation,फोनबाट अनुवाद
phone-text-power,"फोन, म्यासेज + चार्ज"
sim-data,"सिम, डेटा + वाइफाइ"
introductions,परिचय
etiquette,टिप + शिष्टाचार
slang,बोलचालको भाषा
profanity,गाली (कडा)
time-scheduling,समय + भेट
time-words,समयका शब्द
days-of-week,हप्ताका दिन
months,महिना
pronouns-verbs,मुख्य शब्द + बनावट
question-words,प्रश्न + छोटा शब्द
payment-receipt,भुक्तानी + रसिद
numbers-money,संख्या + पैसा
atm-cash,एटीएम + नगद
dietary-needs,खानपानको आवश्यकता
utility-templates,उपयोगी बनावट
shopping,किनमेल
color-size-returns,"रङ, साइज + फिर्ता"
tax-refund,कर फिर्ता
food-ordering,खाना + अर्डर
attractions-tickets,दर्शनीय ठाउँ + टिकट
children,बच्चासँग
directions,बाटो
quick-directions,छोटा निर्देशन
taxi,ट्याक्सी + अटो
building-help,भवनमा सहयोग
accessibility,पहुँच + आवतजावत
transit-rides,यात्रा + सवारी
in-a-building,भवनभित्र
toilets,शौचालय
building-words,भवनका शब्द
hotel-words,होटलका शब्द
hotel-basics,होटलको आवश्यकता
hotel-requests,होटललाई अनुरोध
room-problems,कोठाको समस्या
laundry,लुगा धुलाइ
place-words,ठाउँका शब्द
border-customs,आगमन + भन्सार
trail-words,पदमार्गका शब्द
pickup-meeting,पिकअप + भेट
rail-station-words,रेल + स्टेशन
common-signs,सामान्य सङ्केत
weather,मौसम + अवस्था
hiking-parks,ट्रेकिङ + पार्क
trail-conditions,अवस्था + बाटो
trail-transport,यातायात + सुविधा
trail-warnings,बाटोको चेतावनी
trail-landmarks,चिन्ह + सुविधा
emergency-medical,आपतकाल + डाक्टर
medical-conditions,रोग + औषधि
pharmacy-symptoms,औषधि पसल + लक्षण
body-parts,शरीरका अङ्ग
lost-rescue,हराएको सामान + उद्धार
police-consulate,"प्रहरी, चोरी + दूतावास"
