concept_id,text,text_alt,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,Puwede po bang bayaran gamit ang card?,,puwɛdɛ po baŋ bajaɾan ɡamit aŋ kaɾd,,2,fil-agent-v1;ipa=fil-g2p+loan
payment-receipt.pay-cash,Puwede po bang bayaran ng cash?,,puwɛdɛ po baŋ bajaɾan naŋ kash,,2,fil-agent-v1;ipa=fil-g2p
payment-receipt.pay-by-qr-code,Puwede po bang bayaran gamit ang QR code?,,puwɛdɛ po baŋ bajaɾan ɡamit aŋ kjuar kodɛ,,2,fil-agent-v1;ipa=fil-g2p+loan
payment-receipt.a-receipt-please,Resibo po,,ɾɛsibo po,,2,fil-agent-v1;ipa=fil-g2p
payment-receipt.please-write-the-number,Pakisulat po ang numero,,pakisulat po aŋ numɛɾo,,2,fil-agent-v1;ipa=fil-g2p
payment-receipt.how-much-in-total,Magkano po lahat?,,maɡkano po lahat,,2,fil-agent-v1;ipa=fil-g2p
payment-receipt.can-we-pay-separately,Puwede po ba kaming maghiwalay ng bayad?,,puwɛdɛ po ba kamiŋ maɡhiwalaj naŋ bajad,,2,fil-agent-v1;ipa=fil-g2p
payment-receipt.is-tax-included,Kasama na po ba ang buwis?,,kasama na po ba aŋ buwis,,2,fil-agent-v1;ipa=fil-g2p
payment-receipt.my-card-was-declined,Hindi po tinanggap ang card ko,,hindi po tinaŋɡap aŋ kaɾd ko,,2,fil-agent-v1;ipa=fil-g2p+loan
payment-receipt.the-bill-is-wrong,"Sa tingin ko po, mali ang kuwenta",,"sa tiŋin ko po, mali aŋ kuwɛnta",,2,fil-agent-v1;ipa=fil-g2p
payment-receipt.i-already-paid,Nakabayad na po ako,,nakabajad na po ako,,2,fil-agent-v1;ipa=fil-g2p
shopping.i-am-just-looking,Tumitingin lang po ako,,tumitiŋin laŋ po ako,,2,fil-agent-v1;ipa=fil-g2p
shopping.how-much-is-this,Magkano po ito?,,maɡkano po ito,,2,fil-agent-v1;ipa=fil-g2p
shopping.that-is-too-expensive,Masyado pong mahal iyan,,masjado poŋ mahal ijan,,2,fil-agent-v1;ipa=fil-g2p
shopping.can-it-be-a-little-cheaper,Puwede po bang tawaran?,,puwɛdɛ po baŋ tawaɾan,,2,fil-agent-v1;ipa=fil-g2p
shopping.is-there-a-discount,May discount po ba?,,maj diskount po ba,,2,fil-agent-v1;ipa=fil-g2p
shopping.where-do-i-pay,Saan po ako magbabayad?,,saan po ako maɡbabajad,,2,fil-agent-v1;ipa=fil-g2p
shopping.i-will-take-this,Kukunin ko na po ito,,kukunin ko na po ito,,2,fil-agent-v1;ipa=fil-g2p
shopping.what-is-this,Ano po ito?,,ano po ito,,2,fil-agent-v1;ipa=fil-g2p
shopping.where-can-i-buy,Saan po ako makakabili ng {}?,,saan po ako makakabili naŋ {},,2,fil-agent-v1;ipa=fil-g2p
shopping.do-you-have-this-in-stock,May stock pa po ba nito?,,maj stokk pa po ba nito,,2,fil-agent-v1;ipa=fil-g2p
shopping.two-of-these,Dalawa po nito,,dalawa po nito,,2,fil-agent-v1;ipa=fil-g2p
shopping.what-is-it-made-of,Ano po ang gawa nito?,,ano po aŋ ɡawa nito,,2,fil-agent-v1;ipa=fil-g2p
color-size-returns.do-you-have-another-color,Meron po ba kayong ibang kulay?,,mɛɾon po ba kajoŋ ibaŋ kulaj,,2,fil-agent-v1;ipa=fil-g2p
color-size-returns.do-you-have-another-size,Meron po ba kayong ibang sukat?,,mɛɾon po ba kajoŋ ibaŋ sukat,,2,fil-agent-v1;ipa=fil-g2p
color-size-returns.may-i-try-it-on,Puwede ko po bang isukat?,,puwɛdɛ ko po baŋ isukat,,2,fil-agent-v1;ipa=fil-g2p
color-size-returns.can-i-return-it,Puwede ko po ba itong isauli?,,puwɛdɛ ko po ba itoŋ isauli,,2,fil-agent-v1;ipa=fil-g2p
color-size-returns.can-i-exchange-it,Puwede ko po ba itong ipagpalit?,,puwɛdɛ ko po ba itoŋ ipaɡpalit,,2,fil-agent-v1;ipa=fil-g2p
color-size-returns.do-you-have-a-bag,Meron po ba kayong bag?,,mɛɾon po ba kajoŋ baɡ,,2,fil-agent-v1;ipa=fil-g2p
tax-refund.can-i-get-a-tax-refund,Puwede po ba akong makakuha ng tax refund?,,puwɛdɛ po ba akoŋ makakuha naŋ taks ɾɛfund,,2,fil-agent-v1;ipa=fil-g2p
tax-refund.is-tax-free-shopping-available,May tax-free shopping po ba dito?,,maj taksfɾɛɛ shoppiŋ po ba dito,,2,fil-agent-v1;ipa=fil-g2p
