concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,اس کمرے کا نمبر کیا ہے؟,,is kamre kā nambar kyā hai?,ɪs kˈʌmɾˌeː kaː nˈʌmbəɾ kjˈaː hɛ,,2,ur-agent-v1;ipa=espeak
building-help.i-am-lost,میں راستہ بھول گیا ہوں,میں گم ہو گیا ہوں,maiñ rāsta bhūl gayā hūñ,mˈẽ ɾˈaːstˌa bhˈuːl ɡˌajaː hũː,,2,ur-agent-v1;ipa=espeak
building-help.where-is-reception,ریسیپشن کہاں ہے؟,استقبالیہ کہاں ہے؟,rīsepshan kahāñ hai?,ɾeːsˈiːpəʃˌən kˈʌhãː hɛ,,2,ur-agent-v1;ipa=espeak
building-help.where-is-a-power-outlet,بجلی کا ساکٹ کہاں ہے؟,پلگ کہاں لگے گا؟,bijlī kā sākaṭ kahāñ hai?,bˈɪɟlˌiː kaː sˈaːkəʈ kˈʌhãː hɛ,,2,ur-agent-v1;ipa=espeak
accessibility.step-free,کیا بغیر سیڑھیوں والا راستہ ہے؟,,kyā baghair sīṛhiyoñ wālā rāsta hai?,kjˈaː baɣˈɛːɾ sˈiːɽʰeːˌõː ʋˈaːlaː ɾˈaːstˌa hɛ,Urdu has no fixed term for step-free; this asks for a way with no stairs,2,ur-agent-v1;ipa=espeak
accessibility.wheelchair-access,کیا وہیل چیئر جا سکتی ہے؟,,kyā whīl chī’ar jā saktī hai?,kjˈaː ʋəhˈiːl cˈeːɾ ɟˈaː sˈʌktˌiː hɛ,,2,ur-agent-v1;ipa=espeak
accessibility.elevator,کیا لفٹ ہے؟,,kyā lifṭ hai?,kjˈaː lˈɪfʈ hɛ,,2,ur-agent-v1;ipa=espeak
accessibility.ramp,کیا ریمپ ہے؟,کیا ڈھلوان والا راستہ ہے؟,kyā remp hai?,kjˈaː ɾˈeːmp hɛ,,2,ur-agent-v1;ipa=espeak
accessibility.how-many-steps,کتنی سیڑھیاں ہیں؟,,kitnī sīṛhiyāñ haiñ?,kˈɪtni sˈiːɽʰjãː hẽ,,2,ur-agent-v1;ipa=espeak
accessibility.cannot-climb-stairs,میں سیڑھیاں نہیں چڑھ سکتا,,maiñ sīṛhiyāñ nahīñ chaṛh saktā,mˈẽ sˈiːɽʰjãː nahˈĩː cˈʌɽʰ sˈʌktˌaː,,2,ur-agent-v1;ipa=espeak
