concept_id,text,text_alt,ipa,literal,confidence,provenance
dietary-needs.no-meat,Babu nama,,babu nama,,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.no-eggs,Babu kwai,,babu kwai,,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.not-spicy,Ba mai yaji ba,,ba mai jadʒi ba,not that-has spice,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.less-spicy,Rage yaji,,raɡe jadʒi,reduce the spice,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.no-peanuts,Babu gyada,,babu ɡjada,,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.no-nuts,Babu gyada ko goro,,babu ɡjada ko ɡoro,"no peanuts or kola-nuts -- Hausa has no single generic word covering every tree nut a traveller might mean; the two named foods are sourced and correct, so the gap is coverage rather than confidence",2,ha-agent-v1;ipa=ha-g2p
dietary-needs.no-seafood,Babu kifi ko kayan teku,,babu kifi ko kajan teku,no fish or sea-goods,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.i-am-vegetarian,Ba na cin nama,,ba na tʃin nama,I do not eat meat -- Hausa has no separate word for vegetarian,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.i-am-vegan,Ba na cin wani abu daga dabba,,ba na tʃin wani abu daɡa dabba,I do not eat anything from an animal,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.i-do-not-eat,Ba na cin {},,ba na tʃin {},,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.i-am-allergic-to,Ina da rashin jurewa ga {},,ina da raʃin dʒurewa ɡa {},I have an intolerance to {},2,ha-agent-v1;ipa=ha-g2p
dietary-needs.does-it-contain-fish-stock,Yana da romon kifi a ciki?,,jana da romon kifi a tʃiki,broth of fish inside,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.does-it-contain-pork-stock,Yana da romon alade a ciki?,,jana da romon alade a tʃiki,broth of pig,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.i-have-a-severe-allergy-to,Ina da mummunar rashin jurewa ga {},,ina da mummunar raʃin dʒurewa ɡa {},a severe intolerance to {},2,ha-agent-v1;ipa=ha-g2p
food-ordering.table-for-two,Tebur don mutum biyu,,tebur don mutum biju,,2,ha-agent-v1;ipa=ha-g2p
food-ordering.is-a-table-available,Akwai tebur?,,akwai tebur,,2,ha-agent-v1;ipa=ha-g2p
food-ordering.menu-please,"Menu, don Allah",,"menu, don allah",,2,ha-agent-v1;ipa=ha-g2p
food-ordering.i-want-this,Ina son wannan,,ina son wannan,,2,ha-agent-v1;ipa=ha-g2p
food-ordering.do-you-have-drinking-water,Kuna da ruwan sha?,,kuna da ruwan ʃa,,2,ha-agent-v1;ipa=ha-g2p
food-ordering.to-go-please,"Don dauka, don Allah",,"don dauka, don allah","for taking away, please",2,ha-agent-v1;ipa=ha-g2p
food-ordering.check-please,"Bill, don Allah","Kudin abinci, don Allah","bill, don allah",bill is the everyday loanword; the alt is descriptive: money of the food,2,ha-agent-v1;ipa=ha-g2p
food-ordering.does-it-contain,Yana da {} a ciki?,,jana da {} a tʃiki,,2,ha-agent-v1;ipa=ha-g2p
food-ordering.is-this-vegetarian,Wannan ba shi da nama?,,wannan ba ʃi da nama,this does not have meat,2,ha-agent-v1;ipa=ha-g2p
food-ordering.what-do-you-recommend,Me za ku shawarta?,,me za ku ʃawarta,,2,ha-agent-v1;ipa=ha-g2p
food-ordering.water-please,"Ruwa, don Allah",,"ruwa, don allah",,2,ha-agent-v1;ipa=ha-g2p
food-ordering.can-a-vegetarian-eat-this,Mai cin ganye zai iya cin wannan?,,mai tʃin ɡanje zai ija tʃin wannan,a leaf-eater (vegetarian) can he eat this,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.no-pork,Babu alade,,babu alade,,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.is-this-halal,Wannan halal ne?,,wannan halal ne,,2,ha-agent-v1;ipa=ha-g2p
dietary-needs.does-it-contain-pork-fat,Yana da kitsen alade a ciki?,,jana da kitsʼen alade a tʃiki,fat of pig inside,2,ha-agent-v1;ipa=ha-g2p
