concept_id,text,text_alt,romanization_iast,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,कार्ड चलेगा?,,kārḍ calegā?,kˈaːɾɖ cəlˈeːɡaː,,2,hi-agent-v1;ipa=espeak
payment-receipt.pay-cash,नकद ठीक है?,,nakad ṭhīk hai?,nˈʌkəd ʈʰˈiːk hɛː,,2,hi-agent-v1;ipa=espeak
payment-receipt.pay-by-qr-code,क्यूआर कोड चलेगा?,यूपीआई चलेगा?,kyūār koḍ calegā?,kːjuːˈaːɾ kˈoːɖ cəlˈeːɡaː,,2,hi-agent-v1;ipa=espeak
payment-receipt.a-receipt-please,रसीद दीजिए,,rasīd dījie,ɾəsˈiːd dˈiːɟɪˌeː,,2,hi-agent-v1;ipa=espeak
payment-receipt.please-write-the-number,नंबर लिख दीजिए,,naṁbar likh dījie,nˈʌmbəɾ lˈɪkʰ dˈiːɟɪˌeː,,2,hi-agent-v1;ipa=espeak
payment-receipt.how-much-in-total,कुल कितना हुआ?,,kul kitnā huā?,kˈʊl kˈɪtnˌaː hˈʊaː,,2,hi-agent-v1;ipa=espeak
payment-receipt.can-we-pay-separately,क्या अलग-अलग बिल हो सकता है?,,kyā alag-alag bil ho saktā hai?,kːjaː ˈʌləɡˌəʌləɡ bˈɪl hoː sˈʌktˌaː hɛː,,2,hi-agent-v1;ipa=espeak
payment-receipt.is-tax-included,क्या टैक्स शामिल है?,,kyā ṭaiks śāmil hai?,kːjaː ʈˈɛːks ʃˈaːmɪl hɛː,,2,hi-agent-v1;ipa=espeak
payment-receipt.my-card-was-declined,मेरा कार्ड नहीं चला,,merā kārḍ nahīṁ calā,mˌeːɾaː kˈaːɾɖ nˈʌhĩ cˈʌlaː,,2,hi-agent-v1;ipa=espeak
payment-receipt.the-bill-is-wrong,लगता है बिल में गलती है,,lagtā hai bil meṁ galtī hai,lˈʌɡtˌaː hɛː bˈɪl mẽː ɡˈʌltˌi hɛː,,2,hi-agent-v1;ipa=espeak
payment-receipt.i-already-paid,मैंने पैसे दे दिए हैं,,maiṁne paise de die haiṁ,mˈɛ̃neː pˈɛːseː dˈeː dˈɪeː hɛ̃,,2,hi-agent-v1;ipa=espeak
shopping.i-am-just-looking,बस देखना है,,bas dekhnā hai,bˈʌs dˈeːkʰnˌaː hɛː,,2,hi-agent-v1;ipa=espeak
shopping.how-much-is-this,यह कितने का है?,,yah kitne kā hai?,jˌəh kˈɪtnˌeː kaː hɛː,,2,hi-agent-v1;ipa=espeak
shopping.that-is-too-expensive,यह बहुत महंगा है,,yah bahut mahaṁgā hai,jˌəh bˈʌhʊt məhˈʌŋɡaː hɛː,,2,hi-agent-v1;ipa=espeak
shopping.can-it-be-a-little-cheaper,थोड़ा कम हो जाएगा?,,thoṛā kam ho jāegā?,tʰˈoːɽaː kˈʌm hoː ɟaːˈeːɡaː,,2,hi-agent-v1;ipa=espeak
shopping.is-there-a-discount,कोई छूट है?,,koī chūṭ hai?,kˈoːi cʰˈuːʈ hɛː,,2,hi-agent-v1;ipa=espeak
shopping.where-do-i-pay,पैसे कहाँ देने हैं?,,paise kahāṁ dene haiṁ?,pˈɛːseː kˈʌhã dˈeːneː hɛ̃,,2,hi-agent-v1;ipa=espeak
shopping.i-will-take-this,मुझे यही लेना है,,mujhe yahī lenā hai,mˌʊɟʰeː jˈʌhi lˈeːnaː hɛː,,2,hi-agent-v1;ipa=espeak
shopping.what-is-this,यह क्या है?,,yah kyā hai?,jˌəh kːjaː hɛː,,2,hi-agent-v1;ipa=espeak
shopping.where-can-i-buy,{} कहाँ मिलेगा?,,{} kahāṁ milegā?,{} kˈʌhã mɪlˈeːɡaː,,2,hi-agent-v1;ipa=espeak
shopping.do-you-have-this-in-stock,क्या यह स्टॉक में है?,,kyā yah sṭok meṁ hai?,kːjaː jˌəh sʈˈɔk mẽː hɛː,,2,hi-agent-v1;ipa=espeak
