section_id,title
social-basics,మామూలు మాటలు
communication,మాట్లాడటం
quick-responses,చిన్న జవాబులు
phone-translation,ఫోన్ అనువాదం
phone-text-power,"ఫోన్, మెసేజ్, ఛార్జింగ్"
sim-data,"సిమ్, డేటా, వైఫై"
introductions,పరిచయం
etiquette,"టిప్, మర్యాద"
slang,మామూలు భాష
profanity,తిట్లు
time-scheduling,"సమయం, ఏర్పాట్లు"
time-words,సమయం మాటలు
days-of-week,వారంలో రోజులు
months,నెలలు
pronouns-verbs,ముఖ్య మాటలు
question-words,"ప్రశ్నలు, చిన్న మాటలు"
payment-receipt,"చెల్లింపు, రసీదు"
numbers-money,"అంకెలు, డబ్బు"
atm-cash,"ఏటీఎం, నగదు"
dietary-needs,ఆహార నియమాలు
utility-templates,పనికొచ్చే మూసలు
shopping,షాపింగ్
color-size-returns,"రంగు, సైజు, వాపసు"
tax-refund,పన్ను వాపసు
food-ordering,"తినడం, ఆర్డర్"
attractions-tickets,"చూడదగినవి, టికెట్లు"
children,పిల్లలతో
directions,దారి
quick-directions,చిన్న దారి మాటలు
taxi,టాక్సీ
building-help,భవనంలో సహాయం
accessibility,వెళ్ళగలగడం
transit-rides,"ప్రయాణం, బస్, రైలు"
in-a-building,భవనం లోపల
toilets,టాయిలెట్
building-words,భవనం మాటలు
hotel-words,హోటల్ మాటలు
hotel-basics,హోటల్ మామూలు
hotel-requests,హోటల్ కోరికలు
room-problems,గది సమస్యలు
laundry,బట్టలు ఉతకడం
place-words,చోటు మాటలు
border-customs,"సరిహద్దు, కస్టమ్స్"
trail-words,బాట మాటలు
pickup-meeting,"పికప్, కలవడం"
rail-station-words,"రైలు, స్టేషన్ మాటలు"
common-signs,తరచు కనిపించే బోర్డులు
weather,వాతావరణం
hiking-parks,"నడక, పార్కులు"
trail-conditions,దారి పరిస్థితి
trail-transport,"రవాణా, సేవలు"
trail-warnings,బాట హెచ్చరికలు
trail-landmarks,"బాట గుర్తులు, సేవలు"
emergency-medical,"అత్యవసరం, వైద్యం"
medical-conditions,"ఆరోగ్యం, మందులు"
pharmacy-symptoms,"మెడికల్ షాపు, లక్షణాలు"
body-parts,శరీర భాగాలు
lost-rescue,"పోయినవి, రక్షణ"
police-consulate,"పోలీసు, దొంగతనం, రాయబారం"
